,Theaters,Country,Genre,Rated,Runtime,Language,imdbRating,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends,Total Gross
1,-0.46808883209540547,1.5149804897133048,-0.23986588851846263,-2.6864802042256204,-0.8892466300603078,1.8650374127778608,1.0469641423807643,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,0.9384089725492074,-0.25895650727491765
3,-0.5681786578397319,-0.34878217496510744,-0.23986588851846263,0.37115844926801334,-0.46164427074135234,-0.32375513173963344,-0.13301305883967837,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.5077936416110265,-0.3116802469268221
5,0.06388465119136869,-0.8147228411347105,1.4819929792696718,0.37115844926801334,-0.500517212497621,-0.32375513173963344,-0.949920351992293,0.6155951707930584,1.3703613295078054,-0.3051826850103768,-0.43879989268936337,0.39939169206352954,-0.31085180774814286
44,-0.3829730747695216,-0.34878217496510744,-0.9286094356337163,0.37115844926801334,0.7434169237029767,-0.32375513173963344,1.137731619397722,0.37244576855440675,1.3703613295078054,-0.3051826850103768,-0.43879989268936337,1.5760856659809244,-0.2921144789546522
47,-0.569754875567989,1.5149804897133048,0.10450588503916422,0.37115844926801334,0.04370397209014047,1.6305239258652722,0.6838942343129363,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.0179349963564002,-0.3123392356512258
53,2.3470360305717906,-0.8147228411347105,0.10450588503916422,0.37115844926801334,0.9377816324843201,-0.32375513173963344,0.23005684922815053,0.6465414583507049,1.3703613295078054,1.3860224137071029,2.272356587141346,0.024004657439575316,0.42956346786591887
60,-0.5650262223832176,1.5149804897133048,1.8263647528272986,0.37115844926801334,0.47130633140909595,0.14527184208554386,-0.13301305883967837,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.4655118453311147,-0.3109127939972834
61,-0.562661895790832,1.5149804897133048,0.7932494321544179,0.37115844926801334,1.209892224778201,0.6924699782149174,0.5931267572959786,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,1.282513754287832,-0.31056809570064997
68,2.6118406089189845,-0.34878217496510744,0.10450588503916422,0.37115844926801334,1.5208757588283504,-0.32375513173963344,0.5023592802790218,1.9492328012535411,1.3703613295078054,1.9526783535191774,2.272356587141346,-0.03615352118605837,1.565289640054862
81,2.855366247934708,-0.8147228411347105,0.10450588503916422,0.37115844926801334,1.3265110500470068,-0.32375513173963344,1.0469641423807643,2.8510960386478126,1.3703613295078054,5.0342351396106135,2.272356587141346,1.0274430769151452,7.0726509362289205
106,-0.569754875567989,1.5149804897133048,-0.9286094356337163,0.37115844926801334,4.825075808111188,-0.32375513173963344,1.137731619397722,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.0612488849668564,-0.31256078681539157
107,-0.5673905489756033,0.11715849120449566,-0.9286094356337163,0.37115844926801334,0.6656710401904393,-0.24558396943543723,0.1392893722111929,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.4655118453311147,-0.31192322569203723
109,-0.5681786578397319,-0.8147228411347105,-0.9286094356337163,-2.6864802042256204,-0.1895336784474716,-0.32375513173963344,-0.8591528749753353,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.4655118453311147,-0.31218967819527194
112,-0.5437472830517467,1.5149804897133048,-0.5842376620760895,0.37115844926801334,-0.22840662020374028,0.30161416669393626,0.4115918032620642,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.4655118453311147,-0.2900131531233614
116,2.711930434663311,1.5149804897133048,0.10450588503916422,0.37115844926801334,1.5208757588283504,-0.32375513173963344,0.8654291883468499,3.0087747419177258,1.3703613295078054,6.22304425045347,2.272356587141346,-0.03615352118605837,7.503671716199671
120,-0.36484657089456485,-0.8147228411347105,-0.9286094356337163,0.37115844926801334,0.587925156677902,-0.32375513173963344,0.23005684922815053,0.4697055294498674,1.3703613295078054,-0.3051826850103768,-0.43879989268936337,1.7782171461630536,-0.30164676799902174
126,-0.5689667667038604,-0.8147228411347105,-0.23986588851846263,0.37115844926801334,-0.500517212497621,-0.32375513173963344,1.4100340504485924,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,0.7940293438476865,-0.31252518782125205
132,-0.5689667667038604,1.5149804897133048,-0.9286094356337163,0.37115844926801334,0.43243338965282724,1.3178392766484872,0.8654291883468499,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-0.4259785186801647,-0.3114936884939899
134,-0.5689667667038604,1.5149804897133048,-0.9286094356337163,0.37115844926801334,-0.5393901542538897,4.2883434442079436,0.4115918032620642,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,0.47880048784936596,-0.31205486050378883
153,-0.5358661944104611,0.11715849120449566,-0.9286094356337163,-2.6864802042256204,0.587925156677902,-0.24558396943543723,0.23005684922815053,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,1.4244870558443274,-0.30120078592236177
158,-0.5689667667038604,-0.8147228411347105,-0.5842376620760895,-2.6864802042256204,-0.46164427074135234,-0.32375513173963344,-1.1314553060262067,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,1.9009398305593463,-0.3125880118045233
189,-0.5587213514701892,-0.8147228411347105,-0.23986588851846263,0.37115844926801334,-0.03404191142239688,-0.32375513173963344,0.8654291883468499,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.4655118453311147,-0.31232527266097526
236,-0.3482962847478652,-0.34878217496510744,-0.9286094356337163,0.37115844926801334,0.23806868087148386,-0.32375513173963344,-0.3145480128735928,0.17792624676348545,1.3703613295078054,-0.3051826850103768,-0.43879989268936337,0.6159611351158107,-0.2884912819146129
246,-0.564238113519089,-0.8147228411347105,-0.23986588851846263,0.37115844926801334,0.04370397209014047,-0.32375513173963344,1.5915690044825077,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,-1.0564362306768058,-0.312479017119433
269,-0.5681786578397319,-0.8147228411347105,0.4488776585967911,0.37115844926801334,-0.26727956196000896,-0.32375513173963344,1.137731619397722,-0.5854155129917965,-0.72762548469441,-0.3051826850103768,-0.43879989268936337,2.565086122586342,-0.3124635953093055
