Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Ho Mann Jahaan,2015,N/A,01 Jan 2016,170 min,"Drama, Musical","Asim Raza, Bilawal Hussain Abbasi, Shaan Sheikh, Shehrazade Sheikh","Yasir Hussain (dialogue), Asim Raza (story)","Mahira Khan, Adeel Hussain, Sheheryar Munawar Siddiqui, Sonya Jehan",Urdu,Pakistan,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"1,132",tt5200814,movie,N/A,N/A,N/A,N/A,b'Eros',"b'$208,611'",b'23',"b'$77,548'",b'19',b'1/1/2016'
The Hoax,2006,R,20 Apr 2007,116 min,"Comedy, Drama",Lasse Hallström,"William Wheeler (screenplay), Clifford Irving (book)","David Aaron Baker, John Carter, Judi Barton, Raul S. Julia",English,USA,1 win & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,6.7,"14,996",tt0462338,movie,25 Sep 2007,N/A,N/A,N/A,b'Mira.',"b'$7,164,995'","b'1,069'","b'$1,449,320'",b'235',b'4/6/2007'
The Hobbit: An Unexpected Journey,2012,PG-13,14 Dec 2012,169 min,"Adventure, Family, Fantasy",Peter Jackson,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)","Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",English,"USA, New Zealand",Nominated for 3 Oscars. Another 10 wins & 72 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,7.9,"682,819",tt0903624,movie,19 Mar 2013,"$303,001,229",Warner Bros.,http://www.thehobbit.com/index.html,b'WB (NL)',"b'$303,003,568'","b'4,100'","b'$84,617,303'","b'4,045'",b'12/14/2012'
The Hobbit: The Battle of the Five Armies,2014,PG-13,17 Dec 2014,144 min,"Adventure, Fantasy",Peter Jackson,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)","Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",English,"New Zealand, USA",Nominated for 1 Oscar. Another 7 wins & 51 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,7.4,"398,637",tt2310332,movie,24 Mar 2015,"$187,747,747",Warner Bros.,http://www.thehobbit.com/,b'WB (NL)',"b'$255,119,788'","b'3,875'","b'$54,724,334'","b'3,875'",b'12/17/2014'
The Hobbit: The Desolation of Smaug,2013,PG-13,13 Dec 2013,161 min,"Adventure, Fantasy",Peter Jackson,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)","Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",English,"USA, New Zealand",Nominated for 3 Oscars. Another 16 wins & 86 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.9,"525,029",tt1170358,movie,08 Apr 2014,"$180,443,783",Warner Bros.,http://www.thehobbit.com/index.html,b'WB (NL)',"b'$258,366,855'","b'3,928'","b'$73,645,197'","b'3,903'",b'12/13/2013'
Hobo with a Shotgun,2011,NOT RATED,12 May 2011,86 min,"Action, Comedy, Horror",Jason Eisener,John Davies,"Rutger Hauer, Pasha Ebrahimi, Robb Wells, Brian Downey",English,Canada,1 win & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.1,"39,420",tt1640459,movie,05 Jul 2011,"$117,137",Magnolia Releasing,http://www.hobowithashotgun.com/,b'Magn.',"b'$703,372'",b'21',"b'$12,046'",b'2',b'5/6/2011'
Hochelaga,2000,N/A,01 Sep 2000,130 min,"Drama, Crime",Michel Jetté,Michel Jetté,"Dominic Darceuil, David Boutin, Ronald Houle, Jean-Nicolas Verreault",French,Canada,1 win & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,454,tt0215850,movie,N/A,N/A,N/A,N/A,b'Libre',"b'$376,714'",b'25',"b'$89,812'",b'25',b'9/1/2000'
Hockney,2014,N/A,22 Apr 2016,112 min,Documentary,Randall Wright,N/A,"David Hockney, Arthur Lambert, Colin Self, Don Bachardy",English,UK,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.6,219,tt4008606,movie,06 Sep 2016,"$120,391",Film Movement,N/A,b'FM',"b'$120,745'",b'10',"b'$13,683'",b'4',b'4/22/2016'
Hocus Pocus,1993,PG,16 Jul 1993,96 min,"Comedy, Family, Fantasy",Kenny Ortega,"David Kirschner (story), Mick Garris (story), Mick Garris (screenplay), Neil Cuthbert (screenplay)","Bette Midler, Sarah Jessica Parker, Kathy Najimy, Omri Katz",English,USA,2 wins & 9 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}]",N/A,6.7,"68,442",tt0107120,movie,22 Apr 2003,N/A,Buena Vista Pictures,N/A,b'BV',"b'$39,514,713'","b'1,472'","b'$8,125,471'","b'1,430'",b'7/16/1993'
Hoffa,1992,R,25 Dec 1992,140 min,"Biography, Crime, Drama",Danny DeVito,David Mamet,"Jack Nicholson, Danny DeVito, Armand Assante, J.T. Walsh","English, Italian, Latin",USA,Nominated for 2 Oscars. Another 2 wins & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.6,"18,267",tt0104427,movie,27 Jan 2004,N/A,20th Century Fox,N/A,b'Fox',"b'$24,276,506'","b'1,103'","b'$6,406,012'","b'1,066'",b'12/25/1992'
