Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Gladiator,2000,R,05 May 2000,155 min,"Action, Adventure, Drama",Ridley Scott,"David Franzoni (story), David Franzoni (screenplay), John Logan (screenplay), William Nicholson (screenplay)","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",English,"USA, UK",Won 5 Oscars. Another 53 wins & 101 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,8.5,"1,085,243",tt0172495,movie,21 Nov 2000,N/A,Dreamworks Distribution LLC,http://www.gladiator-thefilm.com,b'DW',"b'$187,705,427'","b'3,188'","b'$34,819,017'","b'2,938'",b'5/5/2000'
Gladiators of Rome,2012,PG,11 Nov 2014,94 min,"Animation, Adventure, Comedy",Iginio Straffi,Iginio Straffi (screenplay),"Daniela Abbruzzese, Stefano Alessandroni, Luca Argentero, Enzo Avolio",Italian,Italy,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,952,tt1946347,movie,N/A,N/A,N/A,N/A,b'VPD',"b'$8,201'",b'11',"b'$1,920'",b'1',b'11/11/2014'
Alice Through the Looking Glass,2016,PG,27 May 2016,113 min,"Adventure, Family, Fantasy",James Bobin,"Linda Woolverton (screenplay), Lewis Carroll (books)","Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway",English,"USA, UK",1 win & 18 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,6.2,"63,741",tt2567026,movie,18 Oct 2016,"$77,037,635",Walt Disney Pictures,http://movies.disney.com/alice-through-the-looking-glass,b'Uni.',b'n/a',b'n/a',b'n/a',b'n/a',b'1/18/2019'
The Glass Castle,2017,PG-13,11 Aug 2017,127 min,"Biography, Drama",Destin Daniel Cretton,"Destin Daniel Cretton (screenplay by), Andrew Lanham (screenplay by), Jeannette Walls (based upon the book by)","Brie Larson, Woody Harrelson, Naomi Watts, Ella Anderson",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,7.1,"2,629",tt2378507,movie,N/A,"$17,238,739",Lionsgate,http://www.TheGlassCastle.movie,b'LGF',"b'$17,273,059'","b'1,461'","b'$4,678,548'","b'1,461'",b'8/11/2017'
The Glass House,2001,PG-13,14 Sep 2001,106 min,"Crime, Drama, Mystery",Daniel Sackheim,Wesley Strick,"Leelee Sobieski, Diane Lane, Stellan Skarsgård, Bruce Dern","English, Spanish",USA,3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,5.8,"27,153",tt0221218,movie,02 Jan 2002,"$17,387,693",The Film Sales Company,http://www.spe.sony.com/movies/theglasshouse,b'Sony',"b'$18,150,259'","b'1,601'","b'$5,738,448'","b'1,591'",b'9/14/2001'
The Glass Menagerie,1987,PG,15 Jan 1988,134 min,Drama,Paul Newman,Tennessee Williams (play),"Joanne Woodward, John Malkovich, Karen Allen, James Naughton",English,"USA, Canada",Nominated for 1 Golden Globe. Another 1 win & 5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}]",N/A,7.2,"1,694",tt0093093,movie,N/A,N/A,MCA Universal Home Video,N/A,b'Cinpx',"b'$895,904'",b'n/a',b'n/a',b'n/a',b'10/23/1987'
The Glass Shield,1994,PG-13,02 Jun 1995,109 min,"Crime, Drama",Charles Burnett,"Charles Burnett, John Eddie Johnson (screenplay ""One of Us""), Ned Welsh (screenplay ""One of Us"")","Erich Anderson, Richard Anderson, Thomas Babson, Monty Bane",English,"France, USA",1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}]",N/A,6.6,"2,959",tt0109906,movie,05 Feb 2002,N/A,Miramax,N/A,b'Mira.',"b'$3,291,163'",b'294',"b'$1,146,748'",b'283',b'6/2/1995'
Glass: A Portrait of Philip in Twelve Parts,2007,NOT RATED,18 Apr 2008,119 min,"Documentary, Biography, Music",Scott Hicks,N/A,"Philip Glass, Holly Critchlow, Chuck Close, JoAnne Akalaitis",English,"Australia, USA",Nominated for 1 Primetime Emmy. Another 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,7.4,632,tt1092004,movie,21 Apr 2009,N/A,Koch Lorber Films,http://www.glassthemovie.com/Site/Home.html,b'Koch',"b'$20,018'",b'1',"b'$5,546'",b'1',b'4/18/2008'
Glastonbury,2006,R,14 Apr 2006,138 min,"Documentary, Music",Julien Temple,N/A,"Björk, David Bowie, Billy Bragg, James Brown",English,"USA, UK",1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.7,750,tt0464022,movie,12 Jun 2007,N/A,ThinkFilm,http://www.glastonburythemovie.com/,b'Think',"b'$8,419'",b'3',"b'$1,179'",b'1',b'2/23/2007'
Gleaming the Cube,1989,PG-13,13 Jan 1989,100 min,"Action, Drama, Mystery",Graeme Clifford,Michael Tolkin,"Christian Slater, Steven Bauer, Richard Herd, Le Tuan",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}]",N/A,6.2,"5,686",tt0097438,movie,01 Jun 1999,N/A,Vestron Video,N/A,b'Fox',"b'$2,777,280'",b'469',"b'$740,780'",b'466',b'1/13/1989'
The Gleaners and I: Two Years Later,2002,N/A,18 Dec 2002,63 min,Documentary,Agnès Varda,N/A,"Bodan Litnanski, Macha Makeïeff, Agnès Varda, François Wertheimer",French,France,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,468,tt0345128,movie,N/A,N/A,N/A,N/A,b'Zeit.',"b'$155,320'",b'4',"b'$12,655'",b'2',b'3/7/2001'
Gleason,2016,R,29 Jul 2016,110 min,Documentary,Clay Tweel,Clay Tweel,"Steve Gleason, Mike Gleason, Scott Fujita, Mike McKenzie",English,USA,10 wins & 19 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,8.4,"1,693",tt4632316,movie,01 Nov 2016,"$576,589",Dear Rivers Production,https://gleasonmovie.com/,b'ORF',"b'$583,664'",b'148',"b'$91,583'",b'9',b'7/29/2016'
Glee: The 3D Concert Movie,2011,PG,12 Aug 2011,84 min,"Documentary, Music","Kevin Tancharoen, Jennifer Arnold",N/A,"Dianna Agron, Chris Colfer, Darren Criss, Kevin McHale",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,5.4,"5,291",tt1922612,movie,20 Dec 2011,"$11,860,839",20th Century Fox,http://www.criterionpicusa.com/CPLUSA/lcl_glee_t.html,b'Fox',"b'$11,862,398'","b'2,040'","b'$5,961,231'","b'2,040'",b'8/12/2011'
Glen Campbell: I'll Be Me,2014,PG,19 Apr 2014,116 min,"Documentary, Biography, Family",James Keach,N/A,"Glen Campbell, Kim Campbell, Ronald Petersen, Dave Kaplan",English,USA,Nominated for 1 Oscar. Another 5 wins & 11 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,8.0,"1,175",tt2049586,movie,01 Sep 2015,N/A,PCH Films,http://www.glencampbellmovie.com,b'A23',"b'$365,422'",b'18',"b'$86,741'",b'10',b'10/24/2014'
Glen or Glenda,1953,PG,01 Apr 1953,65 min,Drama,Edward D. Wood Jr.,Edward D. Wood Jr. (story and written by),"Bela Lugosi, Lyle Talbot, Timothy Farrell, Dolores Fuller",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}]",N/A,4.2,"6,979",tt0045826,movie,15 Feb 2000,N/A,Screen Classics Inc.,N/A,b'Par.',"b'$10,158'",b'n/a',b'n/a',b'n/a',b'5/22/1981'
Glen or Glenda,1953,PG,01 Apr 1953,65 min,Drama,Edward D. Wood Jr.,Edward D. Wood Jr. (story and written by),"Bela Lugosi, Lyle Talbot, Timothy Farrell, Dolores Fuller",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}]",N/A,4.2,"6,979",tt0045826,movie,15 Feb 2000,N/A,Screen Classics Inc.,N/A,b'N/A',b'n/a',b'n/a',b'n/a',b'n/a',b'1953'
Glengarry Glen Ross,1992,R,02 Oct 1992,100 min,"Crime, Drama, Mystery",James Foley,"David Mamet (play), David Mamet (screenplay)","Al Pacino, Jack Lemmon, Alec Baldwin, Alan Arkin",English,USA,Nominated for 1 Oscar. Another 6 wins & 10 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,7.8,"82,829",tt0104348,movie,20 Feb 2007,N/A,Artisan Home Entertainment,http://www.artisanent.com/glengarryglenross,b'NL',"b'$10,725,228'",b'417',"b'$2,104,402'",b'416',b'10/2/1992'
The Glenn Miller Story,1954,APPROVED,04 Jan 1954,115 min,"Biography, Drama, Music",Anthony Mann,"Valentine Davies, Oscar Brodney","James Stewart, June Allyson, Harry Morgan, Charles Drake",English,USA,Won 1 Oscar. Another 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",N/A,7.3,"6,590",tt0047030,movie,04 Mar 2003,N/A,Universal Pictures,N/A,b'Uni.',b'n/a',b'n/a',b'n/a',b'n/a',b'12/10/1953'
The Glimmer Man,1996,R,04 Oct 1996,91 min,"Action, Comedy, Crime",John Gray,Kevin Brodbin,"Steven Seagal, Keenen Ivory Wayans, Bob Gunton, Brian Cox","English, Chinese, Russian",USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}]",N/A,5.3,"16,440",tt0116421,movie,27 Aug 1997,N/A,Warner Home Video,N/A,b'WB',"b'$20,351,264'","b'2,236'","b'$7,605,504'","b'2,236'",b'10/4/1996'
A Glimpse Inside the Mind of Charles Swan III,2012,R,14 Mar 2013,86 min,Comedy,Roman Coppola,Roman Coppola,"Charlie Sheen, James Paradise, Anne Bellamy, Jason Schwartzman","English, Russian, Spanish",USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28,4.8,"4,287",tt2044729,movie,14 May 2013,"$33,786",Swan Design Studios,http://themindofcharlesswan.tumblr.com/,b'A24',"b'$45,350'",b'18',"b'$12,000'",b'2',b'2/8/2013'
