Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
BPM (Beats Per Minute),2017,N/A,23 Aug 2017,140 min,Drama,Robin Campillo,"Robin Campillo, Philippe Mangeot","Nahuel Pérez Biscayart, Arnaud Valois, Adèle Haenel, Antoine Reinartz",French,France,6 wins & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,7.7,"2,144",tt6135348,movie,N/A,N/A,N/A,N/A,b'Orch.',"b'$45,543'",b'5',"b'$8,566'",b'2',b'10/20/2017'
Bra Boys,2007,R,15 Mar 2007,90 min,"Documentary, Sport","Sunny Abberton, Macario De Souza(co-director)","Sunny Abberton, Stuart Beattie","Russell Crowe, Kelly Slater, Cheyne Horan, Jack Kingsley",English,Australia,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.2,"1,126",tt0951318,movie,12 Aug 2008,N/A,Slowhand Cinema Releasing,http://www.braboysfilm.com/,b'Slow',"b'$155,056'",b'23',"b'$45,589'",b'23',b'4/11/2008'
The Bracelet of Bordeaux,2007,PG,01 Oct 2007,99 min,"Family, Fantasy, Mystery",Casey Kelly,Frank Eakin,"Ally Claire Carson, Kelsey Edwards, Shane Kelly, Shane Ryan Savage",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.4/10'}]",N/A,3.4,145,tt0455918,movie,14 Jul 2009,N/A,Monterey Media,http://www.thebraceletofbordeaux.com/,b'Mont.',b'n/a',b'n/a',b'n/a',b'n/a',b'5/18/2009'
Brad's Status,2017,R,15 Sep 2017,102 min,"Comedy, Drama, Music",Mike White,Mike White,"Ben Stiller, Austin Abrams, Jenna Fischer, Michael Sheen",English,USA,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,6.7,"1,367",tt5884230,movie,N/A,"$2,029,594",Amazon Studios,http://bradsstatus.movie/,b'Annapurna',"b'$2,133,158'",b'453',"b'$89,921'",b'4',b'9/15/2017'
Braddock: Missing in Action III,1988,R,22 Jan 1988,101 min,"Action, War",Aaron Norris,"Steve Bing (characters), James Bruner, Larry Levinson (characters), Chuck Norris, Arthur Silver (characters)","Chuck Norris, Aki Aleong, Roland Harrah III, Miki Kim",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,"4,675",tt0094792,movie,N/A,N/A,Media Home Entertainment,N/A,b'Can.',"b'$6,193,901'","b'1,040'","b'$2,208,116'","b'1,040'",b'1/22/1988'
The Brady Bunch Movie,1995,PG-13,17 Feb 1995,90 min,Comedy,Betty Thomas,"Sherwood Schwartz (characters), Laurice Elehwany, Rick Copp, Bonnie Turner, Terry Turner","Shelley Long, Gary Cole, Christine Taylor, Christopher Daniel Barnes",English,USA,3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",N/A,5.9,"18,234",tt0112572,movie,10 Jun 2003,N/A,Paramount Home Video,N/A,b'Par.',"b'$46,576,136'","b'1,941'","b'$14,827,066'","b'1,822'",b'2/17/1995'
Brahmin Bulls,2013,NOT RATED,11 Sep 2015,96 min,Drama,Mahesh Pailoor,"Mahesh Pailoor, Anu Pradhan","Sendhil Ramamurthy, Roshan Seth, Mary Steenburgen, Cassidy Freeman",English,USA,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,8.2,39,tt2204540,movie,N/A,N/A,BCMG,http://brahminbulls.com/,b'BCMG',b'n/a',b'n/a',b'n/a',b'n/a',b'11/14/2014'
Brain Dead,1990,R,19 Jan 1990,85 min,"Horror, Mystery, Sci-Fi",Adam Simon,"Charles Beaumont (screenplay), Adam Simon (screenplay), Charles Beaumont (story)","Bill Pullman, Bill Paxton, Bud Cort, Nicholas Pryor",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}]",N/A,6.1,"2,782",tt0099173,movie,26 Sep 2000,N/A,Concorde/New Horizons Home Video,N/A,b'Conc',"b'$1,627,955'",b'n/a',b'n/a',b'n/a',b'1/19/1990'
Brain Donors,1992,PG,17 Apr 1992,80 min,Comedy,Dennis Dugan,"Pat Proft (screenplay), George S. Kaufman (screenplay), Morrie Ryskind (screenplay), James Kevin McGuinness (story)","John Turturro, Bob Nelson, Mel Smith, George De La Pena",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,7.1,"3,445",tt0103872,movie,26 Oct 2004,N/A,Paramount Home Video,N/A,b'Par.',"b'$918,239'",b'525',"b'$504,057'",b'525',b'4/17/1992'
Brainscan,1994,R,22 Apr 1994,96 min,"Comedy, Horror, Sci-Fi",John Flynn,"Brian Owens (story), Andrew Kevin Walker (screenplay)","Edward Furlong, Frank Langella, T. Ryder Smith, Amy Hargreaves",English,"Canada, USA, UK",N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}]",N/A,6.1,"8,883",tt0109327,movie,01 Apr 2003,N/A,Sony Pictures Home Entertainment,N/A,b'Triu',"b'$4,352,094'","b'1,221'","b'$1,725,000'","b'1,221'",b'4/22/1994'
Brainstorm,1983,PG,30 Sep 1983,106 min,"Sci-Fi, Thriller",Douglas Trumbull,"Bruce Joel Rubin (story), Robert Stitzel (screenplay), Philip Frank Messina (screenplay)","Christopher Walken, Natalie Wood, Louise Fletcher, Cliff Robertson",English,USA,2 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",N/A,6.5,"9,199",tt0085271,movie,22 Aug 2000,N/A,MGM Home Entertainment,N/A,b'MGM',"b'$10,219,460'",b'498',"b'$1,196,965'",b'169',b'9/30/1983'
