Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Dr. Bronner's Magic Soapbox,2006,N/A,10 Oct 2006,88 min,Documentary,Sara Lamm,N/A,Dr. Bronner,English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.6,249,tt0881909,movie,07 Jul 2009,N/A,Balcony Releasing,http://www.magicsoapbox.com/,b'Bal.',"b'$21,579'",b'6',"b'$1,570'",b'1',b'6/29/2007'
Dr. Dolittle 2,2001,PG,22 Jun 2001,87 min,"Comedy, Family, Fantasy",Steve Carr,"Hugh Lofting (Doctor Dolittle stories), Larry Levin","Eddie Murphy, Kristen Wilson, Raven-Symoné, Kyla Pratt",English,USA,2 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,4.7,"36,204",tt0240462,movie,23 Oct 2001,"$111,484,392",20th Century Fox,http://216.133.243.57,b'Fox',"b'$112,952,899'","b'3,053'","b'$25,037,039'","b'3,049'",b'6/22/2001'
Dr. Dolittle 3,2006,PG,25 Apr 2006,93 min,"Comedy, Family, Fantasy",Rich Thorne,"Nina Colman, Hugh Lofting (stories)","Kyla Pratt, Kristen Wilson, Walker Howard, John Amos",English,"USA, Canada",N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]",N/A,3.9,"4,798",tt0481513,movie,25 Apr 2006,N/A,Fox,N/A,b'Fox',b'n/a',b'n/a',b'n/a',b'n/a',b'N/A'
Dr. Giggles,1992,R,23 Oct 1992,95 min,"Comedy, Drama, Horror",Manny Coto,"Manny Coto, Graeme Whifler","Larry Drake, Holly Marie Combs, Cliff De Young, Glenn Quinn",English,"USA, Japan",1 win & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}]",N/A,5.1,"4,729",tt0104139,movie,22 Sep 1998,N/A,MCA Universal Home Video,N/A,b'Uni.',"b'$8,403,433'","b'1,683'","b'$2,714,815'","b'1,681'",b'10/23/1992'
Dr. Jekyll and Ms. Hyde,1995,PG-13,25 Aug 1995,90 min,"Comedy, Romance",David Price,"David Price (story), Tim John (screenplay), Oliver Butcher (screenplay), William Davies (screenplay), William Osborne (screenplay), Robert Louis Stevenson (novel)","Sean Young, Tim Daly, Lysette Anthony, Stephen Tobolowsky",English,"UK, USA, Canada",4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}]",N/A,4.4,"2,380",tt0112895,movie,01 Jun 2004,N/A,Savoy Pictures,N/A,b'Sav.',"b'$2,763,020'",b'514',"b'$900,782'",b'350',b'8/25/1995'
Dr. No,1962,APPROVED,07 Oct 1962,110 min,"Action, Adventure, Thriller",Terence Young,"Richard Maibaum (screenplay), Johanna Harwood (screenplay), Berkely Mather (screenplay), Ian Fleming (novel)","Sean Connery, Ursula Andress, Joseph Wiseman, Jack Lord","English, French","UK, Jamaica",Won 1 Golden Globe. Another 1 win & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.3,"124,788",tt0055928,movie,22 Oct 2002,N/A,United Artists,N/A,b'UA',"b'$16,067,035'",b'n/a',b'n/a',b'n/a',b'5/8/1963'
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,29 Jan 1964,95 min,"Comedy, War",Stanley Kubrick,"Stanley Kubrick (screenplay), Terry Southern (screenplay), Peter George (screenplay), Peter George (based on the book: ""Red Alert"" by)","Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn","English, Russian","USA, UK",Nominated for 4 Oscars. Another 13 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96,8.5,"376,280",tt0057012,movie,02 Nov 2004,N/A,Sony Pictures,N/A,b'Col.',"b'$9,164,370*'",b'n/a',b'n/a',b'n/a',b'1/29/1964'
The Making of 'Dr. T and the Women',2001,N/A,06 Feb 2001,11 min,"Documentary, Short",N/A,N/A,"Robert Altman, Laura Dern, Farrah Fawcett, Richard Gere",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",N/A,3.6,15,tt0486857,movie,N/A,N/A,N/A,N/A,b'Art.',"b'$13,113,041'","b'1,489'","b'$5,012,867'","b'1,489'",b'10/13/2000'
Dracula 2000,2000,R,22 Dec 2000,99 min,"Action, Fantasy, Horror",Patrick Lussier,"Joel Soisson (story), Patrick Lussier (story), Joel Soisson (screenplay)","Gerard Butler, Christopher Plummer, Jonny Lee Miller, Justine Waddell",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Metacritic', 'Value': '26/100'}]",26,4.9,"28,751",tt0219653,movie,20 Mar 2001,N/A,Miramax,N/A,b'Mira.',"b'$33,022,767'","b'2,204'","b'$8,636,567'","b'2,204'",b'12/22/2000'
Dracula Untold,2014,PG-13,10 Oct 2014,92 min,"Action, Drama, Fantasy",Gary Shore,"Matt Sazama (screenplay), Burk Sharpless (screenplay), Bram Stoker (characters)","Luke Evans, Sarah Gadon, Dominic Cooper, Art Parkinson","English, Turkish","USA, Japan",3 wins & 5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.3,"152,298",tt0829150,movie,03 Feb 2015,N/A,Universal Pictures,http://www.draculauntold.com/,b'Uni.',"b'$56,280,355'","b'2,900'","b'$23,514,615'","b'2,885'",b'10/10/2014'
