Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Gymkata,1985,R,03 May 1985,90 min,"Action, Drama",Robert Clouse,"Charles Robert Carner (screenplay by), Dan Tyler Moore (based on the novel ""The Terrible Game"" by)","Kurt Thomas, Tetchie Agbayani, Richard Norton, Edward Bell",English,"USA, Japan",1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}]",N/A,4.2,"3,148",tt0089243,movie,25 Jun 1991,N/A,Warner Home Video,N/A,b'MGM',"b'$5,730,596'",b'654',"b'$1,261,845'",b'654',b'5/3/1985'
Gypsy 83,2001,R,06 Jun 2001,94 min,"Drama, Romance",Todd Stephens,"Tim Kaltenecker (story), Todd Stephens (screenplay), Todd Stephens (story)","Sara Rue, Kett Turton, Karen Black, John Doe",English,USA,4 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,7.0,"1,336",tt0251110,movie,23 Nov 2004,N/A,Small Planet,http://www.gypsy83.com,b'SmlP',"b'$29,367'",b'1',"b'$5,054'",b'1',b'4/16/2004'
When the Road Bends... Tales of a Gypsy Caravan,2006,UNRATED,15 Jun 2007,110 min,"Documentary, Music",Jasmine Dellal,N/A,"Maharaja, Esma Redzepova, Taraf de Haidouks, Antonio El Pipa","English, Spanish, Romany, Romanian, Macedonian, Hindi",USA,2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.7,427,tt0412796,movie,26 Aug 2008,"$134,215",Shadow Distribution,http://www.gypsycaravanmovie.com/,b'Shad.',"b'$442,936'",b'16',b'$379',b'1',b'1/19/2007'
