Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Thaandavam,2012,NOT RATED,28 Sep 2012,160 min,"Action, Thriller",Vijay,"Nigel Genis (scene), Mike Parish, Vijay","Vikram, Jagapathi Babu, Anushka Shetty, Amy Jackson","Tamil, Telugu, Hindi",India,1 win & 5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"1,215",tt2271641,movie,N/A,"$212,145",UTV Motion Pictures,http://www.facebook.com/utvmotionpictures,b'UTV',"b'$213,476'",b'45',"b'$129,044'",b'45',b'9/28/2012'
Thank God It's Friday,1978,PG,20 Jul 1978,89 min,"Comedy, Music",Robert Klane,Armyan Bernstein,"Valerie Landsburg, Terri Nunn, Chick Vennera, Donna Summer","English, Spanish",USA,Won 1 Oscar. Another 1 win.,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",N/A,5.1,"1,739",tt0078382,movie,04 Apr 2006,N/A,Columbia Pictures,N/A,b'Col.',b'n/a',b'n/a',b'n/a',b'n/a',b'1978'
Thank You for Smoking,2005,R,14 Apr 2006,92 min,"Comedy, Drama",Jason Reitman,"Jason Reitman (screenplay), Christopher Buckley (novel)","Joan Lunden, Eric Haberman, Aaron Eckhart, Mary Jo Smith",English,USA,Nominated for 2 Golden Globes. Another 12 wins & 30 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.6,"198,940",tt0427944,movie,03 Oct 2006,"$24,800,000",Fox Searchlight,http://www2.foxsearchlight.com/thankyouforsmoking/,b'FoxS',"b'$24,793,509'","b'1,020'","b'$262,923'",b'5',b'3/17/2006'
Thank You for Your Service,2017,R,27 Oct 2017,108 min,"Biography, Drama, War",Jason Hall,"David Finkel (based on the book by), Jason Hall (screenplay)","Haley Bennett, Miles Teller, Keisha Castle-Hughes, Amy Schumer",English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.1,347,tt2776878,movie,N/A,N/A,Universal Studios,http://www.thankyouforyourservicemovie.com/,b'Gathr',"b'$21,497'",b'4',b'$344',b'1',b'10/7/2016'
"Thank You, Jeeves!",1936,N/A,01 Jan 1937,57 min,Comedy,Arthur Greville Collins,"Joseph Hoffman (screen play), Stephen Gross (screen play), P.G. Wodehouse (based on a story by)","Arthur Treacher, Virginia Field, David Niven, Lester Matthews",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,144,tt0028353,movie,12 Jun 2007,N/A,20th Century Fox,N/A,b'Fox',b'n/a',b'n/a',b'n/a',b'n/a',b'10/4/1936'
Thanks for Sharing,2012,R,14 Sep 2013,112 min,"Comedy, Drama, Romance",Stuart Blumberg,"Stuart Blumberg, Matt Winston","Mark Ruffalo, Tim Robbins, Gwyneth Paltrow, Josh Gad",English,USA,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.4,"22,398",tt1932718,movie,07 Jan 2014,"$752,929",Roadside Attractions,http://thanksforsharingmovie.com/,b'RAtt.',"b'$1,065,881'",b'269',"b'$536,591'",b'269',b'9/20/2013'
Tharlo,2015,NOT RATED,30 Sep 2016,123 min,Drama,Pema Tseden,Pema Tseden,"Shide Nyima, Tsemdo Thar, Yangshik Tso","Mandarin, Tibetan",China,6 wins & 9 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.0,190,tt4923042,movie,N/A,N/A,N/A,N/A,b'Icar.',"b'$17,091'",b'2',b'n/a',b'2',b'9/28/2016'
That Awkward Moment,2014,R,31 Jan 2014,94 min,"Comedy, Romance",Tom Gormican,Tom Gormican,"Zac Efron, Miles Teller, Michael B. Jordan, Imogen Poots",English,USA,1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,6.2,"84,219",tt1800246,movie,13 May 2014,"$23,264,422",Focus Features,http://justgethorizontal.com/,b'Focus',"b'$26,068,955'","b'2,809'","b'$8,742,109'","b'2,809'",b'1/31/2014'
That Darn Cat,1997,PG,14 Feb 1997,89 min,"Action, Comedy, Crime",Bob Spiers,"Gordon Gordon (novel), Mildred Gordon (novel), Gordon Gordon, Mildred Gordon, Bill Walsh, Scott Alexander (screenplay), Larry Karaszewski (screenplay)","Christina Ricci, Doug E. Doug, Dean Jones, George Dzundza",English,USA,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}]",N/A,4.6,"3,503",tt0120317,movie,08 Mar 2005,N/A,Disney,N/A,b'BV',"b'$18,301,610'","b'1,891'","b'$6,424,617'","b'1,891'",b'2/14/1997'
That Demon Within,2014,N/A,18 Apr 2014,111 min,"Action, Crime",Dante Lam,"Wai Lun Ng (screenplay), Dante Lam (screenplay), Dante Lam (story)","Daniel Wu, Nick Cheung, Sixuan Chen, Kai Chi Liu",Cantonese,"Hong Kong, China",1 win & 13 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.0,"1,085",tt3511542,movie,N/A,N/A,China Lion Films,http://www.thatdemonwithin.com,b'CL',"b'$172,343'",b'16',"b'$77,130'",b'12',b'4/18/2014'
