Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Flags of our Fathers,2006,R,20 Oct 2006,135 min,"Drama, History, War",Clint Eastwood,"William Broyles Jr. (screenplay), Paul Haggis (screenplay), James Bradley (book), Ron Powers (book)","Ryan Phillippe, Jesse Bradford, Adam Beach, John Benjamin Hickey",English,USA,Nominated for 2 Oscars. Another 15 wins & 24 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.1,"106,534",tt0418689,movie,06 Feb 2007,"$33,600,000",Paramount,http://www.flagsofourfathers.com/,b'P/DW',"b'$33,602,376'","b'2,375'","b'$10,245,190'","b'1,876'",b'10/20/2006'
Flakes,2007,NOT RATED,10 Mar 2007,84 min,Comedy,Michael Lehmann,"Chris Poche, Karey Kirkpatrick","Aaron Stanford, Christopher Lloyd, Ryan Donowho, Carol Sutton",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,6.0,"3,194",tt0462295,movie,08 Jul 2008,N/A,IFC First Take,N/A,b'IFC',b'$778',b'1',b'$311',b'1',b'12/19/2007'
Flame & Citron,2008,NOT RATED,28 Mar 2008,130 min,"Drama, History, Thriller",Ole Christian Madsen,"Lars Kristian Andersen, Ole Christian Madsen","Thure Lindhardt, Mads Mikkelsen, Stine Stengade, Peter Mygind","Danish, German","Denmark, Germany, Norway, France, Sweden, Finland, Czech Republic",9 wins & 15 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.3,"15,373",tt0920458,movie,23 Feb 2010,N/A,IFC Films,N/A,b'IFC',"b'$148,089'",b'8',"b'$15,254'",b'2',b'7/31/2009'
Flame of Barbary Coast,1945,APPROVED,28 May 1945,91 min,"Musical, Romance, Western",Joseph Kane,"Borden Chase (original screenplay), Prescott Chaplin (story)","John Wayne, Ann Dvorak, Joseph Schildkraut, William Frawley",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,953,tt0037702,movie,21 Jan 2003,N/A,Republic,N/A,b'Rep.',b'n/a',b'n/a',b'n/a',b'n/a',b'5/28/1945'
Flamenco,1995,N/A,25 Apr 1997,100 min,"Documentary, Music",Carlos Saura,Carlos Saura,"La Paquera de Jerez, Merche Esmeralda, Manolo Sanlúcar, Joaquín Cortés",Spanish,Spain,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}]",N/A,7.4,619,tt0113077,movie,02 Dec 2003,N/A,Dada Films,http:///www.flamencohoydecarlossaura.com,b'NYer',"b'$480,941'",b'6',"b'$22,106'",b'2',b'4/25/1997'
"Flamenco, Flamenco",2010,NOT RATED,19 Nov 2010,97 min,"Documentary, Music",Carlos Saura,Carlos Saura,"Sara Baras, José Miguel Carmona, Montse Cortés, Paco de Lucía",Spanish,Spain,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.2,282,tt1550481,movie,N/A,N/A,General de Producciones y Diseño,http://www.flamencodecarlossaura.com/en/,b'Da.',"b'$71,732'",b'5',"b'$1,259'",b'1',b'7/18/2014'
The Flamingo Kid,1984,PG-13,21 Dec 1984,100 min,"Comedy, Drama, Romance",Garry Marshall,"Neal Marshall (story and screenplay), Garry Marshall (screenplay)","Matt Dillon, Hector Elizondo, Molly McCarthy, Martha Gehman",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",N/A,6.2,"4,184",tt0087265,movie,08 Feb 2000,N/A,Live Home Video,N/A,b'Fox',"b'$23,859,382'",b'753',"b'$2,015,076'",b'531',b'12/21/1984'
Flanders,2006,NOT RATED,30 Aug 2006,91 min,"Drama, Romance, War",Bruno Dumont,Bruno Dumont,"Adélaïde Leroux, Samuel Boidin, Henri Cretel, Jean-Marie Bruveart",French,France,3 wins & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.6,"2,445",tt0450680,movie,06 Nov 2007,N/A,International Film Circuit,http://www.tadrart.com/tessalit/flandres/,b'ICir',"b'$22,788'",b'2',"b'$1,794'",b'1',b'5/18/2007'
Flannel Pajamas,2006,R,22 Jan 2006,124 min,Romance,Jeff Lipsky,Jeff Lipsky,"Justin Kirk, Julianne Nicholson, Rebecca Schull, Jamie Harrold",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,5.9,828,tt0432290,movie,10 Apr 2007,N/A,Gigantic Pictures,http://www.giganticpictures.com/flannel.html,b'Giga.',"b'$123,301'",b'4',"b'$11,069'",b'1',b'11/15/2006'
Flash Gordon,1980,PG,05 Dec 1980,111 min,"Action, Adventure, Sci-Fi",Mike Hodges,"Lorenzo Semple Jr. (screenplay), Michael Allin (adaptation), Alex Raymond (based on the characters created by)","Sam J. Jones, Melody Anderson, Max von Sydow, Topol",English,"UK, USA",Nominated for 2 BAFTA Film Awards. Another 2 wins & 9 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.5,"41,168",tt0080745,movie,10 Oct 2000,N/A,MCA Universal Home Video,N/A,b'Uni.',"b'$27,107,960'",b'n/a',"b'$3,934,030'",b'823',b'12/5/1980'
