Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Bubba Ho-Tep,2002,R,10 Oct 2003,92 min,"Comedy, Fantasy, Horror",Don Coscarelli,"Joe R. Lansdale (short story), Don Coscarelli (screenplay)","Bruce Campbell, Ossie Davis, Ella Joyce, Heidi Marnhout","English, German",USA,7 wins & 10 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,7.2,"40,714",tt0281686,movie,25 May 2004,N/A,Silver Sphere Corporation,http://www.bubbahotep.com/,b'Vita.',"b'$1,239,183'",b'25',"b'$35,636'",b'2',b'9/19/2003'
The Bubble,2006,UNRATED,07 Sep 2007,117 min,"Comedy, Drama, Romance",Eytan Fox,"Gal Uchovsky (screenplay), Eytan Fox (screenplay), Martin Sherman (excerpt from the play 'Bent"")","Ohad Knoller, Yousef 'Joe' Sweid, Daniella Wircer, Alon Friedman","Hebrew, Arabic, English",Israel,11 wins & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,7.3,"4,924",tt0476643,movie,12 Feb 2008,N/A,Strand Releasing,http://www.thebubble.msn.co.il/,b'Strand',"b'$157,121'",b'10',"b'$38,882'",b'10',b'9/7/2007'
Bubble,2005,R,27 Jan 2006,73 min,"Crime, Drama, Mystery",Steven Soderbergh,Coleman Hough,"Debbie Doebereiner, Omar Cowan, Dustin James Ashley, Phyllis Workman",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.6,"6,991",tt0454792,movie,N/A,N/A,N/A,N/A,b'Magn.',"b'$145,626'",b'32',"b'$70,664'",b'32',b'1/27/2006'
Bubble Boy,2001,PG-13,24 Aug 2001,84 min,"Adventure, Comedy, Romance",Blair Hayes,"Cinco Paul, Ken Daurio","Jake Gyllenhaal, Swoosie Kurtz, Marley Shelton, Danny Trejo",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,5.6,"27,062",tt0258470,movie,15 Jan 2002,N/A,Touchstone Pictures,http://bventertainment.go.com/movies/bubbleboy,b'BV',"b'$5,007,898'","b'1,605'","b'$2,038,349'","b'1,605'",b'8/24/2001'
Buccaneer's Girl,1950,APPROVED,01 Mar 1950,77 min,"Action, Adventure, Comedy",Frederick De Cordova,"Samuel R. Golding (story), Joseph Hoffman, Joe May (story), Harold Shumate","Yvonne De Carlo, Philip Friend, Robert Douglas, Elsa Lanchester",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,270,tt0042287,movie,N/A,N/A,N/A,N/A,b'Uni.',b'n/a',b'n/a',b'n/a',b'n/a',b'3/1/1950'
Buck,2011,PG,16 Feb 2012,88 min,Documentary,Cindy Meehl,N/A,"Buck Brannaman, Gary Myers, Bibb Frazier, Betty Staley",English,USA,10 wins & 12 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.6,"2,943",tt1753549,movie,04 Oct 2011,"$4,023,123",IFC Films,http://www.facebook.com/pages/Buck-The-Film/175055519187765,b'IFC',"b'$4,038,912'",b'152',"b'$67,548'",b'4',b'6/17/2011'
Buck Rogers in the 25th Century,1979–1981,N/A,20 Sep 1979,60 min,"Action, Adventure, Sci-Fi",N/A,"Glen A. Larson, Leslie Stevens","Gil Gerard, Erin Gray, Felix Silla, Mel Blanc",English,USA,Won 1 Primetime Emmy. Another 5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"5,650",tt0078579,series,,,,,b'Uni.',"b'$21,671,241'",b'934',b'n/a',b'934',b'3/30/1979'
The Bucket List,2007,PG-13,11 Jan 2008,97 min,"Adventure, Comedy, Drama",Rob Reiner,Justin Zackham,"Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd",English,USA,3 wins & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,7.4,"199,510",tt0825232,movie,10 Jun 2008,"$93,500,000",Warner Bros. Pictures,http://thebucketlist.warnerbros.com/,b'WB',"b'$93,466,502'","b'2,915'","b'$335,837'",b'16',b'12/25/2007'
Bucky Larson: Born to Be a Star,2011,R,09 Sep 2011,97 min,Comedy,Tom Brady,"Adam Sandler, Allen Covert, Nick Swardson","Nick Swardson, Christina Ricci, Don Johnson, Stephen Dorff",English,USA,1 win & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '9/100'}]",9,3.3,"9,967",tt1411664,movie,17 Jan 2012,"$2,331,318",Sony Pictures,http://www.buckylarson.com/,b'Sony',"b'$2,529,395'","b'1,500'","b'$1,415,023'","b'1,500'",b'9/9/2011'
Buddha Heads,2002,N/A,09 Aug 2002,94 min,"Crime, Drama",Brian T. Maeda,Brian T. Maeda,"Eddie Mui, Calvin Jung, Helen Ota, Louise Mita",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,22,tt0328913,movie,17 Sep 2002,N/A,Pathfinder Home Entertainment,N/A,b'Path.',"b'$6,739'",b'1',"b'$6,739'",b'1',b'8/9/2002'
