Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Tchoupitoulas,2012,NOT RATED,10 Mar 2012,80 min,Documentary,"Bill Ross IV, Turner Ross",N/A,"William Zanders, Bryan Zanders, Kentrell Zandrs",English,USA,5 wins & 8 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,6.5,185,tt2011265,movie,29 Apr 2013,"$10,431",Oscilloscope Laboratories,http://rossbros.net/tchoupitoulas.html,b'Osci.',"b'$19,375'",b'6',"b'$2,379'",b'1',b'12/7/2012'
Te Ata,2016,PG,13 Oct 2017,105 min,"Drama, History",Nathan Frankowski,"Jeannie Barbour, Esther Luttrell","Q'orianka Kilcher, Gil Birmingham, Graham Greene, Mackenzie Astin",English,USA,7 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,7.5,72,tt4061944,movie,N/A,N/A,Paladin,http://www.teatamovie.com/,b'Pala.',"b'$73,236'",b'43',"b'$28,640'",b'14',b'9/29/2017'
Te3n,2016,N/A,10 Jun 2016,136 min,"Drama, Mystery, Thriller",Ribhu Dasgupta,"Bijesh Jayarajan (screenplay), Geun-seop Jeong (story by: based on Korean film ""Montage""), Suresh Nair (screenplay), Ritesh Shah (dialogue)","Amitabh Bachchan, Nawazuddin Siddiqui, Vidya Balan, Mukesh Chhabra",Hindi,India,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}]",N/A,7.3,"8,100",tt4814290,movie,N/A,"$258,066",Cinemaa Pictures,N/A,b'Rel.',"b'$331,507'",b'104',"b'$258,066'",b'104',b'6/10/2016'
Tea with Mussolini,1999,PG,14 May 1999,117 min,"Drama, Comedy, War",Franco Zeffirelli,"John Mortimer, Franco Zeffirelli (autobiography)","Cher, Judi Dench, Joan Plowright, Maggie Smith","English, Italian","Italy, UK",Won 1 BAFTA Film Award. Another 4 wins & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.9,"9,761",tt0120857,movie,16 Nov 1999,N/A,MGM/UA,N/A,b'MGM',"b'$14,401,563'",b'284',"b'$1,633,183'",b'270',b'5/14/1999'
The Teacher,2016,UNRATED,30 Aug 2017,102 min,"Comedy, Drama",Jan Hrebejk,Petr Jarchovský,"Zuzana Mauréry, Zuzana Konecná, Csongor Kassai, Tamara Fischer",Slovak,"Slovakia, Czech Republic",8 wins & 14 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.3,"1,134",tt5061162,movie,N/A,N/A,N/A,N/A,b'FM',"b'$62,176'",b'5',"b'$15,091'",b'5',b'8/30/2017'
A Teacher,2013,NOT RATED,06 Sep 2013,75 min,"Drama, Romance",Hannah Fidell,Hannah Fidell,"Lindsay Burdge, Will Brittain, Jennifer Prediger, Julie Dell Phillips",English,USA,2 wins & 5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,4.8,"3,648",tt2201548,movie,01 Sep 2014,"$4,000",Oscilloscope Laboratories,http://www.oscilloscope.net/films/film/90/A-Teacher#press,b'Osci.',"b'$8,348'",b'7',"b'$4,684'",b'2',b'9/6/2013'
Teacher's Pet,1958,APPROVED,01 Apr 1958,120 min,"Comedy, Romance",George Seaton,"Fay Kanin, Michael Kanin","Clark Gable, Doris Day, Gig Young, Mamie Van Doren",English,USA,Nominated for 2 Oscars. Another 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",N/A,7.1,"3,404",tt0052278,movie,19 Apr 2005,N/A,Paramount Home Video,N/A,b'BV',"b'$6,491,969'","b'2,027'","b'$2,461,252'","b'2,027'",b'1/16/2004'
Teachers,1984,R,05 Oct 1984,107 min,"Comedy, Drama",Arthur Hiller,W.R. McKinney,"Nick Nolte, JoBeth Williams, Judd Hirsch, Ralph Macchio",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}]",N/A,6.0,"3,328",tt0088242,movie,28 Aug 2007,N/A,Twentieth Century Fox Home Entertainment,N/A,b'MGM',"b'$27,774,237'","b'1,721'","b'$7,013,366'","b'1,721'",b'10/5/1984'
Teaching Mrs. Tingle,1999,PG-13,20 Aug 1999,96 min,"Comedy, Thriller",Kevin Williamson,Kevin Williamson,"Helen Mirren, Katie Holmes, Jeffrey Tambor, Barry Watson",English,USA,4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,5.2,"17,969",tt0133046,movie,21 Dec 1999,N/A,Miramax,http://www.dimensionfilms.com/mm_front/owa/dim_movie_page.entryPoint?midStr=1182,b'Mira.',"b'$8,951,935'","b'1,710'","b'$3,326,870'","b'1,710'",b'8/20/1999'
The Teahouse of the August Moon,1956,APPROVED,01 Dec 1956,123 min,Comedy,Daniel Mann,"John Patrick (screenplay), Vern J. Sneider (book), John Patrick (play)","Marlon Brando, Glenn Ford, Machiko Kyô, Eddie Albert","English, Japanese",USA,Nominated for 6 Golden Globes. Another 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",N/A,6.9,"2,562",tt0049830,movie,07 Nov 2006,N/A,MGM,N/A,b'MGM',b'n/a',b'n/a',b'n/a',b'n/a',b'11/29/1956'
Team America: World Police,2004,R,15 Oct 2004,98 min,"Action, Comedy",Trey Parker,"Trey Parker, Matt Stone, Pam Brady","Trey Parker, Matt Stone, Kristen Miller, Masasa Moyo","English, French, Klingon, Korean, Arabic","USA, Germany",1 win & 11 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.2,"143,303",tt0372588,movie,17 May 2005,"$32,700,000",Paramount Pictures,http://www.teamamericamovie.com/,b'Par.',"b'$32,786,074'","b'2,620'","b'$12,120,358'","b'2,539'",b'10/15/2004'
Tears of the Black Tiger,2000,UNRATED,09 Aug 2001,110 min,"Action, Comedy, Romance",Wisit Sasanatieng,Wisit Sasanatieng,"Chartchai Ngamsan, Suwinit Panjamawat, Stella Malucchi, Supakorn Kitsuwon",Thai,Thailand,4 wins & 10 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.0,"2,419",tt0269217,movie,24 Apr 2007,N/A,Magnolia Pictures,http://www.fahtalaijone.com,b'Magn.',"b'$75,234'",b'5',"b'$7,954'",b'1',b'1/12/2007'
Tears of the Sun,2003,R,07 Mar 2003,121 min,"Action, Drama, Thriller",Antoine Fuqua,"Alex Lasker, Patrick Cirillo","Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker",English,USA,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.6,"99,504",tt0314353,movie,10 Jun 2003,"$43,426,961",Columbia Pictures,http://www.sonypictures.com/movies/tearsofthesun,b'SonR',"b'$43,734,876'","b'2,973'","b'$17,057,213'","b'2,973'",b'3/7/2003'
Ted,2012,R,29 Jun 2012,106 min,"Comedy, Fantasy",Seth MacFarlane,"Seth MacFarlane (screenplay by), Alec Sulkin (screenplay by), Wellesley Wild (screenplay by), Seth MacFarlane (story by)","Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale","English, Ukrainian",USA,Nominated for 1 Oscar. Another 13 wins & 27 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.0,"504,369",tt1637725,movie,11 Dec 2012,"$218,100,000",Universal Pictures,http://www.tedisreal.com/,b'Uni.',"b'$218,815,487'","b'3,303'","b'$54,415,205'","b'3,239'",b'6/29/2012'
Ted 2,2015,R,26 Jun 2015,115 min,Comedy,Seth MacFarlane,"Seth MacFarlane, Alec Sulkin, Wellesley Wild, Seth MacFarlane (based on characters created by)","Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth",English,USA,3 wins & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.3,"144,572",tt2637276,movie,15 Dec 2015,"$63,883,740",Universal Pictures,http://www.legalizeted.com/,b'Uni.',"b'$81,476,385'","b'3,448'","b'$33,507,870'","b'3,442'",b'6/26/2015'
Ted Bundy: Natural Porn Killer,2006,N/A,16 Aug 2006,60 min,Documentary,Sascha Olofson,N/A,"Joseph Aloi, Jim Coleman, Susannah Doyle, John Hollenhorst",English,UK,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,56,tt0850342,movie,N/A,N/A,N/A,N/A,b'Tar.',"b'$6,073'",b'2',"b'$1,710'",b'1',b'9/13/2002'
Teddy Bear,1981,N/A,04 May 1981,111 min,Comedy,Stanislaw Bareja,"Stanislaw Bareja, Stanislaw Tym","Stanislaw Tym, Barbara Burska, Christine Paul-Podlasky, Krzysztof Kowalewski","Polish, English",Poland,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"3,882",tt0082755,movie,12 Jul 2004,N/A,"Zespol Filmowy ""Perspektywa""",N/A,b'FM',"b'$16,138'",b'2',"b'$5,388'",b'2',b'8/22/2012'
Teddy Bears' Picnic,2002,R,29 Mar 2002,80 min,Comedy,Harry Shearer,Harry Shearer,"John Michael Higgins, Ming-Na Wen, Henry Gibson, David Rasche",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,3.3,359,tt0250282,movie,24 Feb 2004,N/A,Visionbox Media,http://www.visionboxpictures.com/teddybearspicnic/index.html,b'Magn.',"b'$28,149'",b'n/a',b'n/a',b'n/a',b'3/29/2002'
Teen Witch,1989,PG-13,28 Apr 1989,90 min,"Comedy, Family, Fantasy",Dorian Walker,"Robin Menken, Vernon Zimmerman","Robyn Lively, Dan Gauthier, Joshua John Miller, Caren Kaye",English,USA,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}]",N/A,6.2,"6,777",tt0098453,movie,12 Jul 2005,N/A,Media Home Entertainment,N/A,b'TWE',"b'$27,843'",b'17',b'n/a',b'n/a',b'4/21/1989'
Teen Wolf,2011–2017,TV-14,05 Jun 2011,41 min,"Action, Comedy, Drama",N/A,Jeff Davis,"Tyler Posey, Holland Roden, Dylan O'Brien, Linden Ashby",English,USA,19 wins & 33 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"103,898",tt1567432,series,,,,,b'Atl',"b'$33,086,611'","b'1,425'","b'$6,120,348'","b'1,416'",b'8/23/1985'
Teen Wolf Too,1987,PG,20 Nov 1987,95 min,"Comedy, Fantasy",Christopher Leitch,"Jeph Loeb (characters), Matthew Weisman (characters), Jeph Loeb (story), Matthew Weisman (story), Tim Kring (screenplay)","Jason Bateman, Kim Darby, John Astin, Paul Sand",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}, {'Source': 'Metacritic', 'Value': '8/100'}]",8,3.2,"8,914",tt0094118,movie,N/A,N/A,Paramount Home Video,N/A,b'Atl',"b'$7,888,703'","b'1,540'","b'$2,709,160'","b'1,540'",b'11/20/1987'
Teenage,2013,NOT RATED,14 Mar 2014,78 min,"Documentary, History",Matt Wolf,"Jon Savage (based on the book 'Teenage: The Creation of Youth Culture,  1875-1945'), Jon Savage, Matt Wolf","Jena Malone, Ben Whishaw, Julia Hummer, Jessie T. Usher",English,"USA, Germany",4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.5,648,tt2196055,movie,08 Sep 2014,"$19,507",Oscilloscope Pictures,http://www.teenagefilm.com/,b'Osci.',"b'$40,169'",b'4',"b'$8,000'",b'1',b'3/14/2014'
Teenage Mutant Ninja Turtles,2014,PG-13,08 Aug 2014,101 min,"Action, Adventure, Comedy",Jonathan Liebesman,"Josh Appelbaum, André Nemec, Evan Daugherty, Peter Laird (based on the Teenage Mutant Ninja Turtles characters created by), Kevin Eastman (based on the Teenage Mutant Ninja Turtles characters created by)","Megan Fox, Will Arnett, William Fichtner, Alan Ritchson","English, Japanese",USA,1 win & 10 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,5.8,"182,090",tt1291150,movie,16 Dec 2014,"$163,911,409",Paramount Pictures,http://www.teenagemutantninjaturtlesmovie.com/,b'NL',"b'$135,265,915'","b'2,377'","b'$25,398,367'","b'2,006'",b'3/30/1990'
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,PG,22 Mar 1991,88 min,"Action, Adventure, Comedy",Michael Pressman,"Kevin Eastman (based on characters created by), Peter Laird (based on characters created by), Todd W. Langen","Paige Turco, David Warner, Michelan Sisti, Leif Tilden",English,"USA, Hong Kong",3 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}]",N/A,6.0,"45,002",tt0103060,movie,03 Sep 2002,N/A,WARNER BROTHERS PICTURES,N/A,b'NL',"b'$78,656,813'","b'2,868'","b'$20,030,473'","b'2,868'",b'3/22/1991'
Teenage Mutant Ninja Turtles III,1993,PG,19 Mar 1993,96 min,"Action, Adventure, Comedy",Stuart Gillard,"Kevin Eastman (based on characters created by), Peter Laird (based on characters created by), Stuart Gillard","Elias Koteas, Paige Turco, Stuart Wilson, Sab Shimono",English,"USA, Hong Kong",1 win.,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}]",N/A,4.8,"26,747",tt0108308,movie,03 Sep 2002,N/A,WARNER BROTHERS PICTURES,N/A,b'NL',"b'$42,273,609'","b'2,087'","b'$12,419,597'","b'2,087'",b'3/19/1993'
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,PG-13,03 Jun 2016,112 min,"Action, Adventure, Comedy",Dave Green,"Josh Appelbaum, André Nemec, Peter Laird (based on the Teenage Mutant Ninja Turtles characters created by), Kevin Eastman (based on the Teenage Mutant Ninja Turtles characters created by)","Megan Fox, Will Arnett, Laura Linney, Stephen Amell",English,"USA, Hong Kong, China, Canada",10 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.0,"65,228",tt3949660,movie,20 Sep 2016,"$82,035,527",Paramount Pictures,http://www.teenagemutantninjaturtlesmovie.com/,b'Par.',"b'$82,051,601'","b'4,071'","b'$35,316,382'","b'4,071'",b'6/3/2016'
Tees Maar Khan,2010,N/A,14 Nov 2010,135 min,"Comedy, Crime",Farah Khan,"Vishal Dadlani (lyrics), Vishal Dadlani, Anvita Dutt Guptan (lyrics), Ashmith Kunder (screenplay), Shirish Kunder (dialogue), Shirish Kunder (screenplay), Shirish Kunder (story)","Akshay Kumar, Katrina Kaif, Akshaye Khanna, Rajiv Laxman",Hindi,India,4 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '2.5/10'}]",N/A,2.5,"9,132",tt1572311,movie,22 Feb 2011,"$1,076,266",UTV Communications,http://www.teesmaarkhan-thefilm.com/,b'UTV',"b'$1,076,443'",b'108',"b'$539,793'",b'108',b'12/22/2010'
Teeth,2007,R,03 Apr 2008,94 min,"Comedy, Fantasy, Horror",Mitchell Lichtenstein,Mitchell Lichtenstein,"Jess Weixler, John Hensley, Josh Pais, Hale Appleman",English,USA,2 wins & 9 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,5.4,"36,509",tt0780622,movie,06 May 2008,"$182,599",Roadside Attractions,http://www.teethmovie.com/,b'RAtt.',"b'$347,578'",b'16',"b'$29,521'",b'4',b'1/18/2008'
Tekken,2010,R,20 Mar 2010,92 min,"Action, Crime, Drama",Dwight H. Little,Alan B. McElroy (screenplay),"Jon Foo, Kelly Overton, Cary-Hiroyuki Tagawa, Ian Anthony Dale","Mandarin, Japanese, English","Japan, USA",N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",N/A,4.8,"23,563",tt0411951,movie,19 Jul 2011,N/A,Crystal Sky Pictures,N/A,b'SGem',b'n/a',b'n/a',b'n/a',b'n/a',b'2009'
