Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Pocahontas,1995,G,23 Jun 1995,81 min,"Animation, Adventure, Drama","Mike Gabriel, Eric Goldberg","Carl Binder, Susannah Grant, Philip LaZebnik, Glen Keane (story), Joe Grant (story), Ralph Zondag (story), Burny Mattinson (story), Ed Gombert (story), Kaan Kalyon (story), Francis Glebas (story), Rob Gibbs (story), Bruce Morris (story), Todd Kurosawa (story), Duncan Marjoribanks (story), Chris Buck (story), Mike Gabriel (based on an idea by), Andrew Chapman (additional story development), Randy Cartwright (additional story development), Will Finn (additional story development), Broose Johnson (additional story development), T. Daniel Hofstedt (additional story development), David Pruiksma (additional story development), Nik Ranieri (additional story development), Vincent DeFrances (additional story development), Tom Mazzocco (additional story development), Don Dougherty (additional story development), Jorgen Klubien (additional story development)","Joe Baker, Christian Bale, Irene Bedard, Billy Connolly","English, Algonquin",USA,Won 2 Oscars. Another 13 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.7,"134,768",tt0114148,movie,06 Jun 2000,N/A,Buena Vista Distribution Compa,N/A,b'BV',"b'$141,579,773'","b'2,757'","b'$2,689,714'",b'6',b'6/16/1995'
Pocket Money,1972,PG,01 Feb 1972,102 min,"Comedy, Drama, Western",Stuart Rosenberg,"Terrence Malick (screenplay), J.P.S. Brown (novel), John Gay (adaptation)","Paul Newman, Lee Marvin, Strother Martin, Wayne Rogers",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",N/A,5.5,"1,204",tt0069103,movie,14 Nov 2006,N/A,WARNER BROTHERS PICTURES,N/A,b'NGP',b'n/a',b'n/a',b'n/a',b'n/a',b'2/1/1972'
Poetic Justice,1993,R,23 Jul 1993,109 min,"Drama, Romance",John Singleton,John Singleton,"Janet Jackson, Tupac Shakur, Khandi Alexander, Ché J. Avery",English,USA,Nominated for 1 Oscar. Another 4 wins & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,5.9,"9,872",tt0107840,movie,08 May 2001,N/A,Columbia Pictures Corporation,N/A,b'Col.',"b'$27,515,786'","b'1,285'","b'$11,728,455'","b'1,273'",b'7/23/1993'
Poetry,2010,UNRATED,11 Feb 2011,139 min,Drama,Chang-dong Lee,Chang-dong Lee,"Jeong-hie Yun, Da-wit Lee, Hee-ra Kim, Nae-sang Ahn",Korean,South Korea,24 wins & 20 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,7.8,"7,446",tt1287878,movie,23 Aug 2011,"$355,044",Kino International,http://diaphana.fr/film/poetry,b'Kino',"b'$356,149'",b'17',"b'$18,900'",b'3',b'2/11/2011'
Point Blank,1967,APPROVED,10 Feb 1968,92 min,"Crime, Thriller",John Boorman,"Alexander Jacobs (screenplay), David Newhouse (screenplay), Rafe Newhouse (screenplay), Donald E. Westlake (novel)","Lee Marvin, Angie Dickinson, Keenan Wynn, Carroll O'Connor",English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",N/A,7.4,"14,821",tt0062138,movie,05 Jul 2005,N/A,MGM Home Entertainment,N/A,b'Magn.',"b'$708,215'",b'37',"b'$41,031'",b'6',b'7/29/2011'
Point Break,1991,R,12 Jul 1991,122 min,"Action, Crime, Drama",Kathryn Bigelow,"Rick King (story), W. Peter Iliff (story), W. Peter Iliff (screenplay)","Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty",English,"Japan, USA",1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,7.2,"124,110",tt0102685,movie,22 May 2001,N/A,Twentieth Century Fox Home Entertainment,N/A,b'Fox',"b'$43,218,387'","b'1,625'","b'$8,514,616'","b'1,615'",b'7/12/1991'
Point of No Return,1993,R,19 Mar 1993,109 min,"Action, Crime, Drama",John Badham,"Luc Besson (film La Femme Nikita), Robert Getchell (screenplay), Alexandra Seros (screenplay)","Bridget Fonda, Gabriel Byrne, Dermot Mulroney, Miguel Ferrer","English, French",USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}]",N/A,6.0,"21,755",tt0107843,movie,19 Aug 2003,N/A,Warner Home Video,N/A,b'WB',"b'$30,038,362'","b'1,659'","b'$7,160,389'","b'1,545'",b'3/19/1993'
Poison,1991,R,16 Aug 1991,85 min,"Drama, Horror, Romance",Todd Haynes,"Jean Genet (inspired by the novels of Jean Genet with quotations from ""Miracle of the Rose"",  ""Our Lady of the Flowers"" and ""Thief's Journal""), Todd Haynes","Edith Meeks, Millie White, Buck Smith, Anne Giotta",English,USA,4 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}]",N/A,6.5,"2,728",tt0102687,movie,15 Feb 2000,N/A,Zeitgeist Films,N/A,b'Zeit.',"b'$787,280'",b'n/a',b'n/a',b'n/a',b'4/5/1991'
Poison Friends,2006,UNRATED,27 Sep 2006,100 min,Drama,Emmanuel Bourdieu,"Emmanuel Bourdieu, Marcia Romano","Malik Zidi, Thibault Vinçon, Alexandre Steiger, Thomas Blanchard",French,France,5 wins.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,6.5,477,tt0814656,movie,17 Jul 2007,N/A,Strand Releasing,N/A,b'Strand',"b'$13,665'",b'2',"b'$2,980'",b'1',b'4/27/2007'
Poison Ivy,1992,R,08 May 1992,90 min,"Drama, Thriller",Katt Shea,"Melissa Goddard (story), Andy Ruben (screenplay), Katt Shea (screenplay)","Sara Gilbert, Drew Barrymore, Tom Skerritt, Cheryl Ladd",English,USA,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}]",N/A,5.4,"14,769",tt0105156,movie,02 Nov 1999,N/A,Sony Pictures Home Entertainment,N/A,b'NL',"b'$1,829,804'",b'20',"b'$119,840'",b'20',b'5/8/1992'
Poisoned by Polonium: The Litvinenko File,2007,N/A,31 Aug 2007,105 min,Documentary,Andrey Nekrasov,"Olga Konskaya, Andrey Nekrasov","Alexander Litvinenko, Boris Berezovsky, André Glucksmann, Marina Litvinenko","Russian, English, French",Russia,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}]",N/A,7.3,313,tt1038914,movie,12 Aug 2008,N/A,Kino International Corp.,http://www.dreamscanner-productions.com/litvinenko/index.html,b'Kino',"b'$5,080'",b'1',"b'$2,402'",b'1',b'3/21/2008'
