Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
CB4,1993,R,12 Mar 1993,89 min,"Comedy, Music",Tamra Davis,"Chris Rock (story), Nelson George (story), Chris Rock (screenplay), Nelson George (screenplay), Robert LoCash (screenplay)","Chris Rock, Allen Payne, Deezer D, Chris Elliott",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.2,"7,717",tt0106500,movie,14 Jan 2003,N/A,MCA Universal Home Video,N/A,b'Uni.',"b'$17,953,778'","b'1,226'","b'$6,122,450'","b'1,204'",b'3/12/1993'
CBGB,2013,R,11 Oct 2013,101 min,"Drama, Music",Randall Miller,"Jody Savin, Randall Miller","Alan Rickman, Malin Akerman, Justin Bartha, Richard de Klerk",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,6.6,"7,097",tt1786751,movie,31 Dec 2013,N/A,Xlrator Media,http://cbgbfilm.com/,b'XL',"b'$40,400'",b'100',"b'$3,909'",b'1',b'10/4/2013'
Cecil B. DeMented,2000,R,01 Sep 2000,87 min,"Comedy, Crime, Thriller",John Waters,John Waters,"Melanie Griffith, Stephen Dorff, Alicia Witt, Adrian Grenier",English,"France, USA",2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.2,"11,930",tt0173716,movie,23 Jan 2001,N/A,Artisan Entertainment,http://www.dementedforever.com,b'Art.',"b'$1,284,646'",b'82',"b'$127,141'",b'9',b'8/11/2000'
Cedar Rapids,2011,R,18 Mar 2011,87 min,Comedy,Miguel Arteta,Phil Johnston,"Ed Helms, John C. Reilly, Anne Heche, Isiah Whitlock Jr.",English,USA,1 win & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,6.3,"33,769",tt1477837,movie,21 Jun 2011,"$6,800,000",Fox Searchlight Pictures,http://www.foxsearchlight.com/cedarrapids/,b'FoxS',"b'$6,861,102'",b'462',"b'$302,968'",b'15',b'2/11/2011'
The Celebration,1998,R,19 Jun 1998,105 min,Drama,Thomas Vinterberg,"Thomas Vinterberg (screenplay), Mogens Rukov (screenplay), Thomas Vinterberg (idea)","Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen, Paprika Steen","Danish, German, English","Denmark, Sweden",Nominated for 1 Golden Globe. Another 28 wins & 22 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,8.1,"69,417",tt0154420,movie,12 Apr 2005,N/A,October Films,N/A,b'Oct.',"b'$1,656,223'",b'28',"b'$50,497'",b'28',b'10/9/1998'
Celebrity,1998,R,20 Nov 1998,113 min,"Comedy, Drama",Woody Allen,Woody Allen,"Greg Mottola, Jeff Mazzola, Dick Mingalone, Vladimir Bibic",English,USA,4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,6.3,"21,637",tt0120533,movie,10 Aug 1999,N/A,Miramax Films,N/A,b'Mira.',"b'$5,078,660'",b'493',"b'$1,588,013'",b'493',b'11/20/1998'
The Celestine Prophecy,2006,PG,20 Jul 2006,99 min,"Adventure, Drama",Armand Mastroianni,"James Redfield (screenplay), Barnet Bain (screenplay), Dan Gordon (screenplay), James Redfield (novel)","Matthew Settle, Thomas Kretschmann, Sarah Wayne Callies, Annabeth Gish",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '4%'}, {'Source': 'Metacritic', 'Value': '23/100'}]",23,4.9,"3,179",tt0398842,movie,19 Dec 2006,"$1,036,886",Celestine Films,http://www.thecelestineprophecymovie.com/,b'Ram',"b'$617,236'",b'19',"b'$25,297'",b'2',b'4/19/2006'
Celine: Through the Eyes of the World,2010,NOT RATED,17 Feb 2010,120 min,"Documentary, Music",Stéphane Laporte,N/A,"Rene-Charles Angelil, René Angelil, Céline Dion, Christopher Houston",English,"Canada, USA",N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,7.8,332,tt1570982,movie,11 May 2010,N/A,Sony Pictures Release,http://CelineDion.TheHotTicket.net,b'Sony',b'n/a',b'n/a',b'n/a',b'n/a',b'2/17/2010'
Cell,2016,R,10 Jun 2016,98 min,"Action, Drama, Horror",Tod Williams,"Stephen King (based on the novel by), Stephen King (screenplay by), Adam Alleca (screenplay by)","John Cusack, Samuel L. Jackson, Isabelle Fuhrman, Clark Sarullo",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,4.3,"17,897",tt0775440,movie,27 Sep 2016,N/A,Saban Films,N/A,b'Saban',b'n/a',b'n/a',b'n/a',b'n/a',b'7/8/2016'
The Cell,2000,R,18 Aug 2000,107 min,"Horror, Sci-Fi, Thriller",Tarsem Singh,Mark Protosevich,"Jennifer Lopez, Colton James, Dylan Baker, Marianne Jean-Baptiste",English,"USA, Germany",Nominated for 1 Oscar. Another 6 wins & 23 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.3,"84,542",tt0209958,movie,19 Dec 2000,N/A,New Line Cinema,http://www.cellmovie.com,b'NL',"b'$61,334,059'","b'2,476'","b'$17,515,050'","b'2,411'",b'8/18/2000'
