Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Coach Carter,2005,PG-13,14 Jan 2005,136 min,"Biography, Drama, Sport",Thomas Carter,"Mark Schwahn, John Gatins","Samuel L. Jackson, Rob Brown, Robert Ri'chard, Rick Gonzalez",English,"USA, Germany",3 wins & 15 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,7.3,"101,138",tt0393162,movie,21 Jun 2005,"$67,169,549",Paramount Pictures,http://www.coachcartermovie.com/index2.html,b'Par.',"b'$67,264,877'","b'2,574'","b'$24,182,961'","b'2,524'",b'1/14/2005'
Coal Miner's Daughter,1980,PG,07 Mar 1980,124 min,"Biography, Drama, Music",Michael Apted,"Thomas Rickman (screenplay), Loretta Lynn (autobiography), George Vecsey (autobiography)","Sissy Spacek, Tommy Lee Jones, Levon Helm, Phyllis Boyens-Liptak",English,USA,Won 1 Oscar. Another 8 wins & 13 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,7.5,"13,881",tt0080549,movie,06 May 2003,N/A,MCA Universal Home Video,N/A,b'Uni.',"b'$67,182,787'",b'n/a',"b'$3,366,443'",b'437',b'3/7/1980'
Coast to Coast,2003,R,04 Apr 2004,108 min,Drama,Paul Mazursky,"Frederic Raphael (novel), Frederic Raphael (screenplay)","Richard Dreyfuss, Judy Davis, Selma Blair, Maximilian Schell",English,"USA, Canada",1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,355,tt0335008,movie,N/A,N/A,N/A,N/A,b'Par.',"b'$4,495,445'",b'n/a',b'n/a',b'n/a',b'10/3/1980'
Coastlines,2002,R,16 Jan 2002,110 min,"Crime, Drama, Thriller",Victor Nunez,Victor Nunez,"Timothy Olyphant, Josh Brolin, Sarah Wynter, Scott Wilson",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,5.9,520,tt0284971,movie,06 Feb 2007,N/A,IFC Films,http://www.coastlinesthemovie.com,b'IFC',"b'$7,883'",b'2',b'$736',b'1',b'5/31/2006'
Cobb,1994,R,02 Dec 1994,128 min,"Biography, Drama, Sport",Ron Shelton,"Al Stump (article), Al Stump (book), Ron Shelton (screenplay)","Tommy Lee Jones, Robert Wuhl, Lolita Davidovich, Ned Bellamy",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}]",N/A,6.5,"6,227",tt0109450,movie,02 Sep 2003,N/A,Warner Home Video,N/A,b'WB',"b'$1,007,583'",b'4',"b'$63,786'",b'4',b'12/2/1994'
Cobra,1986,R,23 May 1986,87 min,"Action, Crime, Thriller",George P. Cosmatos,"Paula Gosling (novel), Sylvester Stallone (screenplay)","Sylvester Stallone, Brigitte Nielsen, Reni Santoni, Andrew Robinson",English,USA,6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25,5.7,"55,050",tt0090859,movie,03 Jul 2001,N/A,Warner Home Video,N/A,b'WB',"b'$49,042,224'","b'2,131'","b'$12,653,032'","b'2,131'",b'5/23/1986'
Cocaine Cowboys,2006,R,23 Nov 2007,118 min,"Documentary, Crime, History",Billy Corben,N/A,"Jon Roberts, Al Sunshine, Sam Burstyn, Mickey Munday",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,7.9,"11,210",tt0380268,movie,23 Jan 2007,N/A,Magnolia Pictures,http://www.cocainecowboys.com/,b'Magn.',"b'$150,056'",b'14',"b'$36,295'",b'12',b'10/27/2006'
Cock and Bull,2016,N/A,14 Sep 2016,110 min,Crime,Baoping Cao,N/A,"Ye Liu, Yi Zhang, Bowen Duan, Ziwen Wang",Chinese,China,2 wins & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,417,tt6067462,movie,N/A,"$82,215",N/A,N/A,b'CL',"b'$82,778'",b'12',"b'$33,231'",b'12',b'9/16/2016'
The Cockettes,2002,R,16 Jan 2002,100 min,Documentary,"Bill Weber, David Weissman",N/A,"Larry Brinkin, Peggy Cass, Pristine Condition, Jackie Curtis",English,USA,4 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.4,469,tt0303321,movie,21 Jan 2003,N/A,Strand Releasing,http://www.cockettes.com,b'Strand',"b'$220,165'",b'6',"b'$17,118'",b'3',b'5/10/2002'
Cockfight,2001,R,01 Mar 2001,45 min,Documentary,Tiller Russell,N/A,"Larry Cook, Manuel Costa, Clara Godfrey, David Holthouse",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,25,tt0379739,movie,N/A,N/A,Newmark/Echelon,N/A,b'Ech.',"b'$3,600'",b'10',"b'$3,200'",b'10',b'2/13/2004'
