Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Tsahal,1994,N/A,09 Nov 1994,316 min,Documentary,Claude Lanzmann,Claude Lanzmann,"Ehud Barak, Claude Lanzmann, Amos Oz, Ariel Sharon",Hebrew,"France, Germany",1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,78,tt0111510,movie,N/A,N/A,N/A,N/A,b'NYer',"b'$38,773'",b'1',"b'$12,195'",b'1',b'1/27/1995'
Tsotsi,2005,R,31 Mar 2006,94 min,"Crime, Drama",Gavin Hood,"Gavin Hood, Athol Fugard (novel)","Presley Chweneyagae, Terry Pheto, Kenneth Nkosi, Mothusi Magano","Zulu, Xhosa, Afrikaans, English","UK, South Africa",Won 1 Oscar. Another 16 wins & 13 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,7.3,"25,861",tt0468565,movie,18 Jul 2006,"$2,753,840",Miramax,http://www.tsotsi.com/,b'Mira.',"b'$2,912,606'",b'122',"b'$76,324'",b'6',b'2/24/2006'
Tu Dors Nicole,2014,NOT RATED,18 Mar 2015,93 min,"Comedy, Drama",Stéphane Lafleur,"Valérie Beaugrand-Champagne (story consultant), Stéphane Lafleur","Julianne Côté, Pierre-Luc Lafontaine, Luc Senay, Anne-Renée Duhaime",French,Canada,4 wins & 20 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.0,"1,651",tt3483194,movie,27 Oct 2015,N/A,Kino Lorber,http://www.kinolorber.com/press-detail.php?id=2017,b'Kino',"b'$5,662'",b'1',b'n/a',b'n/a',b'5/29/2015'
Tubelight,2017,NOT RATED,23 Jun 2017,136 min,Drama,Kabir Khan,"Kabir Khan (screenplay), Parveez Sheikh (screenplay), Manurishi Chadha (dialogue)","Salman Khan, Sohail Khan, Om Puri, Mohammed Zeeshan Ayyub",Hindi,India,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}]",N/A,4.1,"9,261",tt5882970,movie,N/A,"$930,058",Salman Khan Films,N/A,b'Yash',"b'$930,058'",b'338',"b'$930,058'",b'338',b'6/23/2017'
Tuck Everlasting,2002,PG,11 Oct 2002,90 min,"Drama, Romance, Family",Jay Russell,"Natalie Babbitt (novel), Jeffrey Lieber (screenplay), James V. Hart (screenplay)","Alexis Bledel, William Hurt, Sissy Spacek, Jonathan Jackson","English, French",USA,1 win & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.7,"19,048",tt0283084,movie,15 Nov 2005,"$19,032,871",Buena Vista Pictures,http://disney.go.com/disneypictures/tuck/index.html,b'BV',"b'$19,161,999'","b'1,460'","b'$5,268,764'","b'1,185'",b'10/11/2002'
Tucker: The Man and His Dream,1988,PG,12 Aug 1988,110 min,"Biography, Drama",Francis Ford Coppola,"Arnold Schulman, David Seidler","Jeff Bridges, Joan Allen, Martin Landau, Frederic Forrest",English,USA,Nominated for 3 Oscars. Another 8 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,6.9,"12,425",tt0096316,movie,24 Oct 2000,N/A,Paramount Pictures,N/A,b'Par.',"b'$19,652,638'",b'720',"b'$3,709,562'",b'720',b'8/12/1988'
"Tuesday, After Christmas",2010,UNRATED,25 May 2011,99 min,"Drama, Romance",Radu Muntean,"Alexandru Baciu (screenplay), Radu Muntean (screenplay), Razvan Radulescu (screenplay)","Mimi Branescu, Mirela Oprisor, Maria Popistasu, Victor Rebengiuc",Romanian,Romania,6 wins & 14 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.0,"3,731",tt1470024,movie,27 Dec 2011,"$13,401",Lorber,http://www.lorberfilms.com/view-all-films/tuesday-after-christmas/,b'Lorb.',"b'$27,813'",b'2',"b'$6,472'",b'1',b'5/25/2011'
Tuff Turf,1985,R,11 Jan 1985,112 min,"Action, Drama",Fritz Kiersch,"Jette Rinck (screenplay), Greg Collins O'Neill (story), Murray Michaels (story)","James Spader, Kim Richards, Paul Mones, Matt Clark",English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}]",N/A,6.2,"3,051",tt0090213,movie,12 Mar 2001,N/A,New World Video,N/A,b'Orion',"b'$9,369,329'",b'653',"b'$1,509,380'",b'440',b'1/11/1985'
Tulip Fever,2017,R,01 Sep 2017,105 min,"Drama, Romance",Justin Chadwick,"Deborah Moggach (screenplay by), Tom Stoppard (screenplay by), Deborah Moggach (based upon the novel by)","Alicia Vikander, Dane DeHaan, Jack O'Connell, Holliday Grainger",English,"UK, USA",1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,6.3,"2,258",tt0491203,movie,28 Nov 2017,"$2,399,374",The Weinstein Company,N/A,b'Wein.',"b'$2,419,000'",b'772',"b'$1,158,017'",b'765',b'9/1/2017'
Tully,2000,R,14 Apr 2000,102 min,Drama,Hilary Birmingham,"Hilary Birmingham, Matt Drake, Tom McNeal (story)","Glenn Fitzgerald, Anson Mount, Bob Burrus, Julianne Nicholson",English,USA,5 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.4,"1,743",tt0212604,movie,17 Jun 2003,N/A,Small Planet,http://www.tullythemovie.com,b'SmlP',"b'$466,664'",b'13',"b'$21,162'",b'6',b'11/1/2002'
