Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Mi America,2015,R,16 Oct 2015,90 min,"Crime, Drama",Robert Fontaine,Robert Fontaine,"Robert Fontaine, Michael Brainard, Grant Boyd, Michael Derek","English, Spanish",USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,7.0,33,tt2460506,movie,N/A,N/A,N/A,N/A,b'IH',"b'$3,330'",b'1',"b'$3,330'",b'1',b'10/16/2015'
Mi vida loca,1993,R,15 Jul 1994,92 min,"Crime, Drama",Allison Anders,Allison Anders,"Angel Aviles, Seidy Lopez, Jacob Vargas, Devine",English,"USA, UK",N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",N/A,6.6,"1,617",tt0107566,movie,14 Sep 2004,N/A,N/A,N/A,b'SPC',"b'$3,267,313'",b'n/a',b'n/a',b'n/a',b'7/15/1994'
MI-5,2015,R,04 Dec 2015,104 min,"Action, Drama, Thriller",Bharat Nalluri,"Jonathan Brackley (screenplay), Sam Vincent (screenplay), David Wolstencroft (television series ""Spooks"")","Michael Wildman, Tuppence Middleton, Geoffrey Streatfeild, Peter Firth",English,UK,2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.2,"16,124",tt3321300,movie,09 Feb 2016,N/A,Saban Films,N/A,b'Saban',b'n/a',b'n/a',b'n/a',b'n/a',b'12/4/2015'
Mia and the Migoo,2008,PG,10 Dec 2008,92 min,"Animation, Family",Jacques-Rémy Girerd,"Benoît Chieux (screenplay), Jacques-Rémy Girerd, Antoine Lanciaux (screenplay), Stephanie Sheh (adaptation), Iouri Tcherenkov (screenplay)","Dany Boon, John DiMaggio, Garance Lagraa, Charlie Girerd",French,"France, Italy",2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.7,273,tt0792978,movie,07 Aug 2012,"$16,975",GKIDS,http://www.miaetlemigou.fr/front/index.php,b'GK',"b'$16,975'",b'1',"b'$16,975'",b'1',b'3/25/2011'
Mia Madre,2015,R,26 Aug 2016,106 min,Drama,Nanni Moretti,"Nanni Moretti (story), Valia Santella (story), Gaia Manzini (story), Chiara Valerio (story), Nanni Moretti (screenplay), Francesco Piccolo (screenplay), Valia Santella (screenplay)","Margherita Buy, John Turturro, Giulia Lazzarini, Nanni Moretti","Italian, English, French","Italy, France, Germany",11 wins & 23 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,6.8,"5,454",tt3013610,movie,N/A,N/A,N/A,N/A,b'MBox',"b'$303,002'",b'35',"b'$34,098'",b'6',b'8/26/2016'
Miami Blues,1990,R,20 Apr 1990,97 min,"Comedy, Crime, Drama",George Armitage,"Charles Willeford (novel), George Armitage (screenplay)","Alec Baldwin, Cecilia Pérez-Cervera, Georgie Cranford, Edward Saxon",English,USA,2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}]",N/A,6.4,"6,545",tt0100143,movie,03 Dec 2002,N/A,Orion Home Video,N/A,b'Orion',"b'$9,888,167'",b'833',"b'$3,002,997'",b'832',b'4/20/1990'
Miami Rhapsody,1995,PG-13,27 Jan 1995,95 min,Comedy,David Frankel,David Frankel,"Sarah Jessica Parker, Gil Bellows, Antonio Banderas, Mia Farrow",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}]",N/A,5.4,"2,815",tt0113808,movie,14 Mar 2000,N/A,Hollywood Pictures,N/A,b'BV',"b'$5,221,281'",b'180',"b'$71,421'",b'2',b'1/27/1995'
Miami Vice,2006,R,28 Jul 2006,134 min,"Action, Crime, Thriller",Michael Mann,"Michael Mann, Anthony Yerkovich (TV series)","Colin Farrell, Jamie Foxx, Li Gong, Naomie Harris","English, Spanish","USA, Germany, Paraguay, Uruguay",1 win & 9 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.0,"97,618",tt0430357,movie,05 Dec 2006,"$63,400,000",Universal Pictures,http://www.miamivice.com/main.html,b'Uni.',"b'$63,450,470'","b'3,026'","b'$25,723,815'","b'3,021'",b'7/28/2006'
"Léchez-nous, Miaou, Miaou!",2015,N/A,06 Nov 2015,16 min,"Short, Comedy",Marie de Maricourt,Marie de Maricourt,"Nadia Sadji, Yoram Gué, Marie Colin, Thomas Caspar",French,Switzerland,N/A,[],N/A,N/A,N/A,tt5489976,movie,N/A,N/A,N/A,N/A,b'Chri.',"b'$256,770'",b'34',b'n/a',b'n/a',b'2/25/2004'
Partners in Time: The Making of 'MIB 3',2012,N/A,30 Nov 2012,N/A,"Short, Comedy",N/A,N/A,N/A,English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,8,tt2872992,movie,N/A,N/A,N/A,N/A,b'Sony',"b'$179,020,854'","b'4,248'","b'$54,592,779'","b'4,248'",b'5/25/2012'
