Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
The Grace Card,2010,PG-13,25 Feb 2011,101 min,Drama,David G. Evans,Howard Klausner,"Michael Joiner, Michael Higgenbottom, Joy Parmer Moore, Louis Gossett Jr.",English,USA,1 win & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.5,"2,317",tt1544600,movie,16 Aug 2011,"$2,428,241",Samuel Goldwyn Films,http://www.gracecardmovie.com/,b'Gold.',"b'$2,430,735'",b'352',"b'$1,010,299'",b'352',b'2/25/2011'
Grace Is Gone,2007,PG-13,10 Jan 2008,85 min,Drama,Jim Strouse,Jim Strouse,"John Cusack, Emily Churchill, Rebecca Spence, Jennifer Tyler",English,USA,Nominated for 2 Golden Globes. Another 4 wins & 5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.8,"8,552",tt0772168,movie,27 May 2008,N/A,The Weinstein Company,http://www.graceisgone-themovie.com/,b'Wein.',"b'$50,899'",b'7',"b'$13,880'",b'4',b'12/7/2007'
The Grace of Jake,2015,N/A,24 Apr 2015,90 min,"Comedy, Drama, Music",Christopher Hicky,Christopher Hicky,"Michael Beck, Ravi Kapoor, Lew Temple, Jordin Sparks",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,18,tt3091258,movie,N/A,N/A,N/A,N/A,b'Indic.',"b'$23,078'",b'2',"b'$4,784'",b'2',b'2/3/2017'
Grace of Monaco,2014,N/A,14 May 2014,103 min,"Biography, Drama, Romance",Olivier Dahan,Arash Amel (screenplay),"Nicole Kidman, Tim Roth, Frank Langella, Paz Vega","English, French","France, Switzerland, Belgium, Italy",Nominated for 2 Primetime Emmys. Another 1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '21/100'}]",21,5.7,"14,396",tt2095649,movie,N/A,"$640,122",The Weinstein Company,http://www.beyondgracekelly.com/grace-of-monaco-film/making-grace-of-monaco-movie/,b'Wein.',b'n/a',b'n/a',b'n/a',b'n/a',b'TBD'
Grace of My Heart,1996,R,13 Sep 1996,116 min,"Comedy, Drama, Music",Allison Anders,Allison Anders,"Illeana Douglas, Sissy Boyd, Christina Pickles, Jill Sobule",English,USA,3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}]",N/A,6.7,"3,135",tt0116442,movie,18 Apr 2000,N/A,MCA Universal Home Video,N/A,b'Gram.',"b'$660,313'",b'93',"b'$173,654'",b'47',b'9/13/1996'
Grace Quigley,1984,PG,17 May 1985,87 min,Comedy,Anthony Harvey,A. Martin Zweiback,"Katharine Hepburn, Nick Nolte, Kit Le Fever, Chip Zien",English,USA,2 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,509,tt0087354,movie,N/A,N/A,United Artists,N/A,b'Can.',b'n/a',b'n/a',b'n/a',b'n/a',b'5/17/1985'
Grace Unplugged,2013,PG,04 Oct 2013,102 min,"Drama, Music",Brad J. Silverman,"Brad J. Silverman (screenplay), Brad J. Silverman (story), Brandon Rice (story), James Killian (story)","AJ Michalka, James Denton, Kevin Pollak, Shawnee Smith",English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,6.2,"2,752",tt2349460,movie,11 Feb 2014,"$2,507,106",Roadside Attractions,http://graceunplugged.com/,b'RAtt.',"b'$2,507,201'",b'511',"b'$998,145'",b'511',b'10/4/2013'
The Gracefield Incident,2017,PG-13,27 Jul 2017,89 min,"Action, Horror, Mystery",Mathieu Ratthe,"Mathieu Ratthe, Mathieu Ratthe","Mathieu Ratthe, Victor Andres Turgeon-Trelles, Kimberly Laferriere, Juliette Gosselin",English,"USA, Canada",N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '21/100'}]",21,4.1,"1,061",tt4464394,movie,21 Jul 2017,N/A,Momentum Pictures,N/A,b'PDF',b'n/a',b'n/a',b'n/a',b'n/a',b'7/21/2017'
Graceland,2013–2015,N/A,N/A,42 min,"Action, Crime, Drama",N/A,Jeff Eastin,"Daniel Sunjata, Aaron Tveit, Vanessa Ferlito, Manny Montana",English,USA,1 win & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"14,636",tt2393813,series,,,,,b'Drft.',"b'$24,529'",b'18',"b'$13,059'",b'15',b'4/26/2013'
Gracie,2007,PG-13,01 Jun 2007,95 min,"Biography, Drama, Sport",Davis Guggenheim,"Lisa Marie Petersen (screenplay), Karen Janszen (screenplay), Andrew Shue (story), Ken Himmelman (story), Davis Guggenheim (story)","Jesse Lee Soffer, Christopher Shand, Carly Schroeder, Karl Girolamo",English,USA,1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.2,"3,742",tt0441007,movie,17 Sep 2007,"$2,922,776",Picturehouse,http://www.graciemovie.com/,b'PicH',"b'$2,956,339'","b'1,164'","b'$1,355,904'","b'1,164'",b'6/1/2007'
The Graduate,1967,PG,22 Dec 1967,106 min,"Comedy, Drama",Mike Nichols,"Calder Willingham (screenplay), Buck Henry (screenplay), Charles Webb (based on the novel by)","Anne Bancroft, Dustin Hoffman, Katharine Ross, William Daniels",English,USA,Won 1 Oscar. Another 20 wins & 16 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,8.0,"223,257",tt0061722,movie,19 Jun 2001,N/A,Embassy Pictures/Rialto Pictures,http://www.rialtopictures.com/thegraduate.html,b'AVCO',"b'$104,642,560*'",b'n/a',b'n/a',b'n/a',b'12/21/1967'
Graduation,2016,R,20 May 2016,128 min,"Crime, Drama",Cristian Mungiu,Cristian Mungiu,"Adrian Titieni, Maria Dragus, Lia Bugnar, Malina Manovici",Romanian,"Romania, France, Belgium",7 wins & 19 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.4,"7,486",tt4936450,movie,N/A,N/A,N/A,N/A,b'IFC',"b'$175,975'",b'36',"b'$10,305'",b'2',b'4/7/2017'
Graffiti Bridge,1990,PG-13,02 Nov 1990,95 min,"Drama, Music, Musical",Prince,Prince,"Prince, Ingrid Chavez, Morris Day, Jerome Benton",English,USA,1 win & 5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}]",N/A,4.3,"1,467",tt0099691,movie,24 Aug 2004,N/A,WARNER BROTHERS PICTURES,http://www.wbshop.com/,b'WB',"b'$4,562,778'",b'688',"b'$2,447,108'",b'688',b'11/2/1990'
Gran Torino,2008,R,09 Jan 2009,116 min,Drama,Clint Eastwood,"Nick Schenk (screenplay), Dave Johannson (story), Nick Schenk (story)","Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her","English, Hmong","Germany, USA",Nominated for 1 Golden Globe. Another 20 wins & 17 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,8.2,"612,361",tt1205489,movie,09 Jun 2009,"$148,055,047",Warner Bros. Pictures/Village Roadshow,http://www.thegrantorino.com/,b'WB',"b'$148,095,302'","b'3,045'","b'$271,720'",b'6',b'12/12/2008'
The Grand,2007,R,07 Jun 2007,104 min,Comedy,Zak Penn,"Zak Penn, Matt Bierman","Woody Harrelson, David Cross, Dennis Farina, Cheryl Hines",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.0,"5,076",tt0427998,movie,10 Jun 2008,N/A,Anchor Bay Entertainment,http://www.thegrandthemovie.com,b'Anch.',"b'$115,879'",b'14',"b'$26,334'",b'6',b'3/21/2008'
