Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Sgt. Bilko,1996,PG,29 Mar 1996,93 min,Comedy,Jonathan Lynn,"Nat Hiken (television series), Andy Breckman","Steve Martin, Dan Aykroyd, Phil Hartman, Glenne Headly",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}]",N/A,5.7,"18,792",tt0117608,movie,30 Jun 1998,N/A,MCA Universal Home Video,N/A,b'Uni.',"b'$30,356,793'","b'2,326'","b'$8,110,080'","b'2,304'",b'3/29/1996'
Sgt. Pepper's Lonely Hearts Club Band,1978,PG,24 Jul 1978,113 min,"Adventure, Comedy, Fantasy",Michael Schultz,Henry Edwards,"Peter Frampton, Barry Gibb, Robin Gibb, Maurice Gibb",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}]",N/A,3.9,"5,231",tt0078239,movie,12 Aug 2003,N/A,Universal Pictures,N/A,b'Uni.',"b'$20,378,470'",b'n/a',b'n/a',b'n/a',b'7/21/1978'
Sgt. Stubby: An American Hero,2018,N/A,13 Apr 2018,N/A,"Animation, Adventure, Family",Richard Lanni,"Richard Lanni, Mike Stokey","Helena Bonham Carter, Logan Lerman, Gérard Depardieu, Jason Ezzell",English,"USA, Ireland, France, Canada",N/A,[],N/A,N/A,N/A,tt5314190,movie,N/A,N/A,Fun Academy,http://stubbythemovie.com/,b'FunAcad',b'n/a',b'n/a',b'n/a',b'n/a',b'4/13/2018'
Shaadi Ke Side Effects,2014,N/A,28 Feb 2014,145 min,"Comedy, Romance",Saket Chaudhary,"Saket Chaudhary (screenplay), Saket Chaudhary (story), Zeenat Lakhani (screenplay), Zeenat Lakhani (story), Arshad Sayed (dialogue), Arshad Sayed (screenplay)","Farhan Akhtar, Vidya Balan, Vir Das, Ram Kapoor",Hindi,India,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",N/A,5.6,"3,280",tt3302962,movie,N/A,"$856,323",Eros Entertainment,http://entertainment.oneindia.in/bollywood/movies/shaadi-ke-side-effects.html,b'Eros',"b'$921,277'",b'108',"b'$582,672'",b'108',b'2/28/2014'
Shaadi No. 1,2005,N/A,03 Nov 2005,N/A,Comedy,David Dhawan,N/A,"Fardeen Khan, Zayed Khan, Sharman Joshi, Esha Deol",Hindi,India,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",N/A,3.5,682,tt0449389,movie,13 Dec 2005,N/A,Eros,N/A,b'Eros',"b'$336,772'",b'45',"b'$144,435'",b'45',b'11/3/2005'
Shaadi Se Pehle,2006,NOT RATED,07 Apr 2006,122 min,"Comedy, Musical, Romance",Satish Kaushik,"Sanjay Chhel, Satish Kaushik (screenplay)","Akshaye Khanna, Ayesha Takia, Mallika Sherawat, Sunil Shetty",Hindi,India,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",N/A,4.0,636,tt0489560,movie,20 Jun 2006,N/A,N/A,N/A,b'RBF',"b'$111,678'",b'23',"b'$60,719'",b'23',b'4/7/2006'
Shaandaar,2015,NOT RATED,22 Oct 2015,144 min,"Comedy, Drama, Romance",Vikas Bahl,"Vikas Bahl (story), Chaitally Parmar (story), Anvita Dutt (screenplay and dialogue)","Shahid Kapoor, Alia Bhatt, Pankaj Kapur, Sanjay Kapoor",Hindi,India,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}]",N/A,3.7,"3,669",tt4007558,movie,N/A,N/A,Phantom Films,N/A,b'FIP',"b'$521,794'",b'136',"b'$384,685'",b'136',b'10/22/2015'
The Shack,2017,PG-13,03 Mar 2017,132 min,"Drama, Fantasy",Stuart Hazeldine,"John Fusco (screenplay by), Andrew Lanham (screenplay by), Destin Daniel Cretton (screenplay by), William P. Young (based on the book by), Wayne Jacobsen (in collaboration with), Brad Cummings (in collaboration with)","Sam Worthington, Octavia Spencer, Tim McGraw, Radha Mitchell",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,6.3,"16,912",tt2872518,movie,30 May 2017,"$57,330,873",Lionsgate,http://www.theshack.movie/,b'LG/S',"b'$57,386,418'","b'2,888'","b'$16,172,119'","b'2,888'",b'3/3/2017'
Shade,2003,R,09 May 2004,101 min,"Crime, Thriller",Damian Nieman,Damian Nieman,"Joe Nicolo, Carl Mazzocone Sr., George Tovar, Frank Medrano",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.4,"11,142",tt0323939,movie,25 May 2004,N/A,RKO Pictures,N/A,b'RKO',"b'$25,032'",b'6',"b'$10,696'",b'1',b'4/9/2004'
Shadey,1985,UNRATED,01 May 1986,90 min,Comedy,Philip Saville,Snoo Wilson,"Antony Sher, Billie Whitelaw, Patrick Macnee, Katherine Helmond",English,UK,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,101,tt0090003,movie,N/A,N/A,Skouras Pictures,N/A,b'Skou',"b'$65,817'",b'3',"b'$1,314'",b'1',b'6/5/1987'
The Shadow,1994,PG-13,01 Jul 1994,108 min,"Action, Adventure, Crime",Russell Mulcahy,"Walter B. Gibson (character The Shadow from stories), David Koepp","Alec Baldwin, John Lone, Penelope Ann Miller, Peter Boyle",English,USA,4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}]",N/A,6.0,"19,978",tt0111143,movie,01 Nov 1998,N/A,Universal Pictures,N/A,b'Uni.',"b'$32,063,435'","b'1,769'","b'$11,713,845'","b'1,677'",b'7/1/1994'
Shadow Conspiracy,1997,R,31 Jan 1997,103 min,"Action, Thriller",George P. Cosmatos,"Adi Hasak, Ric Gibbs","Charlie Sheen, Donald Sutherland, Linda Hamilton, Stephen Lang",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",N/A,4.9,"3,969",tt0120107,movie,12 Aug 1997,N/A,Hollywood Pictures,N/A,b'BV',"b'$2,312,463'",b'837',"b'$1,370,831'",b'837',b'1/31/1997'
Shadow Dancer,2012,R,24 Aug 2012,101 min,"Drama, Thriller",James Marsh,"Tom Bradby (screenplay), Tom Bradby (based on the novel by)","Barry Barnes, Maria Laird, Ben Smyth, Brid Brennan",English,"UK, Ireland",8 wins & 8 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.2,"10,699",tt1770734,movie,20 Aug 2013,"$99,134",Magnolia Pictures,http://www.magpictures.com/shadowdancer/,b'Magn.',"b'$100,616'",b'14',"b'$10,672'",b'2',b'5/31/2013'
