Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
"Sia, the Dream of the Python",2001,N/A,24 May 2002,96 min,Drama,Dani Kouyaté,"Moussa Diagana (play), Moussa Diagana (screenplay), Dani Kouyaté (adaptation)","Fatoumata Diawara, Sotigui Kouyaté, Balla Habib Dembélé, Hamadoun Kassogué",Bambara,"France, Burkina Faso",5 wins & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.8,101,tt0290858,movie,18 Dec 2001,N/A,Twentieth Century Fox Home Entertainment,N/A,b'Artma',"b'$4,662'",b'1',"b'$3,313'",b'1',b'5/24/2002'
Sibling Rivalry,1990,PG-13,26 Oct 1990,87 min,Comedy,Carl Reiner,Martha Goldhirsh,"Kirstie Alley, Bill Pullman, Carrie Fisher, Jami Gertz",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}]",N/A,5.4,"2,121",tt0100611,movie,01 Apr 2003,N/A,Nelson Entertainment,N/A,b'Col.',"b'$17,854,933'","b'1,455'","b'$4,017,930'","b'1,448'",b'10/26/1990'
Sicario,2015,R,02 Oct 2015,121 min,"Action, Crime, Drama",Denis Villeneuve,Taylor Sheridan,"Emily Blunt, Benicio Del Toro, Josh Brolin, Victor Garber","English, Spanish",USA,Nominated for 3 Oscars. Another 15 wins & 150 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.6,"261,118",tt3397884,movie,05 Jan 2016,N/A,Lionsgate,https://www.facebook.com/SicarioMovie,b'LGF',"b'$46,889,293'","b'2,620'","b'$401,288'",b'6',b'9/18/2015'
The Sicilian,1987,R,23 Oct 1987,115 min,"Action, Crime, Drama",Michael Cimino,"Mario Puzo (novel), Steve Shagan (screenplay)","Christopher Lambert, Terence Stamp, Joss Ackland, John Turturro",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}]",N/A,5.3,"3,887",tt0093966,movie,20 Nov 2001,N/A,20th Century Fox Film Corporation,N/A,b'Fox',"b'$5,406,879'",b'370',"b'$1,720,351'",b'370',b'10/23/1987'
The Sicilian Girl,2008,N/A,04 Aug 2010,115 min,"Crime, Drama",Marco Amenta,"Marco Amenta (story), Marco Amenta (screenplay), Sergio Donati (screenplay), Gianni Romoli","Veronica D'Agostino, Gérard Jugnot, Marcello Mazzarella, Mario Pupella",Italian,"Italy, France",3 wins & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,7.0,"1,637",tt1213926,movie,30 Nov 2010,"$42,539",Music Box Films,http://www.musicboxfilms.com/the-sicilian-girl,b'MBox',"b'$71,239'",b'6',"b'$5,922'",b'1',b'8/4/2010'
Sicko,2007,PG-13,03 Jul 2007,123 min,"Documentary, Drama",Michael Moore,Michael Moore,"Michael Moore, Tucker Albrizzi, Tony Benn, George W. Bush","English, French, Spanish, Russian",USA,Nominated for 1 Oscar. Another 14 wins & 14 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,8.0,"69,254",tt0386032,movie,06 Nov 2007,"$24,333,911",The Weinstein Company,http://www.sicko-themovie.com/,b'LGF',"b'$24,540,079'","b'1,117'","b'$68,969'",b'1',b'6/22/2007'
Sid and Nancy,1986,R,07 Nov 1986,112 min,"Biography, Drama, Music",Alex Cox,"Alex Cox (screenplay), Abbe Wool (screenplay)","Gary Oldman, Chloe Webb, David Hayman, Debby Bishop",English,UK,Nominated for 1 BAFTA Film Award. Another 4 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}]",N/A,7.1,"25,052",tt0091954,movie,19 Dec 2000,N/A,New Line Cinema,N/A,b'Gold.',"b'$2,826,523'",b'43',"b'$50,829'",b'2',b'10/17/1986'
Siddharth,2013,G,05 Jun 2014,96 min,Drama,Richie Mehta,"Maureen Dorey (story editor), Richie Mehta, Richie Mehta, Rajesh Tailang (dialogue)","Rajesh Tailang, Tannishtha Chatterjee, Anurag Arora, Shobha Sharma Jassi","Hindi, Hindi","Canada, India",2 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.3,446,tt2932606,movie,20 Oct 2014,N/A,Zeitgeist Films,http://www.zeitgeistfilms.com/siddharth/,b'Zeit.',"b'$60,537'",b'6',"b'$4,564'",b'1',b'6/27/2014'
Side by Side,2012,NOT RATED,22 Aug 2012,99 min,Documentary,Christopher Kenneally,Christopher Kenneally,"Derek Ambrosi, Michael Ballhaus, Andrzej Bartkowiak, Dion Beebe",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.6,"11,929",tt2014338,movie,05 Feb 2013,"$28,592",Tribecca Film,http://sidebysidethemovie.com/,b'Trib.',"b'$58,825'",b'9',"b'$6,956'",b'1',b'8/17/2012'
Side Effects,2013,R,08 Feb 2013,106 min,"Crime, Drama, Thriller",Steven Soderbergh,Scott Z. Burns,"Rooney Mara, Carmen Pelaez, Marin Ireland, Channing Tatum","English, French",USA,5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.1,"158,311",tt2053463,movie,21 May 2013,"$32,154,410",Open Road Films,http://www.facebook.com/SideEffectsMovie,b'Hum.',"b'$2,216'",b'1',"b'$2,216'",b'1',b'9/9/2005'
