Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Ciao,2008,R,30 Mar 2008,87 min,"Drama, Romance",Yen Tan,"Alessandro Calza, Yen Tan","Chuck Blaum, Adam Neal Smith, Ethel Lung, John S. Boles","English, Italian, Mandarin, Spanish",USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}]",N/A,6.4,"2,045",tt0870089,movie,23 Mar 2010,N/A,Regent Releasing/here! Films,http://www.ciaomovie.com/,b'Reg.',"b'$49,494'",b'3',"b'$2,672'",b'1',b'12/5/2008'
Ciao America,2002,R,20 Sep 2002,100 min,"Comedy, Drama, Romance",Frank Ciota,Joseph A. Ciota,"Eddie Malavarca, Maurizio Nichetti, Violante Placido, Nathaniel Marston",English,"USA, Italy",N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,7.4,73,tt0275263,movie,N/A,N/A,Bentornato Lorenzo Primavera Ltd.,N/A,b'NAm.',"b'$54,965'",b'19',"b'$21,559'",b'19',b'9/20/2002'
Ciao professore,1999–,N/A,01 Oct 1999,N/A,Comedy,N/A,N/A,"Massimo Dapporto, Adelaide Aste, Antonella Fattori, Pino Ferrara",Italian,Italy,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,20,tt0200330,series,,,,,b'Mira.',"b'$1,113,435'",b'n/a',b'n/a',b'n/a',b'7/15/1994'
The Cider House Rules,1999,PG-13,07 Jan 2000,126 min,"Drama, Romance",Lasse Hallström,"John Irving (novel), John Irving (screenplay)","Tobey Maguire, Charlize Theron, Delroy Lindo, Paul Rudd",English,USA,Won 2 Oscars. Another 6 wins & 29 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.4,"83,458",tt0124315,movie,15 Aug 2000,N/A,Miramax,http://www.miramax.com/movie/the-cider-house-rules,b'Mira.',"b'$57,545,092'","b'1,738'","b'$110,098'",b'8',b'12/10/1999'
The Cimarron Kid,1952,APPROVED,31 Mar 1952,84 min,Western,Budd Boetticher,"Louis Stevens (screenplay), Louis Stevens (story), Kay Lenard (story)","Audie Murphy, Beverly Tyler, James Best, Yvette Duguay",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,567,tt0043408,movie,N/A,N/A,Universal,N/A,b'Uni.',b'n/a',b'n/a',b'n/a',b'n/a',b'Jan 1952'
The Cincinnati Kid,1965,TV-14,30 Oct 1965,102 min,Drama,Norman Jewison,"Richard Jessup (novel), Ring Lardner Jr. (screenplay), Terry Southern (screenplay)","Steve McQueen, Ann-Margret, Karl Malden, Tuesday Weld",English,USA,Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",N/A,7.3,"12,647",tt0059037,movie,31 May 2005,N/A,WARNER BROTHERS PICTURES,N/A,b'MGM',b'n/a',b'n/a',b'n/a',b'n/a',b'10/15/1965'
"Cinco de Mayo, La Batalla",2013,R,03 May 2013,125 min,"Drama, History, War",Rafa Lara,Rafa Lara,"Christian Vazquez, Liz Gallardo, William Miller, Javier Oliván","Spanish, French, English",Mexico,3 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,754,tt2553908,movie,N/A,N/A,Lionsgate,N/A,b'LGF',"b'$173,472'",b'43',"b'$83,586'",b'20',b'5/3/2013'
Cinderella Liberty,1973,R,07 Apr 1974,117 min,"Drama, Romance",Mark Rydell,"Darryl Ponicsan (screenplay), Darryl Ponicsan (novel)","James Caan, Marsha Mason, Kirk Calloway, Eli Wallach",English,USA,Nominated for 3 Oscars. Another 1 win & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",N/A,6.8,"1,540",tt0069883,movie,06 Mar 2007,N/A,Fox,N/A,b'Fox',b'n/a',b'n/a',b'n/a',b'n/a',b'12/18/1973'
Cinderella Man,2005,PG-13,03 Jun 2005,144 min,"Biography, Drama, Sport",Ron Howard,"Cliff Hollingsworth (screenplay), Akiva Goldsman (screenplay), Cliff Hollingsworth (story)","Russell Crowe, Renée Zellweger, Paul Giamatti, Craig Bierko",English,USA,Nominated for 3 Oscars. Another 16 wins & 41 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,8.0,"157,328",tt0352248,movie,06 Dec 2005,"$61,600,000",Universal Pictures,http://www.cinderellamanmovie.com,b'Uni.',"b'$61,649,911'","b'2,820'","b'$18,320,205'","b'2,812'",b'6/3/2005'
A Cinderella Story,2004,PG,16 Jul 2004,95 min,"Comedy, Family, Romance",Mark Rosman,Leigh Dunlap,"Hilary Duff, Jennifer Coolidge, Chad Michael Murray, Dan Byrd","English, German, Czech","USA, Canada",6 wins & 8 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25,5.9,"68,710",tt0356470,movie,19 Oct 2004,"$51,100,000",Warner Bros. Pictures,http://www2.warnerbros.com/acinderellastory/index.html,b'WB',"b'$51,438,175'","b'2,625'","b'$13,623,350'","b'2,625'",b'7/16/2004'
Cinema Paradiso,1988,R,23 Feb 1990,155 min,Drama,Giuseppe Tornatore,"Giuseppe Tornatore (story), Giuseppe Tornatore (screenplay), Vanna Paoli (collaborating writer), Richard Epcar (english version)","Antonella Attili, Enzo Cannavale, Isa Danieli, Leo Gullotta",Italian,"Italy, France",Won 1 Oscar. Another 23 wins & 26 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,8.5,"172,032",tt0095765,movie,18 Feb 2003,"$239,630",Miramax Films,http://www.miramax.com/movie/cinema-paradiso,b'Mira.',"b'$11,990,401*'",b'124',"b'$16,552'",b'1',b'2/2/1990'
Cinemania,2002,NOT RATED,10 Apr 2003,83 min,Documentary,"Angela Christlieb, Stephen Kijak",Angela Christlieb,"Jack Angstreich, Eric Chadbourne, Bill Heidbreder, Roberta Hill",English,"Germany, USA",1 win & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,7.1,"2,090",tt0281724,movie,05 Nov 2003,N/A,Wellspring,http://www.loopfilmworks.com/film/projects/cinemania/index.htm,b'Loop',"b'$11,305'",b'1',"b'$3,948'",b'1',b'5/16/2003'
Cinemanovels,2013,R,06 Sep 2013,89 min,"Comedy, Drama, Romance",Terry Miles,Terry Miles,"Lauren Lee Smith, Jennifer Beals, Ben Cotton, Sarah Grey",English,Canada,2 wins & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,5.2,176,tt2338062,movie,25 Aug 2014,N/A,Monterey Media,http://www.montereymedia.com/cinemanovels/,b'Mont.',b'$398',b'n/a',b'n/a',b'n/a',b'7/3/2014'
Circle,2015,NOT RATED,16 Oct 2015,87 min,"Drama, Horror, Mystery","Aaron Hann, Mario Miscione","Aaron Hann, Mario Miscione","Allegra Masters, Aimee McKay, Ashley Key, Autumn Federici",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"21,068",tt3118452,movie,05 Jul 2016,N/A,Taggart Productions,https://www.facebook.com/circlefilm,b'Indic.',"b'$10,024'",b'2',"b'$3,926'",b'2',b'8/27/2010'
The Circle,2017,PG-13,28 Apr 2017,110 min,"Drama, Sci-Fi, Thriller",James Ponsoldt,"James Ponsoldt (screenplay), Dave Eggers (screenplay), Dave Eggers (based on the novel by)","Emma Watson, Ellar Coltrane, Glenne Headly, Bill Paxton",English,"United Arab Emirates, USA",1 win.,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,5.3,"43,828",tt4287320,movie,01 Aug 2017,"$20,476,300",EuropaCorp / STXfilms,http://wearethecircle.com,b'Wins.',"b'$440,554'",b'16',"b'$42,300'",b'13',b'3/9/2001'
Circle of Friends,1995,PG-13,07 Apr 1995,103 min,"Drama, Romance",Pat O'Connor,"Andrew Davies (screenplay), Maeve Binchy (novel)","Chris O'Donnell, Minnie Driver, Geraldine O'Rawe, Saffron Burrows",English,"Ireland, USA, UK",1 win.,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,6.6,"7,320",tt0112679,movie,09 Jan 2001,N/A,HBO Video,N/A,b'Sav.',"b'$23,389,975'",b'902',"b'$125,587'",b'4',b'3/17/1995'
Circo,2010,UNRATED,N/A,75 min,Documentary,Aaron Schock,"Mark Becker, Aaron Schock",N/A,Spanish,"Mexico, USA",1 win & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.1,223,tt1541666,movie,N/A,N/A,N/A,N/A,b'FRun',"b'$77,466'",b'4',"b'$5,403'",b'1',b'4/1/2011'
Circuit,2001,R,08 May 2002,130 min,"Drama, Romance",Dirk Shafer,"Gregory Hinton, Dirk Shafer","Jonathan Wade-Drahos, Andre Khabbazi, Brian Lane Green, Kiersten Warren",English,USA,1 win & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.4,953,tt0218107,movie,10 Dec 2002,N/A,Swift Distribution,http://www.circuitmovie.com,b'Jour',"b'$235,087'",b'7',"b'$34,751'",b'3',b'4/26/2002'
Circumstance,2011,R,08 Feb 2012,107 min,Drama,Maryam Keshavarz,Maryam Keshavarz,"Nikohl Boosheri, Sarah Kazemy, Reza Sixo Safai, Soheil Parsa","Persian, English, French","France, USA, Iran",11 wins & 8 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,5.9,"6,678",tt1684628,movie,13 Dec 2011,"$452,602",Roadside Attractions,http://www.takepart.com/circumstance,b'RAtt.',"b'$454,121'",b'31',"b'$43,318'",b'7',b'8/26/2011'
Circus,2000,R,05 May 2000,95 min,"Crime, Thriller, Drama",Rob Walker,David Logan,"John Hannah, Famke Janssen, Peter Stormare, Eddie Izzard","English, Spanish","UK, USA",N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}]",N/A,5.7,"2,022",tt0191037,movie,03 Apr 2001,N/A,Columbia Pictures,N/A,b'Sony',"b'$14,693'",b'8',"b'$8,406'",b'8',b'9/15/2000'
Cirkus Columbia,2010,NOT RATED,17 Feb 2012,113 min,"Comedy, Drama, Romance",Danis Tanovic,"Ivica Djikic (novel), Danis Tanovic","Predrag 'Miki' Manojlovic, Mira Furlan, Boris Ler, Jelena Stupljanin","Bosnian, Serbian, Croatian","Bosnia and Herzegovina, France, UK, Germany, Slovenia, Belgium, Serbia",2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,7.3,"2,189",tt1417067,movie,N/A,"$3,163",Strand Releasing,http://www.strandreleasing.com,b'Strand',"b'$3,457'",b'1',"b'$1,284'",b'1',b'2/17/2012'
Cirque du Freak: The Vampire's Assistant,2009,PG-13,23 Oct 2009,109 min,"Action, Adventure, Fantasy",Paul Weitz,"Paul Weitz (screenplay), Brian Helgeland (screenplay), Darren Shan (series of books)","John C. Reilly, Josh Hutcherson, Chris Massoglia, Jessica Carlson",English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,5.9,"37,957",tt0450405,movie,23 Feb 2010,"$13,838,130",Universal Pictures,http://www.thevampiresassistant.net,b'Uni.',"b'$13,869,515'","b'2,754'","b'$6,293,205'","b'2,754'",b'10/23/2009'
Cirque du Soleil: Worlds Away,2012,PG,21 Dec 2012,91 min,Fantasy,Andrew Adamson,Andrew Adamson,"Erica Linz, Igor Zaripov, Lutz Halbhubner, John Clarke",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.8,"7,380",tt1792647,movie,12 Mar 2013,"$12,495,865",Paramount Pictures,http://www.worldsaway3d.com/,b'Par.',"b'$12,512,862'",b'840',"b'$2,162,993'",b'840',b'12/21/2012'
Citadel,2012,R,01 Mar 2013,84 min,"Drama, Horror, Thriller",Ciarán Foy,Ciarán Foy,"Aneurin Barnard, James Cosmo, Amy Shiels, Wunmi Mosaku",English,"Ireland, UK",11 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,5.5,"5,887",tt1641975,movie,29 Jan 2013,"$10,080",Cinedigm Entertainment,http://www.citadelmovie.com/,b'Cdgm.',"b'$13,377'",b'7',"b'$5,715'",b'1',b'11/9/2012'
The Citizen,2012,PG-13,27 Sep 2013,99 min,Drama,Sam Kadi,"Jazmen Darnell Brown, Sam Kadi (story), Sam Kadi, Samir Younis","Khaled Nabawy, Agnes Bruckner, Rizwan Manji, William Atherton","English, Arabic",USA,3 wins & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,7.0,"2,971",tt1942989,movie,11 Nov 2013,"$24,296",Monterey Media Inc.,http://www.thecitizenmovie.com/,b'Mont.',"b'$24,296'",b'6',b'$368',b'1',b'9/6/2013'
Citizen Gangster,2011,NOT RATED,27 Apr 2012,105 min,"Crime, Drama",Nathan Morlando,Nathan Morlando,"Scott Speedman, Kelly Reilly, Kevin Durand, Joseph Cross",English,Canada,1 win & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.2,"3,832",tt1709654,movie,27 Aug 2012,$625,IFC Films,http://www.ifcfilms.com/films/citizen-gangster,b'IFC',b'$625',b'1',b'$625',b'1',b'4/27/2012'
Citizen Jane,2009,PG-13,12 Sep 2009,89 min,"Biography, Crime, Drama",Armand Mastroianni,"James Dalessandro (teleplay), James Dalessandro (earlier teleplay), James Dalessandro (book)","Ally Sheedy, Meat Loaf, Nia Peeples, Robert Curtis Brown",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,249,tt1415256,movie,23 Aug 2011,N/A,Green Apple Entertainment,N/A,b'IFC',"b'$313,411'",b'25',"b'$31,451'",b'2',b'4/21/2017'
Citizen Kane,1941,APPROVED,05 Sep 1941,119 min,"Drama, Mystery",Orson Welles,"Herman J. Mankiewicz (original screen play), Orson Welles (original screen play)","Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick",English,USA,Won 1 Oscar. Another 9 wins & 13 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '100/100'}]",100,8.4,"326,546",tt0033467,movie,25 Sep 2001,N/A,RKO Radio Pictures,N/A,b'RKO',b'n/a*',b'n/a',b'n/a',b'n/a',b'5/1/1941'
Citizen Koch,2013,N/A,01 Jan 2013,90 min,"Documentary, Drama","Carl Deal, Tia Lessin","Carl Deal, Tia Lessin","David H. Koch, Charles G. Koch, Scott Walker, Floyd Abrams",English,USA,1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.6,616,tt2545338,movie,02 Sep 2014,"$153,908",Variance Films,http://www.citizenkoch.com,b'Vari.',"b'$153,908'",b'24',"b'$10,200'",b'1',b'6/6/2014'
Citizen Ruth,1996,R,13 Dec 1996,106 min,"Comedy, Drama",Alexander Payne,"Alexander Payne, Jim Taylor","Laura Dern, Swoosie Kurtz, Kurtwood Smith, Mary Kay Place",English,USA,3 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.0,"6,188",tt0115906,movie,08 Apr 2003,N/A,Miramax,http://www.miramax.com/movie/citizen-ruth,b'Mira.',"b'$285,112'",b'23',"b'$26,709'",b'6',b'12/13/1996'
Citizen Soldier,2016,R,05 Aug 2016,105 min,"Documentary, Action","David Salzberg, Christian Tureaud",N/A,"Jordan Alex, James Tyler Brown, Martin Byrne, Jared Colson",English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,5.6,390,tt4911408,movie,30 Aug 2016,N/A,Strong Eagle Media,N/A,b'INDEP',b'n/a',b'n/a',b'n/a',b'n/a',b'8/5/2016'
Citizen Verdict,2003,R,12 Sep 2003,97 min,Drama,Philippe Martinez,"Tony Clarke, Kristina Hamilton-Grobler, Philippe Martinez, Frank Rehwaldt","Armand Assante, Jerry Springer, Roy Scheider, Justine Mitchell",English,"UK, Germany",N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,405,tt0342207,movie,08 Nov 2005,N/A,Innovation Film Group,http://www.citizenverdict.com,b'Free',b'n/a',b'13',b'n/a',b'13',b'5/6/2005'
Citizenfour,2014,R,28 Nov 2014,114 min,"Documentary, Biography",Laura Poitras,N/A,"Edward Snowden, Glenn Greenwald, William Binney, Jacob Appelbaum","English, Portuguese, German","USA, Germany, UK",Won 1 Oscar. Another 43 wins & 35 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,8.1,"43,876",tt4044364,movie,25 Aug 2015,N/A,Radius-TWC,http://citizenfourfilm.com/,b'RTWC',"b'$2,800,870'",b'105',"b'$126,321'",b'5',b'10/24/2014'
Citizens Band,1977,PG,13 Nov 1981,98 min,"Comedy, Drama",Jonathan Demme,Paul Brickman,"Paul Le Mat, Candy Clark, Bruce McGill, Roberts Blossom",English,USA,1 win & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.7,530,tt0076123,movie,N/A,N/A,Paramount Pictures,N/A,b'Par.',"b'$815,530'",b'n/a',b'n/a',b'n/a',b'5/18/1977'
City by the Sea,2002,R,06 Sep 2002,108 min,"Crime, Drama, Mystery",Michael Caton-Jones,"Mike McAlary (article), Ken Hixon (screenplay)","Robert De Niro, Frances McDormand, James Franco, Eliza Dushku",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.1,"22,174",tt0269095,movie,18 Feb 2003,"$22,369,941",Warner Bros. Pictures,http://citybythesea.warnerbros.com,b'WB',"b'$22,448,879'","b'2,575'","b'$8,935,426'","b'2,575'",b'9/6/2002'
The City Dark,2011,NOT RATED,01 Mar 2011,83 min,"Documentary, News",Ian Cheney,N/A,N/A,English,"USA, Vietnam, France, UK, Saudi Arabia, Thailand, Indonesia",4 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}]",N/A,7.0,291,tt1863406,movie,N/A,N/A,Argot Pictures,http://www.thecitydark.com/,b'Argo.',"b'$9,269'",b'2',"b'$2,983'",b'1',b'1/18/2012'
City Hall,1996,R,16 Feb 1996,111 min,Drama,Harold Becker,"Ken Lipper, Paul Schrader, Nicholas Pileggi, Bo Goldman","Al Pacino, John Cusack, Bridget Fonda, Danny Aiello",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}]",N/A,6.2,"17,524",tt0115907,movie,27 Jul 1999,N/A,Sony Pictures Home Entertainment,N/A,b'Sony',"b'$20,340,204'","b'1,815'","b'$6,950,794'","b'1,815'",b'2/16/1996'
City Heat,1984,PG,07 Dec 1984,93 min,"Action, Comedy, Crime",Richard Benjamin,"Blake Edwards (story), Blake Edwards, Joseph Stinson","Clint Eastwood, Burt Reynolds, Jane Alexander, Madeline Kahn",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}]",N/A,5.5,"7,476",tt0087062,movie,02 Sep 2003,N/A,Warner Home Video,N/A,b'WB',"b'$38,348,988'","b'1,655'","b'$6,301,694'","b'1,393'",b'12/7/1984'
City Island,2009,PG-13,30 Apr 2010,104 min,"Comedy, Drama, Romance",Raymond De Felitta,Raymond De Felitta,"Andy Garcia, Julianna Margulies, Steven Strait, Emily Mortimer",English,USA,3 wins & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.4,"28,294",tt1174730,movie,24 Aug 2010,"$6,670,712",Anchor Bay Entertainment,http://www.cityislandmovie.com/,b'Anch.',"b'$6,671,036'",b'269',"b'$32,001'",b'2',b'3/19/2010'
City Lights,1931,G,07 Mar 1931,87 min,"Comedy, Drama, Romance",Charles Chaplin,Charles Chaplin,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia",English,USA,3 wins.,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}]",N/A,8.6,"124,174",tt0021749,movie,08 Feb 2000,N/A,Twentieth Century Fox Home Entertainment,N/A,b'UA',b'n/a*',b'n/a',b'n/a',b'n/a',b'1/30/1931'
City of Angels,1998,PG-13,10 Apr 1998,114 min,"Drama, Fantasy, Romance",Brad Silberling,"Wim Wenders (screenplay ""Der Himmel über Berlin""), Peter Handke (screenplay ""Der Himmel über Berlin""), Richard Reitinger (screenplay ""Der Himmel über Berlin""), Dana Stevens (screenplay)","Nicolas Cage, Meg Ryan, Andre Braugher, Dennis Franz",English,"Germany, USA",Nominated for 1 Golden Globe. Another 10 wins & 12 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.7,"100,273",tt0120632,movie,19 Mar 2002,N/A,N/A,N/A,b'WB',"b'$78,685,114'","b'2,433'","b'$15,369,048'","b'2,212'",b'4/10/1998'
City of Ember,2008,PG,10 Oct 2008,90 min,"Adventure, Family, Fantasy",Gil Kenan,"Caroline Thompson (screenplay), Jeanne Duprau (book)","Saoirse Ronan, David Ryall, Harry Treadaway, Mary Kay Place",English,USA,6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.5,"56,380",tt0970411,movie,20 Jan 2009,"$7,800,000",Fox Walden,http://www.cityofember.com/,b'Fox',"b'$7,873,007'","b'2,023'","b'$3,129,473'","b'2,022'",b'10/10/2008'
City of Ghosts,2002,R,27 Mar 2003,116 min,"Crime, Drama, Thriller",Matt Dillon,"Matt Dillon, Barry Gifford","Matt Dillon, James Caan, Natascha McElhone, Gérard Depardieu","English, French, Khmer, Russian",USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.0,"4,528",tt0164003,movie,28 Oct 2003,"$275,998",MGM Pictures,http://www.cityofghostsmovie.com,b'IFC',"b'$128,015'",b'18',"b'$13,601'",b'2',b'7/7/2017'
