Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Nuclear Nation 2,2015,N/A,N/A,95 min,"Documentary, Drama",Atsushi Funahashi,Atsushi Funahashi,N/A,Japanese,Japan,N/A,[],N/A,N/A,N/A,tt5050802,movie,N/A,N/A,N/A,N/A,b'FRun',"b'$4,960'",b'1',"b'$2,268'",b'1',b'12/11/2013'
The Nude Bomb,1980,PG,09 May 1980,94 min,"Comedy, Crime, Mystery",Clive Donner,"Mel Brooks (characters), Buck Henry (characters), Arne Sultan, Bill Dana, Leonard Stern","Don Adams, Sylvia Kristel, Rhonda Fleming, Dana Elcar",English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}]",N/A,5.0,"2,649",tt0081249,movie,17 Jun 2008,N/A,MCA Universal Home Video,N/A,b'Uni.',"b'$14,662,035'",b'n/a',"b'$3,565,066'",b'793',b'5/9/1980'
Nuit de noces,2001,N/A,01 Jun 2001,92 min,Comedy,Émile Gaudreault,"Marc Brunet, Émile Gaudreault","François Morency, Geneviève Brouillette, Pierrette Robitaille, Jacques Girard",French,Canada,1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,379,tt0275560,movie,22 May 2007,N/A,United Artists,N/A,b'Sev.',"b'$1,238,180'",b'76',"b'$241,697'",b'75',b'6/1/2001'
The Number 23,2007,R,23 Feb 2007,98 min,"Mystery, Thriller",Joel Schumacher,Fernley Phillips,"Jim Carrey, Virginia Madsen, Logan Lerman, Danny Huston","English, Chinese","USA, Germany",5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}]",N/A,6.4,"174,329",tt0481369,movie,05 Jul 2005,"$35,063,732",New Line,http://www.number23movie.com/,b'NL',"b'$35,193,167'","b'2,759'","b'$14,602,867'","b'2,759'",b'2/23/2007'
Number One Fan,2014,N/A,24 Sep 2014,104 min,"Comedy, Drama, Thriller",Jeanne Herry,"Jeanne Herry (screenplay), Gaëlle Macé (collaboration)","Sandrine Kiberlain, Laurent Lafitte, Pascal Demolon, Olivia Côte",French,France,1 win & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.4,"1,201",tt3433358,movie,N/A,N/A,StudioCanal,N/A,b'Distrib.',"b'$15,549'",b'1',"b'$1,023'",b'1',b'9/4/2015'
Number One with a Bullet,1987,R,27 Feb 1987,103 min,"Action, Thriller, Crime",Jack Smight,"Gail Morgan Hickman (story), Gail Morgan Hickman (screenplay), Andrew Kurtzman (screenplay), Rob Riley (screenplay), James Belushi (screenplay)","Robert Carradine, Billy Dee Williams, Valerie Bertinelli, Peter Graves",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,340,tt0093658,movie,N/A,N/A,N/A,N/A,b'Can.',"b'$410,952'",b'223',"b'$210,761'",b'223',b'2/27/1987'
The Nun,2005,R,04 Nov 2005,101 min,"Drama, Horror, Thriller",Luis de la Madrid,"Manu Díez (screenplay), Jaume Balagueró (story)","Anita Briem, Belén Blanco, Manu Fullola, Alistair Freeland",English,"Spain, UK",1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",N/A,4.0,"2,601",tt0371853,movie,25 Apr 2006,N/A,Fantastic Factory,N/A,b'WB (NL)',b'n/a',b'n/a',b'n/a',b'n/a',b'7/13/2018'
Nuns on the Run,1990,PG-13,30 Mar 1990,89 min,"Comedy, Crime",Jonathan Lynn,Jonathan Lynn,"Eric Idle, Robbie Coltrane, Camille Coduri, Janet Suzman",English,UK,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}]",N/A,5.9,"6,634",tt0100280,movie,05 Apr 2005,N/A,Anchor Bay Entertainment,N/A,b'Fox',"b'$10,959,015'",b'702',"b'$658,835'",b'76',b'3/16/1990'
Nunzio,1978,R,12 May 1978,85 min,Drama,Paul Williams,James Andronica,"David Proval, James Andronica, Morgana King, Joe Spinell",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,101,tt0078011,movie,N/A,N/A,N/A,N/A,b'Uni.',"b'$52,195'",b'n/a',b'n/a',b'n/a',b'5/12/1978'
Nurse Betty,2000,R,08 Sep 2000,110 min,"Comedy, Crime, Drama",Neil LaBute,"John C. Richards (story), John C. Richards (screenplay), James Flamberg (screenplay)","Morgan Freeman, Renée Zellweger, Chris Rock, Greg Kinnear","English, Spanish","Germany, USA",Won 1 Golden Globe. Another 4 wins & 14 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,6.2,"30,784",tt0171580,movie,03 Apr 2001,N/A,USA Films,http://www.nursebetty.com,b'USA',"b'$25,170,054'","b'1,491'","b'$7,145,950'","b'1,459'",b'9/8/2000'
