Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Ip Man 3,2015,PG-13,24 Dec 2015,105 min,"Action, Biography, Drama",Wilson Yip,"Tai-lee Chan, Lai-Yin Leung, Edmond Wong","Donnie Yen, Lynn Hung, Jin Zhang, Mike Tyson","Cantonese, English","China, Hong Kong",1 win & 20 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,7.1,"31,805",tt2888046,movie,N/A,N/A,N/A,N/A,b'WGUSA',"b'$2,679,437'",b'115',"b'$784,839'",b'103',b'1/22/2016'
Ip Man: The Final Fight,2013,PG-13,28 Mar 2013,100 min,"Action, Biography, Drama",Herman Yau,Erica Lee (screenplay),"Anthony Chau-Sang Wong, Gillian Chung, Jordan Chan, Eric Tsang",Cantonese,Hong Kong,3 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.2,"8,705",tt2495118,movie,12 Nov 2013,"$27,201",Well Go USA,http://wellgousa.com/theatrical/ip-man-the-final-fight,b'WGUSA',"b'$37,884'",b'14',"b'$15,514'",b'14',b'9/20/2013'
Ira & Abby,2006,R,09 May 2008,104 min,"Comedy, Romance",Robert Cary,Jennifer Westfeldt,"Chris Messina, David Margulies, Spiro Malas, Kali Rocha",English,USA,4 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.5,"2,001",tt0480251,movie,29 Jan 2008,N/A,Magnolia Pictures,http://www.iraandabby.com/,b'Magn.',"b'$221,096'",b'20',"b'$36,938'",b'7',b'9/14/2007'
Irada,2017,N/A,17 Feb 2017,109 min,"Drama, Mystery, Thriller",Aparnaa Singh,N/A,"Naseeruddin Shah, Arshad Warsi, Divya Dutta, Sharad Kelkar",Hindi,India,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",N/A,6.2,691,tt6467738,movie,N/A,N/A,Irada Entertainment,http://www.iradaentertainment.com/crewirada.php,b'Relbig.',b'n/a',b'27',b'n/a',b'27',b'2/17/2017'
The Iran Job,2012,NOT RATED,21 Feb 2013,90 min,"Documentary, Sport",Till Schauder,Till Schauder,"Kevin Sheppard, Eunice Sheppard, Leah Sheppard, Gholam Reza Khajeh","English, Persian","USA, Iran, Germany",1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,7.1,531,tt1753846,movie,04 Mar 2014,N/A,Film Movement,http://www.theiranjob.com/,b'FM',"b'$23,115'",b'2',b'n/a',b'n/a',b'6/7/2013'
Iraq in Fragments,2006,N/A,19 Jan 2007,94 min,"Documentary, War",James Longley,N/A,"Mohammed Haithem, Suleiman Mahmoud","Kurdish, Arabic",USA,Nominated for 1 Oscar. Another 12 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.3,"1,290",tt0492466,movie,01 May 2007,N/A,Typecast,http://www.iraqinfragments.com/,b'Arab',"b'$204,462'",b'12',"b'$24,435'",b'7',b'11/8/2006'
Irina Palm,2007,R,18 Apr 2007,103 min,Drama,Sam Garbarski,"Philippe Blasband (original script), Martin Herron (screenplay), Philippe Blasband (screenplay)","Marianne Faithfull, Predrag 'Miki' Manojlovic, Kevin Bishop, Siobhan Hewlett",English,"Belgium, Germany, Luxembourg, UK, France",5 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,7.2,"6,610",tt0762110,movie,12 Aug 2008,N/A,Strand Releasing,http://www.irinapalm-themovie.com/,b'Strand',"b'$44,383'",b'4',"b'$3,474'",b'1',b'3/21/2008'
Iris,2001,R,29 Mar 2002,91 min,"Biography, Drama, Romance",Richard Eyre,"John Bayley (books), Richard Eyre (screenplay), Charles Wood (screenplay)","Kate Winslet, Hugh Bonneville, Judi Dench, Jim Broadbent",English,"UK, USA",Won 1 Oscar. Another 13 wins & 30 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.1,"15,358",tt0280778,movie,20 Aug 2002,"$5,372,026",Miramax Films,http://www.miramaxhighlights.com/iris,b'Mira.',"b'$5,594,617'",b'220',"b'$23,144'",b'2',b'12/14/2001'
I'm Crazy About Iris Blond,1996,R,13 Dec 1996,110 min,"Comedy, Romance",Carlo Verdone,"Francesca Marciano, Pasquale Plastino, Carlo Verdone","Carlo Verdone, Claudia Gerini, Andréa Ferréol, Nello Mascia",Italian,Italy,1 win & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,927,tt0117695,movie,03 Sep 2002,N/A,Miramax Films,N/A,b'Mira.',"b'$3,303'",b'1',"b'$3,303'",b'1',b'5/14/1999'
Irish Eyes,1918,N/A,15 Dec 1918,N/A,Drama,William C. Dowlan,"Catherine Carr (story), Daniel Carson Goodman (story), Catherine Carr (scenario), Daniel Carson Goodman (scenario)","Pauline Starke, Ward Caulfield, Virginia Ware, Gus Saville",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '2.6/10'}]",N/A,2.6,11,tt0128276,movie,N/A,N/A,N/A,N/A,b'RS',"b'$5,161'",b'14',"b'$5,161'",b'14',b'10/24/2003'
