Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
Rhapsody in August,1991,PG,20 Dec 1991,98 min,Drama,Akira Kurosawa,"Kiyoko Murata (novel), Akira Kurosawa","Sachiko Murase, Hisashi Igawa, Narumi Kayashima, Tomoko Ôtakara",Japanese,Japan,5 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",N/A,7.3,"5,206",tt0101991,movie,01 Jul 2003,N/A,N/A,N/A,b'OrionC',"b'$516,431'",b'12',"b'$26,771'",b'7',b'12/19/1991'
Rhinestone,1984,PG,22 Jun 1984,111 min,"Comedy, Music",Bob Clark,"Phil Alden Robinson (story), Phil Alden Robinson (screenplay), Sylvester Stallone (screenplay)","Sylvester Stallone, Dolly Parton, Richard Farnsworth, Ron Leibman",English,USA,2 wins & 8 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}]",N/A,3.7,"5,992",tt0088001,movie,22 Mar 2005,N/A,20th Century Fox,N/A,b'Fox',"b'$21,435,321'","b'1,630'","b'$5,459,726'","b'1,630'",b'6/22/1984'
Rhyme & Reason,1997,R,05 Mar 1997,90 min,"Documentary, Music",Peter Spirer,N/A,"B-Real, Kurtis Blow, Da Brat, Chuck D",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,7.5,690,tt0120014,movie,13 Feb 2001,N/A,Miramax,N/A,b'Mira.',"b'$1,608,277'",b'280',"b'$853,589'",b'280',b'3/7/1997'
Rhymes for Young Ghouls,2013,R,31 May 2014,88 min,"Crime, Drama",Jeff Barnaby,Jeff Barnaby,"Devery Jacobs, Glen Gould, Brandon Oakes, Roseanne Supernault","English, Micmac",Canada,4 wins & 5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",N/A,6.5,813,tt2385195,movie,24 Nov 2014,"$3,257",Monterey Media,http://www.montereymedia.com/rhymesforyoungghouls/,b'Mont.',"b'$1,529'",b'3',b'$141',b'2',b'10/24/2014'
The Atlanta Rhythm Section: Live,2007,N/A,15 Sep 2007,N/A,Music,David Brainard,N/A,The Atlanta Rhythm Section,English,USA,N/A,[],N/A,N/A,N/A,tt1445760,movie,23 Oct 2007,N/A,N/A,N/A,b'Par.',b'n/a',b'n/a',b'n/a',b'n/a',b'2/22/2019'
Ribbons,2016,N/A,15 Jun 2016,95 min,Thriller,Elias Matar,"Elias Matar (story), Edward E. Romero (story), Edward E. Romero","Brian Krause, Patrick Rodriguez, Haidyn Harvey, Anna Easteden",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,14,tt4581734,movie,N/A,N/A,N/A,N/A,b'Indic.',"b'$25,811'",b'5',"b'$5,715'",b'5',b'9/22/2017'
Rich and Famous,1981,R,09 Oct 1981,117 min,Drama,George Cukor,"Gerald Ayres, John Van Druten (play)","Jacqueline Bisset, Candice Bergen, David Selby, Hart Bochner",English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,5.8,"1,291",tt0082992,movie,06 Nov 2007,N/A,MGM Home Entertainment,N/A,b'MGM',"b'$14,492,125'",b'n/a',b'n/a',b'n/a',b'10/9/1981'
Rich Girl,1991,R,03 May 1991,96 min,Drama,Joel Bender,Robert Elliot,"Jill Schoelen, Don Michael Paul, Sean Kanan, Ron Karabatsos",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,239,tt0100488,movie,18 Dec 1991,N/A,Sony Pictures Home Entertainment,N/A,b'Stu3',"b'$561,000'","b'1,058'","b'$368,056'","b'1,058'",b'5/3/1991'
Rich Hill,2014,NOT RATED,01 Aug 2014,91 min,"Documentary, Biography, Drama","Andrew Droz Palermo(co-director), Tracy Droz Tragos(co-director)",N/A,"Alyssa Jewell, Andrew Jewell, Elizabeth Jewell, Willie Jewell",English,USA,4 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.3,"1,992",tt2548738,movie,08 Jun 2015,N/A,The Orchard,http://www.richhillfilm.com/,b'Orch.',"b'$111,376'",b'28',"b'$9,635'",b'1',b'8/1/2014'
Rich in Love,1992,PG-13,05 Mar 1993,105 min,Drama,Bruce Beresford,"Josephine Humphreys (novel), Alfred Uhry (screenplay)","Albert Finney, Jill Clayburgh, Kathryn Erbe, Kyle MacLachlan",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",N/A,6.3,690,tt0105256,movie,01 Jul 1993,N/A,MGM,N/A,b'MGM',"b'$2,149,866'",b'374',"b'$140,434'",b'24',b'3/5/1993'
