Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
"Lo and Behold, Reveries of the Connected World",2016,PG-13,19 Aug 2016,98 min,Documentary,Werner Herzog,N/A,"Werner Herzog, Leonard Kleinrock, Bob Kahn, Danny Hillis",English,USA,2 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.1,"8,526",tt5275828,movie,N/A,"$594,452",Saville Productions,http://www.loandbeholdfilm.com/,b'Magn.',"b'$594,912'",b'51',"b'$114,273'",b'39',b'8/19/2016'
Loaded,2008,R,25 Mar 2008,98 min,"Action, Crime, Drama",Alan Pao,"Kyle Kramer, Corey Large, S.A. Lucerne, Alan Pao","Jesse Metcalfe, Corey Large, Monica Keena, Nathalie Kelley",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,"2,664",tt0893406,movie,25 Mar 2008,N/A,GoDigital Manly Movies,http://www.loaded-movie.com/,b'Mira.',"b'$44,231'",b'7',"b'$12,071'",b'2',b'4/12/1996'
Loaded Weapon 1,1993,PG-13,05 Feb 1993,84 min,"Action, Comedy, Crime",Gene Quintano,"Don Holley (story), Tori Tellem (story), Don Holley (screenplay), Gene Quintano (screenplay)","Emilio Estevez, Samuel L. Jackson, Jon Lovitz, Tim Curry",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}]",N/A,6.1,"39,484",tt0107659,movie,21 Dec 1999,N/A,Sony Pictures Home Entertainment,N/A,b'NL',"b'$27,979,399'","b'2,015'","b'$9,202,722'","b'1,989'",b'2/5/1993'
Local Color,2006,R,15 Aug 2009,107 min,Drama,George Gallo,George Gallo,"Armin Mueller-Stahl, Trevor Morgan, Ray Liotta, Charles Durning",English,USA,3 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"1,277",tt0472126,movie,N/A,N/A,N/A,N/A,b'Mont.',"b'$32,788'",b'1',"b'$7,183'",b'1',b'10/19/2007'
Local Hero,1983,PG,18 Feb 1983,111 min,"Comedy, Drama",Bill Forsyth,Bill Forsyth,"Burt Lancaster, Peter Riegert, Fulton Mackay, Denis Lawson","English, Russian, Japanese",UK,Won 1 BAFTA Film Award. Another 3 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.5,"17,066",tt0085859,movie,21 Sep 1999,N/A,Warner Home Video,N/A,b'WB',"b'$5,895,761'",b'207',"b'$23,567'",b'1',b'2/18/1983'
Lock Up,1989,R,04 Aug 1989,109 min,"Crime, Drama, Thriller",John Flynn,"Richard Smith, Jeb Stuart, Henry Rosenbaum","Sylvester Stallone, Donald Sutherland, John Amos, Sonny Landham",English,USA,3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.4,"32,222",tt0097770,movie,29 Aug 2000,N/A,Live Home Video,N/A,b'TriS',"b'$22,099,847'","b'1,384'","b'$6,025,520'","b'1,382'",b'8/4/1989'
"Lock, Stock and Two Smoking Barrels",1998,R,28 Aug 1998,107 min,"Comedy, Crime",Guy Ritchie,Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham",English,UK,Nominated for 1 BAFTA Film Award. Another 13 wins & 7 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,8.2,"452,391",tt0120735,movie,31 Aug 1999,N/A,Gramercy Pictures,N/A,b'Gram.',"b'$3,753,929'",b'161',"b'$143,321'",b'8',b'3/5/1999'
Lockdown,2000,R,04 Feb 2001,105 min,"Drama, Thriller",John Luessenhop,Preston A. Whitmore II,"Richard T. Jones, Gabriel Casseus, De'aundre Bonds, Master P",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"2,136",tt0196708,movie,N/A,N/A,N/A,N/A,b'Inn.',"b'$449,482'",b'75',"b'$200,000'",b'75',b'2/14/2003'
Locke,2013,R,18 Apr 2014,85 min,Drama,Steven Knight,Steven Knight,"Tom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott",English,"UK, USA",7 wins & 31 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.1,"104,828",tt2692904,movie,12 Aug 2014,"$1,326,469",A24 Films,http://www.lockethemovie.com/,b'A24',"b'$1,375,769'",b'121',"b'$81,006'",b'4',b'4/25/2014'
Locker 13,2014,R,28 Mar 2014,90 min,Thriller,"Bruce Dellis, Jason Marsden, Matthew Mebane, Adam Montierth, Donovan Montierth","Bruce Dellis (screenplay), Jason Marsden (screenplay), Adam Montierth (screenplay), Donovan Montierth (screenplay), Jose Rosete (screenplay), John Waldron (story), John Waldron (story), Jason Walters (screenplay), Cameron Young (screenplay)","Ricky Schroder, Jon Polito, Steve Eastin, Victor Campos",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",22,4.8,262,tt1241226,movie,29 Apr 2014,N/A,Brothers' Ink Productions,http://www.locker13.com/,b'BIP',"b'$3,496'",b'3',"b'$2,468'",b'3',b'3/28/2014'
