Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Studio,Total Gross,Theaters,Opening Gross,Theaters(opening),Open
The R.M.,2003,PG,31 Jan 2003,101 min,"Comedy, Crime, Family",Kurt Hale,"Kurt Hale, John E. Moyer","Kirby Heyborne, Daryn Tufts, Will Swenson, Britani Bateman",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}]",N/A,6.0,651,tt0341540,movie,04 Jul 2006,"$367,216",Halestorm Entertainment,http://www.rmthemovie.com,b'Hale',"b'$1,111,615'",b'30',"b'$130,352'",b'15',b'1/31/2003'
The Road,2009,R,18 Dec 2009,111 min,"Adventure, Drama",John Hillcoat,"Cormac McCarthy (novel), Joe Penhall (screenplay)","Viggo Mortensen, Kodi Smit-McPhee, Robert Duvall, Guy Pearce",English,USA,Nominated for 1 BAFTA Film Award. Another 5 wins & 31 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.3,"191,539",tt0898367,movie,25 May 2010,"$8,025,059",The Weinstein Co./Dimension,http://www.theroad-movie.com/,b'W/Dim.',"b'$8,117,000'",b'396',"b'$1,502,231'",b'111',b'11/25/2009'
Mad Max: Fury Road,2015,R,15 May 2015,120 min,"Action, Adventure, Sci-Fi",George Miller,"George Miller, Brendan McCarthy, Nick Lathouris","Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne","English, Russian","Australia, USA",Won 6 Oscars. Another 232 wins & 219 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,8.1,"665,359",tt1392190,movie,01 Sep 2015,"$129,483,877",Warner Bros.,http://www.madmaxmovie.com/,b'Med.',"b'$136,700'",b'20',"b'$73,636'",b'17',b'9/27/2002'
Road Hard,2015,NOT RATED,06 Mar 2015,98 min,Comedy,"Adam Carolla, Kevin Hench","Adam Carolla, Kevin Hench","Larry Clarke, Jonathan Klein, Adam Carolla, Jim O'Heir",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.1,"1,496",tt3110770,movie,06 Oct 2015,N/A,FilmBuff,http://www.roadhardmovie.com/,b'FB',"b'$113,169'",b'22',"b'$105,943'",b'22',b'3/6/2015'
The Road Home,1999,G,15 Jun 2001,89 min,"Drama, History, Romance",Yimou Zhang,"Shi Bao (novel), Shi Bao (screenplay)","Ziyi Zhang, Honglei Sun, Hao Zheng, Yulian Zhao",Mandarin,China,16 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.9,"10,974",tt0235060,movie,27 Nov 2001,"$370,465",Sony Picture Classics,http://www.spe.sony.com/classics/theroadhome/index.html,b'SPC',"b'$1,280,490'",b'37',"b'$40,557'",b'6',b'5/25/2001'
Road House,1989,R,19 May 1989,114 min,"Action, Thriller",Rowdy Herrington,"R. Lance Hill (story), R. Lance Hill (screenplay), Hilary Henkin (screenplay)","Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara","English, Portuguese",USA,5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,6.5,"47,489",tt0098206,movie,04 Feb 2003,N/A,United Artists,http://www.mgm.com/title_title.do?title_star=ROADHOUS,b'UA',"b'$30,050,028'","b'1,935'","b'$5,957,656'","b'1,927'",b'5/19/1989'
Road Scholar,1993,PG,16 Jul 1993,82 min,Documentary,Roger Weisberg,N/A,"Andrei Codrescu, Allen Ginsberg",English,USA,2 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.9,130,tt0107974,movie,N/A,N/A,Hallmark Entertainment,N/A,b'Gold.',"b'$597,564'",b'16',"b'$8,635'",b'1',b'7/16/1993'
The Road to El Dorado,2000,PG,31 Mar 2000,89 min,"Animation, Adventure, Comedy","Bibo Bergeron, Don Paul, Jeffrey Katzenberg","Terry Rossio (screenplay), Ted Elliott (screenplay), Karey Kirkpatrick (additional dialogue)","Kevin Kline, Kenneth Branagh, Rosie Perez, Armand Assante",English,USA,1 win & 12 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.9,"66,195",tt0138749,movie,12 Dec 2000,N/A,Dreamworks,http://www.roadtoeldorado.com,b'DW',"b'$50,863,742'","b'3,223'","b'$12,846,652'","b'3,218'",b'3/31/2000'
The Road to Guantanamo,2006,R,09 Mar 2006,95 min,"Documentary, Drama, War","Mat Whitecross, Michael Winterbottom",N/A,"Riz Ahmed, Farhad Harun, Waqar Siddiqui, Arfan Usman","English, Urdu",UK,4 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.5,"10,717",tt0468094,movie,24 Oct 2006,"$221,178",Roadside Attractions,http://www.roadtoguantanamomovie.com/,b'IDP',"b'$326,876'",b'25',"b'$61,138'",b'15',b'6/23/2006'
Road to Juarez,2015,N/A,24 Apr 2015,N/A,"Action, Thriller",David A. Ponce de Leon,David A. Ponce de Leon,"William Forsythe, Jacqueline Pinol, Pepe Serna, Charley Koontz","English, Spanish","USA, Mexico",N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,43,tt1935277,movie,N/A,N/A,Mousetrap Films,http://filmfestivalflix.com/film/road-to-juarez/,b'RTJ',b'n/a',b'10',b'n/a',b'10',b'4/24/2015'
