,num,Title,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends
4103,4103,The New Twenty,1,1,1,0,92,20/03/2009,1,5.1,0.0,0,,0,
4106,4106,The New Year's Eve of Old Lee,6,6,1,1,106,12/02/2016,19,4.2,0.0,0,,0,
4109,4109,Newlyweds,1,1,2,0,95,13/01/2012,1,6.4,28500.0,1,47.1,1,
4110,4110,News from Planet Mars,1,3,2,1,101,22/07/2016,2,6.2,0.0,0,,0,
4111,4111,Disney's Newsies the Broadway Musical,780,1,19,1,149,18/02/2017,1,8.6,0.0,0,,0,
4112,4112,Newtown,3,1,3,0,85,07/10/2016,1,6.7,0.0,0,,0,
4117,4117,Next Time I'll Aim for the Heart,1,3,5,1,111,01/04/2016,2,6.4,0.0,0,,0,
4121,4121,A Space Program,1,1,3,1,72,18/03/2016,1,6.7,0.0,0,,0,
4132,4132,Speed-Dating,1,1,2,1,98,04/06/2010,1,2.5,0.0,0,,0,
4134,4134,Spices of Liberty,2,1,16,1,0,21/10/2016,1,6.350375411,0.0,0,,0,
4142,4142,Spirits' Homecoming,17,6,1,1,127,11/03/2016,7,7.0,0.0,0,,0,
4146,4146,Split: A Deeper Divide,1,1,3,0,72,12/10/2012,1,6.8,0.0,0,,0,
4152,4152,Yo ni mo Kimyô na Monogatari Spring 2015,15,6,12,1,110,20/03/2015,6,8.0,0.0,0,,0,
4167,4167,Le grand départ,1,5,2,1,0,23/05/2014,2,5.8,0.0,0,,0,
4184,4184,Great World of Sound,4,1,2,1,106,14/09/2007,1,6.7,0.0,0,,0,
4196,4196,The Green Wave,682,6,3,0,80,10/08/2012,8,7.6,0.0,0,,0,
4199,4199,Greenwich Village: Music That Defined a Generation,2,5,3,1,92,18/01/2013,1,7.1,23200.0,1,,0,
4205,4205,The Hill Chris Climbed: The Gridiron Heroes Story,5,1,3,1,90,15/04/2016,1,6.350375411,60200.0,1,,0,
4207,4207,Gringo,682,6,1,1,80,09/03/2018,4,4.5,0.0,0,,0,
4209,4209,The Grocer's Son,7,3,1,1,96,06/06/2008,2,7.0,0.0,0,,0,
4217,4217,Skid Marks,4,1,4,1,85,05/10/2007,1,3.8,0.0,0,,0,
4219,4219,Skills Like This,7,1,2,1,88,20/03/2009,1,6.5,0.0,0,,0,
4222,4222,Skinless,1,1,8,0,80,08/03/2014,1,5.9,0.0,0,,0,
4225,4225,The Skyjacker's Tale,2,5,3,1,75,30/06/2017,1,6.1,0.0,0,,0,
4230,4230,Slaughter Creek,16,1,1,0,94,14/09/2012,1,3.2,0.0,0,,0,
4239,4239,Slenderman,682,1,11,1,25,18/05/2018,1,7.7,0.0,0,,0,
4248,4248,The Lucky Man,682,1,4,1,98,21/12/2017,1,8.4,0.0,0,,0,
