ROW,"[b'151', b'152', b'153', b'154', b'155', b'156', b'157', b'158', b'159', b'160', b'161', b'162', b'163', b'164', b'165', b'166', b'167', b'168', b'169', b'170', b'171', b'172', b'173', b'174', b'175', b'176', b'177', b'178', b'179', b'180', b'181', b'182', b'183', b'184', b'185', b'186', b'187', b'188', b'189', b'190', b'191', b'192', b'193', b'194', b'195', b'196', b'197', b'198', b'199', b'200', b'201', b'202', b'203', b'204', b'205', b'206', b'207', b'208', b'209', b'210', b'211', b'212', b'213', b'214', b'215', b'216', b'217', b'218', b'219', b'220', b'221', b'222', b'223', b'224', b'225', b'226', b'227', b'228', b'229', b'230', b'231', b'232', b'233', b'234', b'235', b'236', b'237', b'238', b'239', b'240', b'241', b'242', b'243', b'244', b'245', b'246', b'247', b'248', b'249', b'250', b'251', b'252', b'253', b'254', b'255', b'256', b'257', b'258', b'259', b'260', b'261', b'262', b'263', b'264', b'265', b'266', b'267', b'268', b'269', b'270', b'271', b'272', b'273', b'274', b'275', b'276', b'277', b'278', b'279', b'280', b'281', b'282', b'283', b'284', b'285', b'286', b'287', b'288', b'289', b'290', b'291', b'292', b'293', b'294', b'295', b'296', b'297', b'298', b'299', b'300', b'301', b'302', b'303', b'304', b'305', b'306', b'307', b'308', b'309', b'310', b'311', b'312', b'313', b'314', b'315', b'316', b'317', b'318', b'319', b'320', b'321', b'322', b'323', b'324', b'325', b'326', b'327', b'328', b'329', b'330', b'331', b'332', b'333', b'334', b'335', b'336', b'337', b'338', b'339', b'340', b'341', b'342', b'343', b'344', b'345', b'346', b'347', b'348', b'349', b'350']"
Person,"[b'Peter Weir', b'Matt Reeves', b'Roger Donaldson', b'Cameron Crowe', b'John Lee Hancock', b'Tim Johnson', b'Shane Black', b'Paul Weitz', b'Patty Jenkins', b'Paul Verhoeven', b'Chris Wedge', b'Jake Kasdan', b'Paul W.S. Anderson', b'Guillermo del Toro', b'Harold Ramis', b'Vicky Jenson', b'Nick Stoller', b'Seth Gordon', b'Jonathan Liebesman', b'David Dobkin', b'Taylor Hackford', b'Robert Luketic', b'Malcolm D. Lee', b'Martin Brest', b'Alan J. Pakula', b'Irvin Kershner', b'Penny Marshall', b'Curtis Hanson', b'Ethan Coen', b'Jennifer Lee', b'Keenen Ivory Wayans', b'Andres Muschietti', b'Walter Hill', b'Mel Brooks', b'Rawson Marshall Thurber', b'Jonathan Demme', b'James L. Brooks', b'Tim Hill', b'Amy Heckerling', b'Spike Lee', b'Anne Fletcher', b'David Frankel', b'Jon Chu', b'Kevin Reynolds', b'Andy Fickman', b'Jeff Tremaine', b'Brad Silberling', b'Sean Anders', b'Kevin Costner', b'Jim Abrahams', b'Seth MacFarlane', b'Peter Hyams', b'David Slade', b'D.J. Caruso', b'Brenda Chapman', b'Chris Williams', b'John Hughes', b'Brian Robbins', b'Luc Besson', b'Ben Stiller', b'Garth Jennings', b'Lee Tamahori', b'Taika Waititi', b'Alex Proyas', b'Jaume Collet-Serra', b'Baz Luhrmann', b'Jennifer Yuh Nelson', b'Nick Cassavetes', b'Len Wiseman', b'Brad Peyton', b'Denis Villeneuve', b'Danny Boyle', b'Tom Hooper', b'Harald Zwart', b'Lawrence Kasdan', b'Olivier Megaton', b'Alan Taylor', b'Bob Peterson', b'Michael Lembeck', b'John Carpenter', b'Gus Van Sant', b'Alejandro Gonz\xc3\xa1lez I\xc3\xb1\xc3\xa1rritu', b'Randall Wallace', b'Catherine Hardwicke', b'Joseph Ruben', b'Jason Reitman', b'Christopher McQuarrie', b'Joseph Kosinski', b'Stephen Frears', b'Robert Altman', b'Tate Taylor', b'Neil Jordan', b'Robert Redford', b'Alexander Payne', b'Steven Brill', b'Neil Burger', b'Mark Steven Johnson', b'Darren Aronofsky', b'Dan Scanlon', b'Penelope Spheeris', b'Larry Charles', b'Anthony Minghella', b'Ben Affleck', b'John Madden', b'Warren Beatty', b'Gary Winick', b'Frank Marshall', b'Charles Shyer', b'Don Hall', b'Michael Patrick King', b'Gabriele Muccino', b'Stephen Hopkins', b'Dean Parisot', b'Ken Kwapis', b'Ron Underwood', b'Brian Helgeland', b'John Moore', b'Steve Oedekerk', b'Robert Stromberg', b'Stanley Kubrick', b'Neill Blomkamp', b'Joe Wright', b'Mark Andrews', b'P.J. Hogan', b'James Foley', b'Robert Benton', b'Wes Anderson', b'David R. Ellis', b'Don Bluth', b'Darren Lynn Bousman', b'Kathryn Bigelow', b'Thomas Carter', b'Tarsem', b'Simon Wells', b'Boaz Yakin', b'Jimmy Hayward', b'Danny DeVito', b'Frank Darabont', b'Tom Dey', b'Will Gluck', b'Kirk De Micco', b'Terry Gilliam', b'Mimi Leder', b'Theodore Melfi', b'John Whitesell', b'Joe Roth', b'Gregory Hoblit', b'Jon Lucas', b'Scott Moore', b'Peter Chelsom', b'Rupert Wyatt', b'Michael Caton-Jones', b'Simon J. Smith', b'Dominic Sena', b'Kevin Smith', b'David Bowers', b'Thor Freudenthal', b'Kenny Ortega', b'Richard Linklater', b'George Clooney', b'Tony Gilroy', b'Edgar Wright', b'Josh Gordon', b'Will Speck', b'Timur Bekmambetov', b'Henry Joost', b'Ariel Schulman', b'Allen Hughes', b'Rupert Sanders', b'Luke Greenfield', b'Morten Tyldum', b'Jonathan Levine', b'Greg Mottola', b'Brad Lewis', b'Michael Moore', b'George Tillman, Jr.', b'Jean-Jacques Annaud', b'Baltasar Kormakur', b'Henry Selick', b'Elizabeth Banks', b'Wes Ball', b""Gavin O'Connor"", b'Kirk Jones', b'Pierre Morel', b'Andrzej Bartkowiak', b'Scott Hicks', b'Albert Hughes', b'Aaron Seltzer', b'Marcus Nispel', b'Jordan Peele', b'Joe Carnahan', b'Joachim Ronning', b'Espen Sandberg', b'Peter Hewitt', b'Sam Fell', b'Jordan Vogt-Roberts', b'David F. Sandberg', b'David Twohy', b'Jay Russell', b'Sam Taylor-Johnson']"
Total Gross(Million),"[b'$454.0', b'$453.3', b'$452.8', b'$450.4', b'$450.1', b'$449.7', b'$449.5', b'$449.0', b'$447.0', b'$445.7', b'$445.5', b'$445.0', b'$441.3', b'$437.0', b'$435.7', b'$434.9', b'$431.3', b'$430.9', b'$430.5', b'$427.7', b'$426.8', b'$421.0', b'$416.8', b'$413.8', b'$413.8', b'$411.6', b'$407.0', b'$406.8', b'$402.5', b'$400.7', b'$400.2', b'$399.1', b'$395.0', b'$393.6', b'$392.2', b'$391.9', b'$391.5', b'$387.8', b'$384.0', b'$379.8', b'$377.8', b'$375.0', b'$369.4', b'$365.9', b'$365.6', b'$356.3', b'$354.0', b'$353.1', b'$348.4', b'$348.0', b'$343.4', b'$341.8', b'$341.1', b'$340.5', b'$338.7', b'$336.6', b'$329.5', b'$329.4', b'$327.0', b'$324.0', b'$323.2', b'$322.5', b'$321.4', b'$321.0', b'$311.3', b'$309.9', b'$308.8', b'$308.7', b'$307.7', b'$307.4', b'$303.5', b'$300.2', b'$299.2', b'$297.9', b'$297.7', b'$297.5', b'$296.1', b'$293.0', b'$291.8', b'$288.5', b'$287.9', b'$287.1', b'$286.2', b'$285.1', b'$282.7', b'$282.5', b'$281.2', b'$279.4', b'$278.3', b'$277.7', b'$275.8', b'$275.7', b'$274.8', b'$274.8', b'$274.5', b'$270.4', b'$269.3', b'$269.2', b'$268.5', b'$263.1', b'$261.8', b'$261.2', b'$258.9', b'$257.5', b'$255.9', b'$255.2', b'$252.6', b'$249.7', b'$249.2', b'$248.0', b'$247.9', b'$247.9', b'$245.6', b'$244.0', b'$243.2', b'$242.6', b'$242.5', b'$241.5', b'$241.4', b'$241.2', b'$240.3', b'$237.6', b'$237.3', b'$235.0', b'$232.6', b'$231.8', b'$231.8', b'$231.1', b'$230.9', b'$230.8', b'$227.6', b'$226.1', b'$224.3', b'$222.5', b'$221.9', b'$220.8', b'$220.6', b'$218.5', b'$217.4', b'$217.3', b'$217.3', b'$216.0', b'$215.2', b'$213.7', b'$213.5', b'$213.2', b'$213.1', b'$211.0', b'$211.0', b'$211.0', b'$210.5', b'$210.2', b'$210.0', b'$208.9', b'$206.7', b'$206.7', b'$205.6', b'$205.0', b'$203.9', b'$203.7', b'$202.8', b'$202.5', b'$201.1', b'$201.1', b'$200.4', b'$199.8', b'$199.8', b'$198.5', b'$195.9', b'$193.8', b'$192.5', b'$192.4', b'$191.9', b'$191.5', b'$191.2', b'$190.5', b'$188.6', b'$185.6', b'$184.7', b'$184.3', b'$184.1', b'$182.9', b'$182.0', b'$180.9', b'$179.4', b'$178.9', b'$178.8', b'$177.4', b'$177.1', b'$175.5', b'$175.1', b'$174.1', b'$174.1', b'$171.9', b'$171.5', b'$169.4', b'$169.4', b'$169.2', b'$168.8', b'$167.6']"
Movie involved,"[b'10', b'5', b'15', b'9', b'5', b'4', b'3', b'10', b'2', b'9', b'4', b'7', b'12', b'10', b'11', b'3', b'6', b'5', b'5', b'6', b'14', b'7', b'9', b'6', b'12', b'4', b'7', b'11', b'8', b'1', b'6', b'2', b'17', b'10', b'4', b'20', b'6', b'5', b'9', b'21', b'5', b'7', b'7', b'9', b'6', b'4', b'6', b'6', b'4', b'8', b'3', b'15', b'3', b'8', b'2', b'2', b'8', b'10', b'12', b'6', b'3', b'8', b'4', b'6', b'7', b'5', b'2', b'7', b'4', b'4', b'7', b'12', b'4', b'5', b'11', b'4', b'2', b'1', b'4', b'15', b'16', b'6', b'4', b'7', b'9', b'6', b'3', b'3', b'23', b'20', b'4', b'16', b'9', b'7', b'6', b'5', b'5', b'7', b'1', b'5', b'5', b'6', b'4', b'11', b'5', b'7', b'4', b'7', b'2', b'2', b'5', b'9', b'4', b'9', b'7', b'5', b'5', b'4', b'1', b'7', b'3', b'7', b'1', b'4', b'12', b'9', b'8', b'6', b'9', b'5', b'9', b'5', b'5', b'6', b'7', b'3', b'6', b'4', b'4', b'4', b'2', b'10', b'3', b'2', b'6', b'6', b'6', b'3', b'3', b'9', b'3', b'9', b'2', b'5', b'11', b'5', b'3', b'4', b'18', b'6', b'3', b'5', b'3', b'3', b'5', b'4', b'4', b'6', b'2', b'4', b'4', b'5', b'5', b'1', b'9', b'6', b'9', b'4', b'4', b'1', b'2', b'6', b'5', b'4', b'5', b'7', b'5', b'5', b'4', b'1', b'4', b'2', b'2', b'6', b'3', b'2', b'2', b'6', b'5', b'2']"
Average Gross for each movie,"[b'$45.4', b'$90.7', b'$30.2', b'$50.0', b'$90.0', b'$112.4', b'$149.8', b'$44.9', b'$223.5', b'$49.5', b'$111.4', b'$63.6', b'$36.8', b'$43.7', b'$39.6', b'$145.0', b'$71.9', b'$86.2', b'$86.1', b'$71.3', b'$30.5', b'$60.1', b'$46.3', b'$69.0', b'$34.5', b'$102.9', b'$58.1', b'$37.0', b'$50.3', b'$400.7', b'$66.7', b'$199.6', b'$23.2', b'$39.4', b'$98.1', b'$19.6', b'$65.3', b'$77.6', b'$42.7', b'$18.1', b'$75.6', b'$53.6', b'$52.8', b'$40.7', b'$60.9', b'$89.1', b'$59.0', b'$58.9', b'$87.1', b'$43.5', b'$114.5', b'$22.8', b'$113.7', b'$42.6', b'$169.3', b'$168.3', b'$41.2', b'$32.9', b'$27.3', b'$54.0', b'$107.7', b'$40.3', b'$80.3', b'$53.5', b'$44.5', b'$62.0', b'$154.4', b'$44.1', b'$76.9', b'$76.9', b'$43.4', b'$25.0', b'$74.8', b'$59.6', b'$27.1', b'$74.4', b'$148.1', b'$293.0', b'$73.0', b'$19.2', b'$18.0', b'$47.8', b'$71.6', b'$40.7', b'$31.4', b'$47.1', b'$93.7', b'$93.1', b'$12.1', b'$13.9', b'$69.0', b'$17.2', b'$30.5', b'$39.3', b'$45.8', b'$54.1', b'$53.9', b'$38.5', b'$268.5', b'$52.6', b'$52.4', b'$43.5', b'$64.7', b'$23.4', b'$51.2', b'$36.5', b'$63.1', b'$35.7', b'$124.6', b'$124.0', b'$49.6', b'$27.5', b'$61.4', b'$27.1', b'$34.7', b'$48.5', b'$48.5', b'$60.4', b'$241.4', b'$34.5', b'$80.1', b'$33.9', b'$237.3', b'$58.7', b'$19.4', b'$25.8', b'$29.0', b'$38.5', b'$25.7', b'$46.2', b'$25.3', b'$45.2', b'$44.9', b'$37.1', b'$31.7', b'$73.6', b'$36.8', b'$54.6', b'$54.3', b'$54.3', b'$108.6', b'$21.6', b'$71.7', b'$106.9', b'$35.6', b'$35.5', b'$35.5', b'$70.3', b'$70.3', b'$23.4', b'$70.2', b'$23.4', b'$105.0', b'$41.8', b'$18.8', b'$41.3', b'$68.5', b'$51.2', b'$11.3', b'$34.0', b'$67.6', b'$40.5', b'$67.0', b'$67.0', b'$40.1', b'$49.9', b'$49.9', b'$33.1', b'$97.9', b'$48.4', b'$48.1', b'$38.5', b'$38.4', b'$191.5', b'$21.2', b'$31.8', b'$21.0', b'$46.4', b'$46.2', b'$184.3', b'$92.1', b'$30.5', b'$36.4', b'$45.2', b'$35.9', b'$25.6', b'$35.8', b'$35.5', b'$44.3', b'$175.5', b'$43.8', b'$87.0', b'$87.0', b'$28.7', b'$57.2', b'$84.7', b'$84.7', b'$28.2', b'$33.8', b'$83.8']"
Most profitbale movie,"[b'Truman Show', b'Dawn of the Planet of the Apes', b'Cocktail', b'Jerry Maguire', b'The Blind Side', b'Home', b'Iron Man 3', b'Little Fockers', b'Wonder Woman', b'Total Recall', b'Ice Age', b'Jumanji (2017)', b'Alien Vs. Predator', b'Pacific Rim', b'Analyze This', b'Shrek', b'Neighbors', b'Identity Thief', b'Ninja Turtles', b'Wedding Crashers', b'An Officer and a Gentleman', b'Legally Blonde', b'Girls Trip', b'Beverly Hills Cop', b'Pelican Brief', b'The Empire Strikes Back', b'Big', b'8 Mile', b'True Grit', b'Frozen', b'Scary Movie', b'It', b'Another 48 HRS.', b'Blazing Saddles', b""We're the Millers"", b'Silence of the Lambs', b'As Good as It Gets', b'Alvin and the Chipmunks', b""Look Who's Talking"", b'Inside Man', b'The Proposal', b'Marley and Me', b'G.I. Joe: Retaliation', b'Robin Hood: Prince of Thieves', b'The Game Plan', b'Jackass 3-D', b'Lemony Snicket', b""Daddy's Home"", b'Dances with Wolves', b'Airplane!', b'Ted', b'End of Days', b'The Twilight Saga: Eclipse', b'Eagle Eye', b'Brave', b'Big Hero 6', b""Ferris Bueller's Day Off"", b'Norbit', b'Lucy', b'Tropic Thunder', b'Sing', b'Die Another Day', b'Thor: Ragnarok', b'I, Robot', b'Non-Stop', b'The Great Gatsby', b'Kung Fu Panda 2', b'The Other Woman', b'Live Free or Die Hard', b'San Andreas', b'Arrival', b'Slumdog Millionaire', b'Les Miserables', b'The Karate Kid', b'The Big Chill', b'Taken 2', b'Thor: The Dark World', b'Up', b'The Santa Clause 2', b'Halloween', b'Good Will Hunting', b'The Revenant', b'Heaven is for Real', b'Twilight', b'Sleeping with the Enemy', b'Juno', b'M:I - Rogue Nation', b'Tron Legacy', b'The Queen', b'M.A.S.H.', b'The Help', b'Interview with the Vampire', b'Horse Whisperer', b'The Descendants', b'Mr. Deeds', b'Divergent', b'Ghost Rider', b'Black Swan', b'Monsters University', b""Wayne's World"", b'Borat', b'Cold Mountain', b'Argo', b'Shakespeare in Love', b'Dick Tracy', b""Charlotte's Web"", b'Eight Below', b'Father of the Bride', b'Big Hero 6', b'Sex and the City', b'The Pursuit of Happyness', b'Lost in Space', b'Fun with Dick and Jane', b""He's Just Not That Into You"", b'City Slickers', b'42', b'A Good Day to Die Hard', b'When Nature Calls', b'Maleficent', b'2001: A Space Odyssey', b'District 9', b'Atonement', b'Brave', b""My Best Friend's Wedding"", b'Fifty Shades Darker', b'Kramer Vs. Kramer', b'The Grand Budapest Hotel', b'The Final Destination', b'Anastasia', b'Saw II', b'Zero Dark Thirty', b'Save the Last Dance', b'Immortals', b'Prince of Egypt', b'Remember the Titans', b'Horton Hears a Who!', b'The War of the Roses', b'Green Mile', b'Failure to Launch', b'Annie (2014)', b'The Croods', b'12 Monkeys', b'Deep Impact', b'Hidden Figures', b""Big Momma's House 2"", b""America's Sweethearts"", b'Primal Fear', b'Bad Moms', b'Bad Moms', b'Hannah Montana The Movie', b'Rise of the Planet of the Apes', b'The Jackal', b'Bee Movie', b'Gone in 60 Seconds', b'Cop Out', b'Flushed Away', b'Hotel for Dogs', b'High School Musical 3', b'School of Rock', b'The Monuments Men', b'The Bourne Legacy', b'Baby Driver', b'Blades of Glory', b'Blades of Glory', b'Wanted', b'Paranormal Activity 3', b'Paranormal Activity 3', b'The Book of Eli', b'Snow White and the Huntsman', b""Let's Be Cops"", b'Passengers', b'Warm Bodies', b'Superbad', b'Cars 2', b'Fahrenheit 9/11', b'Men of Honor', b'Enemy at the Gates', b'2 Guns', b'Coraline', b'Pitch Perfect 2', b'The Maze Runner', b'The Accountant', b'My Big Fat Greek Wedding 2', b'Taken', b'Romeo Must Die', b'The Lucky One', b'The Book of Eli', b'Date Movie', b'Texas Chainsaw Massacre', b'Get Out', b'The A-Team', b'Pirates of the Caribbean 5', b'Pirates of the Caribbean 5', b'Garfield', b'Flushed Away', b'Kong: Skull Island', b'Annabelle 2', b'The Chronicles of Riddick', b'Ladder 49', b'Fifty Shades of Grey']"
Gross of most profitable,"[b'$125.6', b'$208.5', b'$78.2', b'$154.0', b'$256.0', b'$177.4', b'$409.0', b'$148.4', b'$412.6', b'$119.4', b'$176.4', b'$244.4', b'$80.3', b'$101.8', b'$106.9', b'$267.7', b'$150.2', b'$134.5', b'$191.2', b'$209.3', b'$129.8', b'$96.5', b'$115.1', b'$234.8', b'$100.8', b'$290.5', b'$115.0', b'$116.8', b'$171.2', b'$400.7', b'$157.0', b'$327.5', b'$80.8', b'$119.6', b'$150.4', b'$130.7', b'$148.5', b'$217.3', b'$140.1', b'$88.5', b'$164.0', b'$143.2', b'$122.5', b'$165.5', b'$90.6', b'$117.2', b'$118.6', b'$150.4', b'$184.2', b'$83.5', b'$218.8', b'$66.9', b'$300.5', b'$101.4', b'$237.3', b'$222.5', b'$70.1', b'$95.7', b'$126.7', b'$110.5', b'$270.3', b'$160.9', b'$312.5', b'$144.8', b'$92.2', b'$144.8', b'$165.2', b'$83.9', b'$134.5', b'$155.2', b'$100.5', b'$141.3', b'$148.8', b'$176.6', b'$56.4', b'$139.9', b'$206.4', b'$293.0', b'$139.2', b'$47.0', b'$138.4', b'$183.6', b'$91.4', b'$192.8', b'$101.6', b'$143.5', b'$195.0', b'$172.1', b'$56.4', b'$81.6', b'$169.7', b'$105.3', b'$75.4', b'$82.6', b'$126.3', b'$150.9', b'$115.8', b'$107.0', b'$268.5', b'$121.7', b'$128.5', b'$95.6', b'$136.0', b'$100.3', b'$103.7', b'$83.0', b'$81.6', b'$89.3', b'$222.5', b'$152.6', b'$163.6', b'$69.1', b'$110.3', b'$94.0', b'$124.0', b'$95.0', b'$67.3', b'$108.4', b'$241.4', b'$57.0', b'$115.6', b'$50.9', b'$237.3', b'$127.1', b'$114.4', b'$106.3', b'$59.3', b'$66.5', b'$58.4', b'$87.0', b'$95.7', b'$91.1', b'$83.5', b'$101.4', b'$115.7', b'$154.5', b'$86.9', b'$136.8', b'$88.7', b'$85.9', b'$187.2', b'$57.1', b'$140.5', b'$169.6', b'$70.2', b'$93.6', b'$56.1', b'$113.3', b'$113.3', b'$79.6', b'$176.8', b'$54.9', b'$126.6', b'$101.6', b'$44.9', b'$64.7', b'$73.0', b'$90.6', b'$81.3', b'$78.0', b'$113.2', b'$107.8', b'$118.6', b'$118.6', b'$134.5', b'$104.0', b'$104.0', b'$94.8', b'$155.3', b'$82.4', b'$100.0', b'$66.4', b'$121.5', b'$191.5', b'$119.2', b'$48.8', b'$51.4', b'$75.6', b'$75.3', b'$184.3', b'$102.4', b'$86.3', b'$59.7', b'$145.0', b'$56.0', b'$60.5', b'$94.8', b'$48.5', b'$80.6', b'$175.5', b'$77.2', b'$172.6', b'$172.6', b'$75.4', b'$64.7', b'$168.1', b'$102.1', b'$57.8', b'$74.5', b'$166.2']"
