,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Total Gross,Actorinfluenceaverage,Actorinfluencemax,googletrends,Average Gross for each movie
48,Killing Kasztner,2008,5,USA,Documentary,Rated,120,2009-10-23,English,7.2,112313.0,0.0,0.0,0.0,
49,The Killing of a Sacred Deer,2017,238,UK,Drama,Rated,121,2017-10-20,English,7.9,1083179.0,32500.0,38600.0,1264.0,
50,Killing Season,2013,12,USA,Action,Rated,91,2013-07-12,English,5.4,39881.0,53300.0,53300.0,448.0,53900.0
51,Killing Them Safely,2015,0,Canada,Documentary,Unrated,100,2015-11-27,English,6.7,0.0,0.0,0.0,447.0,
52,Killing Them Softly,2012,2424,USA,Crime,Rated,97,2012-11-30,English,6.2,15026056.0,64800.0,64800.0,607.0,6400.0
53,Kills on Wheels,2016,1,Hungary,Action,Rated,103,2017-10-20,Hungarian,7.4,15668.0,0.0,0.0,186.0,
54,Killshot,2008,5,USA,Crime,Rated,95,2009-01-23,English,6.0,18643.0,26466.66666666667,43700.0,913.0,23400.0
55,Kilo Two Bravo,2014,11,UK,Adventure,Rated,108,2015-11-13,English,7.1,7891.0,0.0,0.0,804.0,
56,A Kind of Murder,2016,3,USA,Crime,Rated,95,2016-12-16,English,5.2,2915.0,35700.0,39200.0,580.0,
57,The Kind Words,2015,8,Israel,Drama,Unrated,118,2016-06-24,French,6.7,135382.0,0.0,0.0,0.0,
58,The Kindergarten Teacher,2014,4,Israel,Drama,Unrated,119,2015-07-31,Hebrew,6.6,36190.0,0.0,0.0,139.0,
59,King Arthur: Legend of the Sword,2017,3702,USA,Action,Rated,126,2017-05-12,English,6.9,39175066.0,41800.0,41800.0,619.0,57900.0
60,King Cobra,2016,17,USA,Crime,Unrated,91,2016-10-21,English,5.6,74712.0,0.0,0.0,530.0,
61,King Corn,2007,8,USA,Documentary,Unrated,88,2007-10-12,English,7.1,105422.0,0.0,0.0,469.0,
62,King Georges,2015,10,USA,Documentary,Unrated,77,2016-02-26,English,6.9,51663.0,0.0,0.0,501.0,
63,King of California,2007,28,USA,Comedy,Rated,93,2007-09-14,English,6.7,268461.0,49400.0,49400.0,392.0,1300.0
64,King of Devil's Island,2010,2,Norway,Action,Unrated,116,2011-11-18,Norwegian,7.5,7615.0,0.0,0.0,0.0,
65,The King of Kong: A Fistful of Quarters,2007,58,USA,Documentary,Rated,79,2007-08-17,English,8.2,677914.0,0.0,0.0,0.0,86200.0
66,The King's Case Note,2017,7,South Korea,Adventure,Rated,114,2017-04-28,Korean,6.5,90959.0,0.0,0.0,0.0,
67,The King's Choice,2016,10,Norway,Biography,Rated,133,2017-09-22,Norwegian,7.3,109153.0,0.0,0.0,1142.0,
68,The King's Speech,2010,2584,UK,Biography,Rated,118,2010-11-26,English,8.0,1354531430.0,57250.0,78400.0,458.0,74800.0
69,The Kingdom,2007,2836,USA,Action,Rated,110,2007-09-28,English,7.1,47536778.0,54233.33333333334,69500.0,1137.0,75400.0
70,Kings of Pastry,2009,10,Netherlands,Documentary,Rated,87,2010-09-15,English,6.9,336386.0,0.0,0.0,345.0,
71,The Kings of Summer,2013,65,USA,Adventure,Rated,95,2013-05-31,English,7.2,1315590.0,0.0,0.0,1091.0,84700.0
72,Kings of the Evening,2008,5,USA,Drama,Rated,99,2010-06-11,English,6.0,99270.0,0.0,0.0,100.0,
73,Kingsglaive: Final Fantasy XV,2016,26,Japan,Animation,Rated,110,2016-08-19,English,6.9,269980.0,39100.0,53000.0,926.0,
74,Kingsman: The Golden Circle,2017,4038,UK,Action,Rated,141,2017-09-22,English,7.2,99121408.0,86000.0,86000.0,594.0,77300.0
75,Kingsman: The Secret Service,2014,3282,UK,Action,Rated,129,2015-02-13,English,7.7,128261724.0,35150.0,36100.0,724.0,77300.0
76,Kinyarwanda,2011,9,USA,Drama,Unrated,100,2011-12-02,English,6.7,35412.0,0.0,0.0,609.0,
77,Kismat Konnection,2008,62,India,Comedy,Rated,153,2008-07-18,Hindi,5.2,490154.0,0.0,0.0,641.0,
78,Kiss of the Damned,2012,7,USA,Drama,Rated,97,2013-05-03,English,5.6,14752.0,0.0,0.0,1031.0,
79,Kiss the Bride,2007,5,USA,Comedy,Rated,100,2008-04-18,English,5.8,32033.0,0.0,0.0,0.0,
80,Kisses,2008,11,Ireland,Drama,Rated,72,2010-07-16,English,7.3,81680.0,0.0,0.0,993.0,
81,Kit Kittredge: An American Girl,2008,1849,USA,Drama,Rated,101,2008-06-20,English,6.6,17657973.0,55200.0,55200.0,100.0,
82,The Kitchen,2012,2,USA,Comedy,Rated,80,2013-03-08,English,5.0,4054.0,0.0,0.0,966.0,
83,The Kite Runner,2007,715,USA,Drama,Rated,128,2007-12-14,Dari,7.6,15800078.0,0.0,0.0,849.0,57200.0
84,Kites,2010,207,India,Action,Unrated,123,2010-05-21,English,6.1,16434860.0,0.0,0.0,991.0,
85,The Guard,2011,203,Ireland,Comedy,Rated,96,2011-07-29,English,7.3,5360274.0,0.0,0.0,996.0,4500.0
86,The Guardians,2017,0,Russia,Action,Unrated,89,2018-05-04,Russian,3.9,0.0,0.0,0.0,,
87,Guardians of the Galaxy,2014,4088,USA,Action,Rated,121,2014-08-01,English,8.1,333176600.0,116600.0,138900.0,603.0,182800.0
88,Guardians of the Galaxy Vol. 2,2017,4347,USA,Action,Rated,136,2017-05-05,English,7.8,389813101.0,116600.0,138900.0,1036.0,182800.0
89,Güeros,2014,5,Mexico,Comedy,Unrated,106,2015-05-20,Spanish,7.5,60114.0,0.0,0.0,509.0,
90,Guest of Cindy Sherman,2008,1,USA,Documentary,Rated,88,2009-03-27,English,6.5,27052.0,0.0,0.0,337.0,
91,Guidance,2014,2,Canada,Comedy,Unrated,81,2015-08-21,English,6.3,4900.0,0.0,0.0,695.0,
92,The Guillotines,2012,10,China,Action,Rated,112,2013-06-14,Mandarin,4.8,5290.0,0.0,0.0,1044.0,
93,The Guilt Trip,2012,2431,USA,Comedy,Rated,95,2012-12-19,English,5.8,37134215.0,77350.0,88300.0,713.0,75600.0
94,Gulliver's Travels,2010,3089,USA,Adventure,Rated,85,2010-12-25,English,4.9,42779261.0,56800.0,67400.0,729.0,120500.0
95,Gun Hill Road,2011,10,USA,Drama,Rated,86,2011-08-05,English,6.6,148994.0,0.0,0.0,867.0,
96,Gunday,2014,159,India,Action,Unrated,152,2014-02-14,Hindi,2.1,0.0,0.0,0.0,1393.0,
97,The Gunman,2015,2816,USA,Action,Rated,115,2015-03-20,English,5.8,10664749.0,32350.0,42500.0,454.0,45200.0
98,Gunnin' for That #1 Spot,2008,14,USA,Documentary,Rated,90,2008-06-27,English,6.4,50804.0,0.0,0.0,0.0,
99,Guru,2007,76,India,Biography,Rated,166,2007-01-12,Hindi,7.8,2096000.0,0.0,0.0,1024.0,
100,Gurukulam,2014,11,Canada,Documentary,Rated,108,2016-06-03,English,7.4,25651.0,0.0,0.0,0.0,
101,Guy and Madeline on a Park Bench,2009,5,USA,Drama,Rated,82,2010-11-05,English,6.1,35556.0,0.0,0.0,196.0,54700.0
102,Guzaarish,2010,108,India,Comedy,Rated,126,2010-11-19,Hindi,7.5,1017335.0,0.0,0.0,1004.0,
103,The Wolf of Wall Street,2013,2557,USA,Biography,Rated,180,2013-12-25,English,8.2,116900694.0,91233.33333333331,100700.0,885.0,42800.0
104,Wolf Totem,2015,5,China,Adventure,Rated,121,2015-09-11,Mandarin,6.7,210591.0,0.0,0.0,796.0,21000.0
105,The Wolfman,2010,3223,USA,Drama,Rated,103,2010-02-12,English,5.8,61979680.0,41000.0,41000.0,1045.0,90100.0
106,The Wolfpack,2015,94,USA,Documentary,Rated,90,2015-06-12,English,7.0,1301696.0,0.0,0.0,912.0,
107,The Wolverine,2013,3924,USA,Action,Rated,126,2013-07-26,English,6.7,132556852.0,96700.0,96700.0,728.0,78200.0
