,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Language,imdbRating,Total Gross,Actorinfluenceaverage,Actorinfluencemax,googletrends,Average Gross for each movie
1253,Little Accidents,2014,17,USA,Drama,Unrated,105,2015-01-16,English,5.8,10071.0,67500.0,78100.0,701.0,
1254,Little Ashes,2008,16,UK,Biography,Rated,112,2009-05-08,English,6.6,481586.0,116300.0,116300.0,1599.0,
1255,The Little Bedroom,2010,3,Switzerland,Drama,Rated,87,2014-09-26,French,6.9,7440.0,0.0,0.0,0.0,
1256,Little Birds,2011,2,USA,Drama,Rated,94,2012-08-29,English,6.2,17739.0,26050.0,27900.0,374.0,
1257,A Little Bit of Heaven,2011,11,USA,Comedy,Rated,106,2012-05-04,English,6.3,15375.0,40100.0,49600.0,2057.0,
1258,Little Boy,2015,1045,Mexico,Drama,Rated,106,2015-04-24,English,7.4,6485961.0,106900.0,106900.0,415.0,7300.0
1259,A Little Chaos,2014,87,UK,Drama,Rated,112,2015-06-26,English,6.5,558173.0,66100.0,66100.0,860.0,558.0
1260,The Little Death,2014,4,Australia,Comedy,Unrated,96,2015-06-26,English,7.1,18238.0,0.0,0.0,1438.0,
1261,Little England,2013,1,Greece,Drama,Unrated,132,2015-05-17,Greek,7.9,12077.0,0.0,0.0,294.0,
1262,Little Fockers,2010,3675,USA,Comedy,Rated,98,2010-12-22,English,5.5,148438600.0,71050.0,74500.0,1033.0,44900.0
1263,A Little Help,2010,24,USA,Comedy,Rated,109,2011-07-22,English,5.7,96868.0,21100.0,21100.0,759.0,
1264,The Little Hours,2017,114,Canada,Comedy,Rated,90,2017-06-30,English,5.9,1647175.0,90300.0,90300.0,1329.0,
1265,The Little Prince,2015,163,France,Animation,Rated,108,2016-02-12,English,7.8,1339152.0,50650.0,67700.0,1798.0,
1266,The Little Traitor,2007,5,Israel,Drama,Rated,88,2009-10-23,Hebrew,7.0,402088.0,28600.0,28600.0,100.0,
1267,Little White Lies,2010,14,France,Comedy,Unrated,154,2012-08-24,French,7.1,206088.0,59200.0,59200.0,828.0,
1268,Littlerock,2010,3,USA,Drama,Unrated,83,2011-08-12,English,6.3,17309.0,0.0,0.0,522.0,
1269,Liv & Ingmar,2012,2,Norway,Documentary,Unrated,89,2013-12-13,English,7.4,10347.0,0.0,0.0,0.0,
1270,Live Another Day,2015,0,USA,Documentary,Rated,12,2016-09-16,English,7.2,0.0,0.0,0.0,518.0,
1271,Live by Night,2016,2822,USA,Action,Rated,129,2016-12-25,English,6.4,10378555.0,49150.0,60200.0,1173.0,64700.0
1272,"Live Fast, Die Young",2008,1,USA,Drama,Rated,101,2008-10-24,English,8.2,18335.0,0.0,0.0,0.0,
1273,Live Free or Die Hard,2007,3411,USA,Action,Rated,128,2007-06-27,English,7.2,134529403.0,42933.333333333336,53200.0,1348.0,76900.0
1274,Live from New York!,2015,25,USA,Documentary,Unrated,90,2015-06-12,English,6.8,0.0,46000.0,46000.0,0.0,
1275,The Living,2014,4,USA,Crime,Rated,89,2015-04-03,English,6.2,5514.0,16100.000000000002,16100.000000000002,1496.0,
1276,Living in Emergency,2008,7,USA,Documentary,Unrated,120,2010-06-04,English,8.5,32208.0,0.0,0.0,153.0,
1277,Living Is Easy with Eyes Closed,2013,1,Spain,Comedy,Unrated,108,2014-06-27,Spanish,7.1,11600.0,0.0,0.0,195.0,
1278,The Living Wake,2007,1,USA,Comedy,Rated,91,2010-05-14,English,6.4,12232.0,0.0,0.0,100.0,
1279,In a Better World,2010,51,Denmark,Drama,Rated,119,2011-04-01,Danish,7.7,1008098.0,0.0,0.0,1118.0,
1280,In a Dream,2008,4,USA,Documentary,Rated,80,2009-04-10,English,7.9,54640.0,0.0,0.0,270.0,
1281,In a Valley of Violence,2016,33,USA,Action,Rated,104,2016-10-21,English,6.0,53647.0,35500.0,53300.0,450.0,58.1
1282,In a World...,2013,144,USA,Comedy,Rated,93,2013-08-09,English,6.7,2963902.0,36500.0,36500.0,149.0,1600.0
1283,In Another Country,2012,6,South Korea,Drama,Unrated,89,2012-11-09,Korean,6.4,25079.0,0.0,0.0,277.0,
1284,In Between,2016,0,Israel,Drama,Rated,103,2018-01-05,Hebrew,7.5,0.0,0.0,0.0,1490.0,
1285,In Bloom,2013,4,Georgia,Drama,Unrated,102,2014-01-10,Georgian,7.7,56092.0,0.0,0.0,956.0,
1286,In Bruges,2008,232,UK,Comedy,Rated,107,2008-02-08,English,7.9,7800824.0,0.0,0.0,787.0,
1287,In Darkness,2011,52,Poland,Drama,Rated,145,2012-02-10,Polish,7.3,1041455.0,0.0,0.0,981.0,
1288,In Harmony,2013,2,USA,Short,Rated,21,2016-04-15,English,,3144.0,0.0,0.0,0.0,
1289,In Jackson Heights,2015,8,France,Documentary,Rated,190,2015-11-04,English,7.2,121094.0,0.0,0.0,670.0,
1290,In My Father's House,2015,0,USA,Documentary,Rated,93,2015-10-09,English,6.8,0.0,0.0,0.0,0.0,
1291,In My Sleep,2010,2,USA,Drama,Rated,104,2010-04-23,English,5.5,30158.0,0.0,0.0,449.0,
1292,In No Great Hurry: 13 Lessons in Life with Saul Leiter,2014,4,UK,Documentary,Rated,75,2014-01-03,English,7.5,12133.0,0.0,0.0,0.0,
1293,In Order of Disappearance,2014,10,Norway,Comedy,Rated,116,2016-08-26,Norwegian,7.2,50251.0,0.0,0.0,197.0,
1294,In Our Hands: The Battle for Jerusalem,2017,733,USA,Documentary,Unrated,109,2017-05-23,English,6.5,2534370.0,0.0,0.0,373.0,
1295,In Our Nature,2012,1,USA,Drama,Unrated,103,2012-12-07,English,5.7,6543.0,61000.0,64599.99999999999,1164.0,
1296,In Over My Head,2012,1,USA,Comedy,Unrated,106,2012-10-26,English,5.6,19482.0,0.0,0.0,0.0,
1297,In Pursuit of Silence,2015,2,USA,Documentary,Rated,81,2017-06-23,English,7.5,29834.0,0.0,0.0,381.0,
1298,In Search of a Midnight Kiss,2007,11,USA,Comedy,Rated,90,2008-08-01,English,7.3,172605.0,0.0,0.0,692.0,
1299,In Search of Fellini,2017,3,USA,Adventure,Rated,93,2017-09-15,English,6.8,10796.0,32900.0,32900.0,537.0,
1300,In Secret,2013,266,USA,Crime,Rated,107,2014-02-21,English,6.1,444179.0,77150.0,79200.0,692.0,
1301,In the Basement,2014,1,Austria,Documentary,Rated,81,2015-11-06,German,6.7,3643.0,0.0,0.0,795.0,
1302,In the Family,2011,5,USA,Drama,Unrated,169,2011-11-04,English,7.3,101934.0,0.0,0.0,1263.0,
1303,In the Fog,2012,3,Germany,Drama,Unrated,127,2013-06-14,Russian,6.9,11894.0,0.0,0.0,0.0,
1304,In the Heart of the Sea,2015,3103,USA,Action,Rated,122,2015-12-11,English,6.9,25020758.0,89700.0,129400.0,787.0,79000.0
1305,In the House,2012,36,France,Comedy,Rated,105,2013-04-19,French,7.4,389757.0,0.0,0.0,2153.0,
1306,In the House of Flies,2012,4,Canada,Thriller,Rated,89,2014-05-09,English,4.7,9480.0,0.0,0.0,0.0,
1307,In the Land of Blood and Honey,2011,18,USA,Drama,Rated,127,2011-12-23,Bosnian,4.4,303877.0,0.0,0.0,1376.0,38800.0
1308,In the Land of Women,2007,2155,USA,Comedy,Rated,97,2007-04-20,English,6.5,11052958.0,21200.0,21200.0,931.0,
1309,In the Loop,2009,92,UK,Comedy,Unrated,106,2009-07-24,English,7.5,2388804.0,0.0,0.0,703.0,
1310,In the Name of,2013,1,Poland,Drama,Unrated,102,2013-10-30,Polish,6.4,9883.0,0.0,0.0,1440.0,
1311,In the Name of My Daughter,2014,50,France,Crime,Rated,116,2015-05-15,French,6.1,277528.0,0.0,0.0,196.0,
1312,In the Name of the King: A Dungeon Siege Tale,2007,1632,Germany,Action,Rated,127,2008-01-11,English,3.8,4775656.0,47200.0,47200.0,0.0,5700.0
1313,In the Shadow of the Moon,2007,104,UK,Documentary,Rated,100,2007-09-07,English,8.1,1134358.0,0.0,0.0,375.0,
1314,In the Shadow of Women,2015,4,France,Drama,Unrated,73,2016-01-15,French,6.4,50291.0,0.0,0.0,274.0,
1315,In the Valley of Elah,2007,978,USA,Crime,Rated,121,2007-09-14,English,7.2,6777741.0,52200.0,58500.0,742.0,20900.0
1316,In This Corner of the World,2016,20,Japan,Animation,Rated,130,2017-08-11,Japanese,8.0,172147.0,0.0,0.0,549.0,
1317,In Time,2011,3127,USA,Action,Rated,109,2011-10-28,English,6.7,37520095.0,37550.0,47900.0,871.0,18500.0
1318,In/Significant Others,2009,1,USA,Drama,Rated,0,2010-05-14,English,5.9,3763.0,0.0,0.0,100.0,
1319,InAPPropriate Comedy,2013,275,USA,Comedy,Rated,83,2013-03-22,English,2.9,228004.0,88650.0,124600.0,1249.0,
1320,The Inbetweeners Movie,2011,10,UK,Comedy,Rated,97,2012-09-07,English,6.8,36000.0,0.0,0.0,1120.0,
1321,Incarnate,2016,1737,USA,Horror,Rated,91,2016-12-02,English,5.2,4799774.0,46800.0,46800.0,322.0,76900.0
1322,Incendiary,2008,3,UK,Drama,Rated,96,2011-09-23,English,5.9,22457.0,39850.0,54000.0,284.0,31900.0
1323,Inception,2010,3792,USA,Action,Rated,148,2010-07-16,English,8.8,292576195.0,64266.66666666666,100700.0,515.0,182300.0
1324,An Inconsistent Truth,2012,3,USA,Documentary,Rated,89,2012-01-27,English,6.3,69394.0,0.0,0.0,0.0,
1325,An Inconvenient Sequel: Truth to Power,2017,556,USA,Documentary,Rated,98,2017-07-28,English,5.6,3496795.0,0.0,0.0,225.0,
1326,The Incredible Burt Wonderstone,2013,3160,USA,Adventure,Rated,100,2013-03-15,English,5.9,22537881.0,60900.0,94600.0,671.0,22500.0
1327,The Incredible Hulk,2008,3508,USA,Action,Rated,112,2008-06-13,English,6.8,134806913.0,55050.0,67200.0,1017.0,81700.0
1328,Independence Day: Resurgence,2016,4130,USA,Action,Rated,120,2016-06-24,English,5.3,103144286.0,114550.0,162900.0,605.0,107700.0
1329,Indian Point,2015,2,Japan,Documentary,Rated,94,2016-07-08,English,6.7,7251.0,0.0,0.0,702.0,
1330,Indiana Jones and the Kingdom of the Crystal Skull,2008,4264,USA,Action,Rated,122,2008-05-22,English,6.2,317101119.0,92950.0,118000.0,1144.0,139200.0
1331,Indignation,2016,317,USA,Drama,Rated,110,2016-07-29,English,6.8,3401155.0,0.0,0.0,1406.0,
1332,Indigo Children,2012,1,USA,Drama,Rated,72,2014-01-17,English,8.1,2621.0,0.0,0.0,188.0,
1333,Inequality for All,2013,103,USA,Documentary,Rated,89,2013-09-27,English,8.1,1205273.0,22600.0,22600.0,654.0,
1334,Inescapable,2012,7,Canada,Action,Rated,93,2013-02-22,English,5.2,6334.0,46100.0,46100.0,512.0,
1335,Inferno,2016,3576,USA,Action,Rated,121,2016-10-28,English,6.2,34343574.0,98066.66666666669,153500.0,967.0,79000.0
1336,The Infiltrator,2016,1601,UK,Biography,Rated,127,2016-07-13,English,7.0,15436808.0,62100.0,62100.0,889.0,30900.0
1337,Infinitely Polar Bear,2014,110,USA,Comedy,Rated,90,2015-06-19,English,7.0,1430655.0,75150.0,94300.0,711.0,
1338,Infliction,2014,2,USA,Horror,Unrated,100,2014-03-16,English,6.9,2256.0,0.0,0.0,0.0,
1339,The Informant,2013,4,France,Crime,Rated,116,2013-09-13,French,6.3,10068.0,0.0,0.0,556.0,
1340,The Informant!,2009,2505,USA,Comedy,Rated,108,2009-09-18,English,6.5,33316821.0,77100.0,77100.0,0.0,39500.0
1341,The Informers,2008,482,Germany,Crime,Rated,98,2009-04-24,English,5.1,300000.0,30200.0,30200.0,1419.0,
1342,Inglourious Basterds,2009,3358,USA,Adventure,Rated,153,2009-08-21,English,8.3,120540719.0,69700.0,74600.0,642.0,72100.0
1343,Ingrid Bergman: In Her Own Words,2015,13,Sweden,Documentary,Unrated,114,2015-11-13,Swedish,7.4,138148.0,25800.0,25800.0,177.0,
1344,Ingrid Goes West,2017,647,USA,Comedy,Rated,98,2017-08-11,English,7.3,3024308.0,44400.0,75100.0,920.0,
1345,Inhale,2010,2,USA,Drama,Rated,83,2010-10-22,English,6.6,4115.0,0.0,0.0,1197.0,
1346,Inherent Vice,2014,653,USA,Comedy,Rated,148,2014-12-12,English,6.7,8110975.0,60750.0,84000.0,746.0,16600.0
1347,Inkheart,2008,2655,Germany,Adventure,Rated,106,2009-01-23,English,6.1,17303424.0,38100.0,38100.0,1324.0,23200.0
1348,Inkubus,2011,16,USA,Horror,Rated,80,2011-10-28,English,3.9,81600.0,0.0,0.0,824.0,
1349,The Inner Life of Martin Frost,2007,1,Spain,Comedy,Rated,94,2007-09-07,English,5.1,5114.0,0.0,0.0,0.0,
1350,Inni,2011,7,Iceland,Documentary,Rated,74,2011-10-28,English,7.9,123482.0,0.0,0.0,0.0,
1351,The Innkeepers,2011,25,USA,Horror,Rated,101,2012-02-03,English,5.5,78396.0,0.0,0.0,1290.0,58.1
1352,The Insanity of God,2016,531,USA,Documentary,Rated,0,2016-08-30,English,8.1,1102525.0,0.0,0.0,347.0,
1353,Inside Job,2010,250,USA,Documentary,Rated,105,2010-10-08,English,8.3,4312735.0,77100.0,77100.0,0.0,1900.0
1354,Inside Llewyn Davis,2013,729,USA,Drama,Rated,104,2013-12-06,English,7.5,13235319.0,52066.66666666666,79200.0,1263.0,50300.0
1355,Inside Out,2015,4158,USA,Animation,Rated,95,2015-06-19,English,8.2,356461711.0,0.0,0.0,598.0,313100.0
1356,Insidious,2010,2419,USA,Horror,Rated,103,2011-04-01,English,6.8,54009150.0,48700.0,58200.0,606.0,101600.0
1357,Insidious: Chapter 2,2013,3155,USA,Horror,Rated,106,2013-09-13,English,6.6,83586447.0,48700.0,58200.0,536.0,101600.0
1358,Insidious: Chapter 3,2015,3014,Canada,Horror,Rated,97,2015-06-05,English,6.1,52218558.0,0.0,0.0,605.0,52200.0
1359,InSight,2011,22,USA,Drama,Rated,92,2011-09-02,English,5.0,11100.0,0.0,0.0,0.0,
1360,Inspector Bellamy,2009,4,France,Crime,Rated,110,2010-10-29,French,5.9,107612.0,0.0,0.0,100.0,
1361,InSpectres,2013,1,USA,Comedy,Rated,85,2013-09-05,English,6.5,2207.0,0.0,0.0,0.0,
1362,The Institute,2017,4,USA,Thriller,Rated,90,2013-10-04,English,4.0,8445.0,55200.0,55200.0,702.0,3900.0
1363,Instructions Not Included,2013,978,Mexico,Comedy,Rated,122,2013-08-30,Spanish,7.6,44467206.0,37400.0,37400.0,576.0,
1364,Interior. Leather Bar.,2013,2,USA,Documentary,Unrated,60,2014-01-03,English,5.1,42534.0,0.0,0.0,319.0,3900.0
1365,The Intern,2015,3320,USA,Comedy,Rated,121,2015-09-25,English,7.1,75764672.0,81200.0,93100.0,470.0,104300.0
1366,The International,2009,2364,USA,Action,Rated,118,2009-02-13,English,6.5,25450527.0,23000.0,25000.0,660.0,8500.0
1367,The Internet's Own Boy: The Story of Aaron Swartz,2014,12,USA,Documentary,Rated,105,2014-06-27,English,8.1,48911.0,0.0,0.0,0.0,
1368,The Internship,2013,3399,USA,Comedy,Rated,119,2013-06-07,English,6.3,44672764.0,58933.33333333334,67600.0,562.0,102800.0
1369,The Interrupters,2011,10,USA,Documentary,Unrated,125,2011-07-29,English,7.5,282448.0,0.0,0.0,450.0,
1370,Interstellar,2014,3561,USA,Adventure,Rated,169,2014-11-05,English,8.6,188020017.0,50700.0,50700.0,812.0,182300.0
1371,The Intervention,2016,17,USA,Comedy,Rated,90,2016-08-26,English,6.1,32919.0,0.0,0.0,297.0,
1372,Interview,2007,121,USA,Drama,Rated,84,2007-07-13,English,6.8,416951.0,0.0,0.0,1587.0,
1373,Into Eternity: A Film for the Future,2010,6,Denmark,Documentary,Rated,75,2011-02-02,English,7.5,55366.0,0.0,0.0,0.0,
1374,Into the Abyss,2011,30,USA,Documentary,Rated,107,2011-11-11,English,7.3,223880.0,20100.0,20100.0,1261.0,1800.0
1375,Into the Forest,2015,15,Canada,Drama,Rated,101,2016-07-29,English,5.9,9995.0,45700.0,45700.0,612.0,
1376,Into the Storm,2014,3434,USA,Action,Rated,89,2014-08-08,English,5.8,47602194.0,0.0,0.0,626.0,33100.0
1377,Into the White,2012,1,Norway,Action,Rated,104,2013-04-12,English,7.2,704.0,0.0,0.0,1782.0,
1378,Into the Wild,2007,660,USA,Adventure,Rated,148,2007-09-21,English,8.1,18354356.0,45400.0,45400.0,618.0,9600.0
1379,Into the Woods,2014,2833,USA,Adventure,Rated,125,2014-12-25,English,6.0,128002372.0,43900.0,43900.0,528.0,123400.0
1380,Introducing the Dwights,2007,70,Australia,Comedy,Rated,105,2007-07-04,English,6.5,379408.0,0.0,0.0,487.0,
1381,Intruders,2011,33,USA,Fantasy,Rated,100,2012-03-30,English,5.4,69136.0,21000.0,21000.0,756.0,9700.0
1382,The Invasion,2007,2776,USA,Sci-Fi,Rated,99,2007-08-17,English,5.9,15074191.0,50150.0,63500.0,1158.0,
1383,Inventing Our Life: The Kibbutz Experiment,2010,3,USA,Documentary,Unrated,79,2012-04-27,English,5.7,16734.0,0.0,0.0,0.0,
1384,The Invention of Lying,2009,1743,USA,Comedy,Rated,100,2009-10-02,English,6.4,18451251.0,70766.66666666669,90300.0,652.0,18500.0
1385,The Investigator,2008,11,Hungary,Comedy,Rated,107,2013-09-13,Hungarian,7.6,103739.0,0.0,0.0,356.0,
1386,Invictus,2009,2170,USA,Biography,Rated,134,2009-12-11,English,7.4,37491364.0,74950.0,77100.0,684.0,53400.0
1387,The Invisible,2007,2019,USA,Crime,Rated,102,2007-04-27,English,6.3,20578909.0,0.0,0.0,1094.0,38600.0
1388,An Invisible Sign,2010,1,USA,Comedy,Rated,96,2011-05-06,English,5.4,1279.0,26000.0,39700.0,945.0,
1389,The Invisible War,2012,19,USA,Documentary,Unrated,93,2012-06-22,English,7.6,71968.0,0.0,0.0,980.0,166.0
1390,The Invisible Woman,2013,153,UK,Biography,Rated,111,2013-12-25,English,6.1,1234254.0,44500.0,44500.0,0.0,996.0
1391,The Invitation,2015,31,USA,Drama,Unrated,100,2016-04-08,English,6.7,231737.0,0.0,0.0,356.0,11000.0
1392,Ho Mann Jahaan,2015,23,Pakistan,Drama,Rated,170,2016-01-01,Urdu,7.5,208611.0,0.0,0.0,1072.0,
1393,The Hobbit: An Unexpected Journey,2012,4100,USA,Adventure,Rated,169,2012-12-14,English,7.9,303003568.0,112100.0,114200.0,804.0,177900.0
1394,The Hobbit: The Battle of the Five Armies,2014,3875,New Zealand,Adventure,Rated,144,2014-12-17,English,7.4,255119788.0,112100.0,114200.0,1462.0,177900.0
1395,The Hobbit: The Desolation of Smaug,2013,3928,USA,Adventure,Rated,161,2013-12-13,English,7.9,258366855.0,112100.0,114200.0,918.0,177900.0
1396,Hobo with a Shotgun,2011,21,Canada,Action,Unrated,86,2011-05-06,English,6.1,703372.0,10600.0,10600.0,1078.0,
1397,Hockney,2014,10,UK,Documentary,Rated,112,2016-04-22,English,6.6,120745.0,0.0,0.0,197.0,
1398,Holding Trevor,2007,2,USA,Drama,Rated,88,2008-07-04,English,5.2,16814.0,0.0,0.0,0.0,
1399,Holidays,2016,0,USA,Horror,Unrated,105,2016-04-22,English,5.1,0.0,48100.0,48100.0,733.0,
1400,Holla II,2013,6,USA,Comedy,Rated,90,2013-04-19,English,6.9,41537.0,0.0,0.0,279.0,
1401,The Hollars,2016,298,USA,Comedy,Rated,88,2016-08-26,English,6.5,1016985.0,57300.0,57300.0,658.0,525.0
1402,Hollidaysburg,2014,1,USA,Comedy,Unrated,88,2014-09-19,English,5.7,3861.0,0.0,0.0,743.0,
1403,Hollow in the Land,2016,0,Canada,Drama,Rated,92,2017-12-08,English,,0.0,26300.0,26300.0,169.0,
1404,The Hollow Point,2016,0,USA,Crime,Rated,97,2016-12-16,English,5.4,0.0,39200.0,39200.0,309.0,
1405,Holmes & Watson. Madrid Days,2012,0,Spain,Drama,Rated,129,2018-11-09,Spanish,4.3,0.0,0.0,0.0,,
1406,A Hologram for the King,2016,523,UK,Comedy,Rated,98,2016-04-22,English,6.1,4212494.0,96200.0,96200.0,558.0,8500.0
1407,Holy Hell,2016,3,USA,Documentary,Unrated,100,2016-05-27,English,7.1,18051.0,0.0,0.0,0.0,
1408,Holy Motors,2012,29,France,Drama,Unrated,115,2012-10-17,French,7.1,641100.0,46000.0,46000.0,1183.0,
1409,Holy Rollers,2010,20,USA,Biography,Rated,89,2010-05-21,English,5.9,303064.0,69900.0,94500.0,1264.0,
1410,Home Again,2017,3036,USA,Comedy,Rated,97,2017-09-08,English,5.7,27020284.0,47433.33333333334,57300.0,467.0,
1411,Home Run,2013,381,USA,Drama,Rated,113,2013-04-19,English,6.0,2861020.0,0.0,0.0,790.0,
1412,Home Run Showdown,2015,1,USA,Family,Unrated,94,2012-07-27,English,4.9,8824.0,28700.0,28700.0,0.0,
1413,Home Sweet Hell,2015,0,USA,Comedy,Rated,98,2015-03-13,English,5.4,0.0,41400.0,43600.0,1243.0,
1414,Homefront,2013,2570,USA,Action,Rated,100,2013-11-27,English,6.5,20158898.0,51200.0,55200.0,962.0,
1415,The Homeless Billionaire,2016,1,USA,Comedy,Rated,88,2016-06-17,English,,39493.0,0.0,0.0,0.0,
1416,The Homesman,2014,222,USA,Drama,Rated,122,2014-11-14,English,6.6,2429989.0,42450.0,58500.0,1054.0,3700.0
1417,An Honest Liar,2014,15,USA,Documentary,Unrated,90,2015-03-06,English,7.5,180590.0,0.0,0.0,633.0,
1418,Honeydripper,2007,26,USA,Crime,Rated,124,2007-12-28,English,6.8,267880.0,36400.0,36400.0,100.0,
1419,Honeymoon,2014,3,USA,Horror,Rated,87,2014-09-12,English,5.7,9318.0,0.0,0.0,945.0,
1420,Hoodwinked Too! Hood vs. Evil,2011,2505,USA,Animation,Rated,86,2011-04-29,English,4.8,10143779.0,35350.0,42500.0,0.0,
1421,Hooligan Sparrow,2016,4,China,Documentary,Unrated,84,2016-07-22,Mandarin,7.3,9263.0,0.0,0.0,187.0,
1422,Hop,2011,3616,USA,Animation,Rated,95,2011-04-01,English,5.5,108085305.0,80333.33333333331,118700.0,740.0,77600.0
1423,Hope Springs,2012,2441,USA,Comedy,Rated,100,2012-08-08,English,6.3,63536011.0,63866.66666666666,94600.0,617.0,53600.0
1424,The Hornet's Nest,2014,57,Afghanistan,Documentary,Rated,93,2014-05-09,English,6.5,312706.0,0.0,0.0,1272.0,
1425,Horns,2013,103,USA,Drama,Rated,120,2014-10-31,English,6.5,173948.0,155000.0,155000.0,1188.0,
1426,Horrible Bosses,2011,3134,USA,Comedy,Rated,98,2011-07-08,English,6.9,117538559.0,50100.0,61000.0,602.0,86200.0
1427,Horrible Bosses 2,2014,3400,USA,Comedy,Rated,108,2014-11-26,English,6.3,54445357.0,63666.66666666666,80200.0,0.0,58900.0
1428,The Horse Boy,2009,5,USA,Documentary,Unrated,93,2009-09-30,English,7.4,156612.0,0.0,0.0,537.0,
1429,Horse Money,2014,1,Portugal,Drama,Unrated,103,2015-07-24,Portuguese,7.1,6508.0,0.0,0.0,503.0,
1430,Horses of God,2012,2,France,Drama,Unrated,115,2014-05-14,Arabic,7.3,14817.0,0.0,0.0,450.0,
1431,The Host,2013,116,USA,Action,Rated,125,2007-03-09,English,5.9,2201923.0,0.0,0.0,1067.0,18500.0
1432,Hostel: Part II,2007,2350,USA,Horror,Rated,94,2007-06-08,English,5.5,17609452.0,0.0,0.0,414.0,18700.0
1433,Hostiles,2017,0,USA,Adventure,Rated,127,2017-12-22,English,8.8,0.0,48550.0,59900.0,622.0,28500.0
1434,Hot Fuzz,2007,1272,UK,Action,Rated,121,2007-04-20,English,7.9,23637265.0,120500.0,131000.0,981.0,40500.0
1435,Hot Pursuit,2015,3037,USA,Action,Rated,87,2015-05-08,English,5.1,34580201.0,48500.0,48500.0,497.0,75600.0
1436,Hot Rod,2007,2607,USA,Comedy,Rated,88,2007-08-03,English,6.7,13938332.0,70450.0,82700.0,1057.0,19600.0
1437,Hot Sugar's Cold World,2015,0,USA,Documentary,Rated,87,2015-11-13,English,7.0,0.0,0.0,0.0,0.0,
1438,Hot Tub Time Machine,2010,2771,USA,Comedy,Rated,101,2010-03-26,English,6.4,50287556.0,38000.0,51900.0,773.0,36900.0
1439,Hot Tub Time Machine 2,2015,2901,USA,Comedy,Rated,93,2015-02-20,English,5.1,12314651.0,51900.0,51900.0,678.0,36900.0
1440,Hotel for Dogs,2009,3271,Germany,Comedy,Rated,100,2009-01-16,English,5.4,73034460.0,56200.0,84900.0,1381.0,68500.0
1441,Hôtel Normandy,2013,1,France,Comedy,Rated,97,2013-09-27,French,4.6,4640.0,0.0,0.0,0.0,
1442,Hotel Transylvania,2012,3375,USA,Animation,Rated,91,2012-09-28,English,7.1,148313048.0,65800.0,83200.0,687.0,
1443,Hotel Transylvania 2,2015,3768,USA,Animation,Rated,89,2015-09-25,English,6.7,169700110.0,65800.0,83200.0,774.0,
1444,The Hottie & the Nottie,2008,111,USA,Comedy,Rated,91,2008-02-08,English,1.9,27696.0,65400.00000000001,65400.00000000001,100.0,
1445,Hounddog,2007,11,USA,Drama,Rated,102,2008-09-19,English,6.3,131961.0,61200.0,61200.0,790.0,
1446,The House,2017,3134,USA,Comedy,Rated,88,2017-06-30,English,5.6,25584504.0,68500.0,68500.0,764.0,
1447,House at the End of the Street,2012,3083,Canada,Drama,Rated,101,2012-09-21,English,5.6,31611916.0,78400.0,130900.0,719.0,31600.0
1448,The House Bunny,2008,2763,USA,Comedy,Rated,97,2008-08-22,English,5.5,48237389.0,75450.0,82000.0,1025.0,27400.0
1449,The House I Live In,2012,12,Netherlands,Documentary,Unrated,108,2012-10-05,English,7.9,210752.0,0.0,0.0,621.0,
1450,The House of the Devil,2009,7,USA,Horror,Rated,95,2009-10-30,English,6.4,101215.0,0.0,0.0,959.0,58.1
1451,Housefull,2010,82,India,Comedy,Rated,144,2010-04-30,Hindi,5.4,1183658.0,0.0,0.0,840.0,
1452,Housefull 2,2012,121,India,Action,Unrated,145,2012-04-06,Hindi,5.4,1791780.0,0.0,0.0,672.0,
1453,Housefull 3,2016,145,India,Action,Rated,140,2016-06-03,Hindi,5.2,1326999.0,0.0,0.0,971.0,
1454,The Housemaid,2010,12,South Korea,Drama,Unrated,106,2011-01-21,Korean,6.5,157961.0,0.0,0.0,791.0,
1455,How About You...,2007,7,Ireland,Comedy,Unrated,87,2008-11-14,English,6.9,78234.0,0.0,0.0,0.0,
1456,How Do You Know,2010,2483,USA,Comedy,Rated,121,2010-12-17,English,5.4,30212620.0,57166.66666666666,67600.0,846.0,65300.0
1457,How He Fell in Love,2015,10,USA,Drama,Rated,107,2016-07-08,English,6.4,17575.0,0.0,0.0,697.0,
1458,How I Ended This Summer,2010,1,Russia,Drama,Unrated,130,2011-02-04,Russian,7.0,8733.0,0.0,0.0,387.0,
1459,How I Live Now,2013,68,UK,Drama,Rated,101,2013-11-08,English,6.5,60213.0,68650.0,116500.0,1049.0,9100.0
1460,"How Much Does Your Building Weigh, Mr Foster?",2010,4,UK,Documentary,Unrated,78,2012-01-25,English,7.1,13013.0,0.0,0.0,0.0,
1461,How She Move,2007,1531,Canada,Drama,Rated,94,2008-01-25,English,3.3,7070641.0,0.0,0.0,669.0,
1462,How to Be a Latin Lover,2017,1203,USA,Comedy,Rated,115,2017-04-28,English,5.9,32149404.0,43550.0,49700.0,447.0,
1463,How to Be a Serial Killer,2008,1,USA,Comedy,Rated,91,2009-07-24,English,5.6,899.0,0.0,0.0,165.0,
1464,How to Be Single,2016,3357,USA,Comedy,Rated,110,2016-02-12,English,6.1,46843513.0,62850.0,66700.0,679.0,
1465,How to Cook Your Life,2007,7,Germany,Documentary,Rated,94,2007-10-26,English,6.0,87370.0,0.0,0.0,0.0,
