,Title,Theaters,Country,Genre,Rated,Runtime,Open,Director,Language,imdbRating,Total Gross,last year_totalgross,genre_gross,count_num,googletrends,Actorinfluenceave,Total Gross(Million),Movie involved,Average Gross for each movie
33,Sherlock Holmes: A Game of Shadows,3703,USA,Action,Rated,129,2011-12-16,Guy Ritchie,English,7.5,186848418.0,10589599184.0,1491832495.0,25,926.0,40850.0,521000.0,9.0,57900.0
34,King of California,28,USA,Comedy,Rated,93,2007-09-14,Mike Cahill,English,6.7,268461.0,9190502983.0,1955138318.0,26,392.0,49400.0,1300.0,1.0,1300.0
35,Another Earth,94,USA,Drama,Rated,92,2011-07-22,Mike Cahill,English,7.0,1321194.0,10589599184.0,1687447132.0,36,928.0,2500.0,1300.0,1.0,1300.0
36,The King of Kong: A Fistful of Quarters,58,USA,Documentary,Rated,79,2007-08-17,Seth Gordon,English,8.2,677914.0,9190502983.0,102279769.0,26,0.0,0.0,430900.0,5.0,86200.0
37,Horrible Bosses,3134,USA,Comedy,Rated,98,2011-07-08,Seth Gordon,English,6.9,117538559.0,10589599184.0,1376087969.0,36,602.0,50100.0,430900.0,5.0,86200.0
38,Identity Thief,3230,USA,Comedy,Rated,111,2013-02-08,Seth Gordon,English,5.7,134506920.0,11041914748.0,1050654625.0,24,693.0,78300.0,430900.0,5.0,86200.0
39,Four Christmases,3540,Germany,Comedy,Rated,88,2008-11-26,Seth Gordon,English,5.6,120146040.0,9767268194.0,1427703732.0,22,716.0,44166.66666666666,430900.0,5.0,86200.0
40,The King's Speech,2584,UK,Biography,Rated,118,2010-11-26,Tom Hooper,English,8.0,1354531430.0,10639535233.0,,26,458.0,57250.0,299200.0,4.0,74800.0
41,The Kingdom,2836,USA,Action,Rated,110,2007-09-28,Peter Berg,English,7.1,47536778.0,9190502983.0,1007869230.0,26,1137.0,54233.33333333334,678200.0,9.0,75400.0
42,Deepwater Horizon,3403,Hong Kong,Action,Rated,107,2016-09-30,Peter Berg,English,7.2,61433527.0,11149116327.0,2953177273.0,54,518.0,65400.0,678200.0,9.0,75400.0
43,Lone Survivor,3285,USA,Action,Rated,121,2013-12-25,Peter Berg,English,7.5,125095601.0,11041914748.0,2219810902.0,27,1316.0,65650.0,678200.0,9.0,75400.0
44,The Kings of Summer,65,USA,Adventure,Rated,95,2013-05-31,Jordan Vogt-Roberts,English,7.2,1315590.0,11041914748.0,3299119819.0,44,1091.0,0.0,169400.0,2.0,84700.0
45,Kong: Skull Island,3846,China,Action,Rated,118,2017-03-10,Jordan Vogt-Roberts,English,6.7,168052812.0,11216236720.0,2297451379.0,36,520.0,75666.66666666669,169400.0,2.0,84700.0
46,The Kite Runner,715,USA,Drama,Rated,128,2007-12-14,Marc Forster,Dari,7.6,15800078.0,9190502983.0,1566075796.0,20,849.0,0.0,514500.0,9.0,57200.0
47,World War Z,3607,USA,Action,Rated,116,2013-06-21,Marc Forster,English,7.0,202359711.0,11041914748.0,2219810902.0,41,947.0,76300.0,514500.0,9.0,57200.0
48,All I See Is You,283,Thailand,Drama,Rated,110,2017-10-27,Marc Forster,English,5.3,217644.0,11216236720.0,1339173437.0,47,1320.0,44100.0,514500.0,9.0,57200.0
49,The Guard,203,Ireland,Comedy,Rated,96,2011-07-29,John Michael McDonagh,English,7.3,5360274.0,10589599184.0,1376087969.0,36,996.0,0.0,9000.0,2.0,4500.0
50,Guardians of the Galaxy,4088,USA,Action,Rated,121,2014-08-01,James Gunn,English,8.1,333176600.0,10893180888.0,2225063194.0,38,603.0,116600.0,731100.0,4.0,182800.0
51,Guardians of the Galaxy Vol. 2,4347,USA,Action,Rated,136,2017-05-05,James Gunn,English,7.8,389813101.0,11216236720.0,2297451379.0,33,1036.0,116600.0,731100.0,4.0,182800.0
52,The Guilt Trip,2431,USA,Comedy,Rated,95,2012-12-19,Anne Fletcher,English,5.8,37134215.0,10187347362.0,1490816438.0,21,713.0,77350.0,377800.0,5.0,75600.0
