,Person,Total Gross(Million),Movie involved,Average Gross for each movie,Most profitbale movie,Gross of most profitable
409,Rachel Weisz,1229200.0,35.0,35100.0,Oz The Great and Powerful,234900.0
410,Colin Firth,1226900.0,34.0,36100.0,Mamma Mia!,144100.0
411,Jesse Eisenberg,1221800.0,27.0,45300.0,Batman v Superman,330400.0
412,Irrfan Khan,1221300.0,8.0,152700.0,Jurassic World,652300.0
413,Guy Pearce,1212500.0,33.0,36700.0,Iron Man 3,409000.0
414,Albert Brooks,1208300.0,21.0,57500.0,Finding Dory,486300.0
415,Tom Wilkinson,1207200.0,44.0,27400.0,Rush Hour,141200.0
416,Ed Helms,1205900.0,13.0,92800.0,The Hangover,277300.0
417,Michael Clarke Duncan,1201700.0,21.0,57200.0,Armageddon,201600.0
418,Renee Zellweger,1197900.0,28.0,42800.0,Chicago,170700.0
419,Russell Brand,1187400.0,10.0,118700.0,Despicable Me 2,368100.0
420,Sebastian Stan,1186000.0,15.0,79100.0,Captain America 3,408100.0
421,Marion Cotillard,1183300.0,20.0,59200.0,The Dark Knight Rises,448100.0
422,Bryan Cranston,1179200.0,19.0,62100.0,Madagascar 3,216400.0
423,Alfred Molina,1173700.0,41.0,28600.0,Spider-Man 2,373600.0
424,Mads Mikkelsen,1171800.0,15.0,78100.0,Rogue One,532200.0
425,Jack Davenport,1168000.0,9.0,129800.00000000001,Dead Man's Chest,423300.0
426,Ray Stevenson,1166800.0,16.0,72900.0,Thor: The Dark World,206400.0
427,Ewen Bremner,1161800.0,16.0,72600.0,Wonder Woman,412600.0
428,Jessica Chastain,1161100.0,19.0,61100.0,The Martian,228400.0
429,Jordana Brewster,1157800.0,7.0,165400.0,Furious 7,353000.0
430,John Cusack,1157600.0,48.0,24100.0,2012,166100.0
431,Liev Schreiber,1155500.0,33.0,35000.0,X-Men Origins: Wolverine,179900.0
432,Thomas Haden Church,1154400.0,18.0,64099.99999999999,Spider-Man 3,336500.0
433,Greg Kinnear,1153500.0,36.0,32000.0,As Good as It Gets,148500.0
434,Meg Ryan,1151700.0,29.0,39700.0,Top Gun,179800.0
435,Isla Fisher,1134800.0,18.0,63000.0,Wedding Crashers,209300.0
436,Justin Bartha,1134000.0,12.0,94500.0,The Hangover,277300.0
437,James McAvoy,1131700.0,22.0,51400.0,X-Men: Days of Future Past,233900.0
438,Holly Hunter,1130000.0,29.0,39000.0,Batman v Superman,330400.0
439,Chiwetel Ejiofor,1127500.0,19.0,59300.0,Doctor Strange,232600.0
440,Elizabeth Olsen,1126500.0,15.0,75100.0,Avengers: Age of Ultron,459000.0
441,Craig T. Nelson,1122100.0,21.0,53400.0,The Incredibles,261399.99999999997
442,Christopher Mintz-Plasse,1118900.0,13.0,86100.0,How to Train Your Dragon,217600.0
443,Allison Janney,1118000.0,20.0,55900.0,Minions,336000.0
444,Christina Applegate,1117100.0,21.0,53200.0,Alvin and the Chipmunks 2,219600.0
445,Jim Broadbent,1112700.0,43.0,25900.0,Harry Potter 6,302000.0
446,Melissa McCarthy,1111600.0,13.0,85500.0,Bridesmaids,169100.0
447,Rosario Dawson,1110500.0,37.0,30000.0,Men in Black II,190400.0
448,Mila Kunis,1108500.0,18.0,61600.0,Oz The Great and Powerful,234900.0
449,Brendan Fraser,1105600.0,29.0,38100.0,Mummy Returns,202000.0
450,Abigail Breslin,1103900.0,20.0,55200.0,Signs,228000.0
451,Megan Fox,1098900.0,10.0,109900.0,Transformers 2,402100.0
452,Taraji P. Henson,1094000.0,20.0,54700.0,The Karate Kid,176600.0
453,Salma Hayek,1092400.0,22.0,49700.0,Grown Ups,162000.0
454,Anton Yelchin,1087400.0,20.0,54400.0,Star Trek,257700.0
455,Kiefer Sutherland,1087200.0,35.0,31100.0,Monsters Vs. Aliens,198400.0
456,Kim Basinger,1085000.0,35.0,31000.0,Batman,251200.0
457,Paul Newman,1082000.0,20.0,54100.0,Cars,244100.0
458,Omar Sy,1074700.0,7.0,153500.0,Jurassic World,652300.0
459,Jay Baruchel,1074400.0,18.0,59700.0,How to Train Your Dragon,217600.0
460,Edward Norton,1071700.0,25.0,42900.0,The Incredible Hulk,134800.0
461,Eric Bana,1068300.0,17.0,62800.0,Star Trek,257700.0
462,Emily Blunt,1065500.0,26.0,41000.0,Into the Woods,128000.0
463,Jamie Lee Curtis,1064400.0,33.0,32299.999999999996,True Lies,146300.0
464,Tyler Perry,1061500.0,18.0,59000.0,Gone Girl,167800.0
465,Regina Hall,1059900.0,18.0,58900.0,Scary Movie,157000.0
466,Billy Bob Thornton,1056800.0,35.0,30200.0,Armageddon,201600.0
467,Sam Rockwell,1054200.0,34.0,31000.0,Iron Man 2,312400.0
468,Jodie Foster,1051800.0,26.0,40500.0,Silence of the Lambs,130699.99999999999
469,Kate Beckinsale,1046099.9999999999,25.0,41800.0,Pearl Harbor,198500.0
470,Ashley Judd,1044200.0,28.0,37300.0,Divergent,150900.0
471,Val Kilmer,1041300.0,35.0,29800.0,Batman Forever,184000.0
472,Julia Stiles,1041300.0,20.0,52100.0,The Bourne Ultimatum,227500.0
473,Lucy Liu,1038300.0,18.0,57700.0,Kung Fu Panda,215400.0
474,Octavia Spencer,1032200.0,12.0,86000.0,Zootopia,341300.0
475,Monica Bellucci,1027900.0000000001,16.0,64200.0,Passion of the Christ,370800.0
476,Demi Moore,1025300.0,32.0,32000.0,Ghost,217600.0
477,Joaquin Phoenix,1013200.0,27.0,37500.0,Signs,228000.0
478,Zac Efron,1012000.0,19.0,53300.0,The Lorax,214000.0
479,Jennifer Garner,1000800.0,22.0,45500.0,Juno,143500.0
480,Anna Paquin,997600.0,19.0,52500.0,X-Men: The Last Stand,234400.0
481,Helen Hunt,996900.0,20.0,49800.0,Twister,241700.0
482,Lenny Kravitz,996900.0,4.0,249200.0,Catching Fire,424700.0
483,Barbra Streisand,995400.0,15.0,66400.0,Meet the Fockers,279300.0
484,Sarah Jessica Parker,990600.0,28.0,35400.0,Sex and the City,152600.0
485,Bernie Mac,989600.0,14.0,70700.0,Ocean's Eleven,183400.0
486,Maria Bello,988300.0,30.0,32900.0,Grown Ups,162000.0
487,Jai Courtney,983000.0,11.0,89400.0,Suicide Squad,325100.0
488,Laura Linney,979300.0,37.0,26500.0,Truman Show,125600.0
489,Maggie Gyllenhaal,976900.0,26.0,37600.0,The Dark Knight,534900.0
490,Wesley Snipes,976500.0,31.0,31500.0,Blade II,82300.0
491,John Boyega,975000.0,4.0,243700.0,Star Wars: The Force Awakens,936700.0
492,Toni Collette,970400.0,37.0,26200.0,Sixth Sense,293500.0
493,Christoph Waltz,969600.0,13.0,74600.0,Spectre,200100.0
494,Anna Kendrick,964800.0,22.0,43900.0,Pitch Perfect 2,184300.0
495,Seth Green,962800.0,20.0,48100.0,Goldmember,213300.0
496,Amanda Seyfried,959100.0,24.0,40000.0,Les Miserables,148800.0
497,Ashton Kutcher,957200.0,19.0,50400.0,Cheaper by the Dozen,138600.0
498,Heath Ledger,955600.0,15.0,63700.0,The Dark Knight,534900.0
499,Jessica Alba,952300.0,24.0,39700.0,Fantastic Four (2005),154700.0
650,Kristen Bell,952000.0,18.0,52900.0,Frozen,400700.0
651,Zooey Deschanel,951200.0,26.0,36600.0,Elf,173400.0
652,Naomi Watts,949500.0,38.0,25000.0,King Kong,218100.0
653,Randy Quaid,948700.0,38.0,25000.0,Independence Day,306200.0
