,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
2297,The R.M.,2003,30,USA,Comedy,PG,101,1/31/2003,Kurt Hale,"['Kirby Heyborne', ' Daryn Tufts', ' Will Swenson']",English,6.0,1111615.0
2298,The Road,2009,396,USA,Adventure,R,111,11/25/2009,John Hillcoat,"['Viggo Mortensen', ' Kodi Smit-McPhee', ' Robert Duvall']",English,7.3,8117000.0
2299,Mad Max: Fury Road,2015,20,Australia,Action,R,120,9/27/2002,George Miller,"['Tom Hardy', ' Charlize Theron', ' Nicholas Hoult']",English,8.1,136700.0
2300,Road Hard,2015,22,USA,Comedy,Unrated,98,3/6/2015,Adam Carolla,"['Larry Clarke', ' Jonathan Klein', ' Adam Carolla']",English,6.1,113169.0
2304,The Road to El Dorado,2000,3223,USA,Animation,PG,89,3/31/2000,Bibo Bergeron,"['Kevin Kline', ' Kenneth Branagh', ' Rosie Perez']",English,6.9,50863742.0
2305,The Road to Guantanamo,2006,25,UK,Documentary,R,95,6/23/2006,Mat Whitecross,"['Riz Ahmed', ' Farhad Harun', ' Waqar Siddiqui']",English,7.5,326876.0
2306,Road to Juarez,2015,10,USA,Action,,0,4/24/2015,David A. Ponce de Leon,"['William Forsythe', ' Jacqueline Pinol', ' Pepe Serna']",English,5.1,0.0
2307,The Road to Love,2001,1,France,Drama,,70,6/30/2004,Rémi Lange,"['Karim Tarek', ' Riyad Echahi', ' Sihem Benamoune']",Arabic,6.9,1714.0
2308,Road to Ninja: Naruto the Movie,2012,44,Japan,Animation,TV-14,109,8/29/2014,Hayato Date,"['Junko Takeuchi', ' Chie Nakamura', ' Toshiyuki Morikawa']",Japanese,7.8,43171.0
2309,Road to Nowhere,2010,7,USA,Romance,R,121,6/10/2011,Monte Hellman,"['Tygh Runyan', ' Dominique Swain', ' Shannyn Sossamon']",English,5.5,40294.0
2310,Road to Perdition,2002,2332,USA,Crime,R,117,7/12/2002,Sam Mendes,"['Tyler Hoechlin', ' Rob Maxey', ' Liam Aiken']",English,7.7,104454762.0
2312,Road Trip,2000,2654,USA,Adventure,R,93,5/19/2000,Todd Phillips,"['Breckin Meyer', ' Seann William Scott', ' Amy Smart']",English,6.5,68540777.0
2314,The Road Within,2014,0,USA,Comedy,R,100,4/17/2015,Gren Wells,"['Zoë Kravitz', ' Kyra Sedgwick', ' Dev Patel']",English,7.1,0.0
2315,Roadie,2011,0,USA,Comedy,R,95,6/13/1980,Michael Cuesta,"['Ron Eldard', ' Jill Hennessy', ' Bobby Cannavale']",English,6.0,4226370.0
2317,Roadside Romeo,2008,29,India,Animation,PG,93,10/24/2008,Jugal Hansraj,"['Saif Ali Khan', ' Kareena Kapoor Khan', ' Javed Jaffrey']",Hindi,5.3,55202.0
2318,Roar!,2013,19,Australia,Short,,7,4/15/2015,Catriona Warren,"['Sophie Black', ' Alannah Coghlan', ' Jackson Daniel']",English,,110048.0
2320,Rob the Mob,2014,30,USA,Crime,R,104,3/21/2014,Raymond De Felitta,"['Michael Pitt', ' Nina Arianda', ' Andy Garcia']",English,6.3,208693.0
2321,The Robber,2010,6,Germany,Biography,Unrated,101,2/3/2011,Benjamin Heisenberg,"['Andreas Lust', ' Markus Schleinzer', ' Roman Kettner']",German,6.8,83451.0
2323,Robert Blecker Wants Me Dead,2008,1,USA,Documentary,,94,2/27/2009,Ted Schillinger,['nan'],English,7.6,9166.0
2326,Robin Hood,2010,3505,USA,Action,PG-13,140,5/14/2010,Ridley Scott,"['Russell Crowe', ' Cate Blanchett', ' Max von Sydow']",English,6.7,105269730.0
2332,Robot & Frank,2012,209,USA,Comedy,PG-13,89,8/17/2012,Jake Schreier,"['Frank Langella', ' James Marsden', ' Liv Tyler']",English,7.1,3325038.0
2335,Robot Stories,2003,3,USA,Drama,Unrated,85,2/13/2004,Greg Pak,"['Tamlyn Tomita', ' James Saito', ' Vin Knight']",English,5.8,131451.0
2336,Robots,2005,3776,USA,Animation,PG,91,3/11/2005,Chris Wedge,"['Paula Abdul', ' Halle Berry', ' Lucille Bliss']",English,6.3,128200012.0
2338,Rock Bottom,2002,1,USA,Comedy,,22,3/2/2007,Mary Feuer,"['Timothy Lee DePriest', ' John Militello']",English,5.3,12890.0
2339,Rock Dog,2016,2077,China,Animation,PG,90,2/24/2017,Ash Brannon,"['Luke Wilson', ' Eddie Izzard', ' J.K. Simmons']",English,5.8,9420546.0
2340,Rock of Ages,2012,3470,USA,Comedy,PG-13,123,6/15/2012,Adam Shankman,"['Julianne Hough', ' Dakota Sage Grant', ' Matthew Rush Sullivan']",English,5.9,38518613.0
2341,Rock On 2,2016,97,India,Drama,,143,11/11/2016,Shujaat Saudagar,"['Farhan Akhtar', ' Shraddha Kapoor', ' Arjun Rampal']",Hindi,5.0,98868.0
2342,Rock School,2005,32,USA,Documentary,R,93,6/3/2005,Don Argott,"['Napoleon Murphy Brock', ' Asa Spades Collins', ' Tucker Collins']",English,6.5,64310.0
2343,Rock Star,2001,2525,USA,Drama,R,105,9/7/2001,Stephen Herek,"['Mark Wahlberg', ' Jennifer Aniston', ' Dominic West']",English,6.2,17008282.0
2344,Rock the Bells,2006,1,USA,Documentary,Unrated,103,4/11/2007,Denis Henry Hennelly,"['Chali 2na', ' D.J. Abilities', ' Babu']",English,7.7,5347.0
2345,Rock the Kasbah,2015,2012,USA,Comedy,R,106,10/23/2015,Barry Levinson,"['Bill Murray', ' Bruce Willis', ' Kate Hudson']",English,5.5,3020664.0
2347,The Rocker,2008,2784,USA,Comedy,PG-13,102,8/20/2008,Peter Cattaneo,"['Rainn Wilson', ' Christina Applegate', ' Teddy Geiger']",English,6.2,6409528.0
2348,The Rocket,2005,1,Canada,Biography,PG,124,11/30/2007,Charles Binamé,"['Roy Dupuis', ' Stephen McHattie', ' Julie LeBreton']",French,7.7,0.0
2351,Rocket Science,2007,59,USA,Comedy,R,101,8/10/2007,Jeffrey Blitz,"[""Nicholas D'Agosto"", ' Anna Kendrick', ' Utkarsh Ambudkar']",English,6.7,714943.0
2352,Rocket Singh: Salesman of the Year,2009,63,India,Comedy,Unrated,150,12/11/2009,Shimit Amin,"['Ranbir Kapoor', ' Prem Chopra', ' Gauhar Khan']",Hindi,7.5,0.0
2354,Rockets Redglare!,2003,1,USA,Documentary,,89,9/3/2004,Luis Fernandez de la Reguera,"['Gary Ray', ' Rockets Redglare', ' Willem Dafoe']",English,7.4,1605.0
2355,RocknRolla,2008,826,UK,Action,R,114,10/8/2008,Guy Ritchie,"['Gerard Butler', ' Tom Wilkinson', ' Thandie Newton']",English,7.3,5700626.0
2356,Rocks in My Pockets,2014,3,USA,Animation,,88,9/3/2014,Signe Baumane,['Signe Baumane'],English,7.6,34236.0
2358,Rocky Balboa,2006,3019,USA,Drama,PG,102,12/20/2006,Sylvester Stallone,"['Sylvester Stallone', ' Burt Young', ' Antonio Tarver']",English,7.2,70270943.0
2359,Rocky Handsome,2016,63,India,Action,Unrated,119,3/25/2016,Nishikant Kamat,"['John Abraham', ' Nishikant Kamat', ' Sharad Kelkar']",Hindi,6.8,0.0
2365,Roger Dodger,2002,61,USA,Comedy,R,106,10/25/2002,Dylan Kidd,"['Campbell Scott', ' Jesse Eisenberg', ' Isabella Rossellini']",English,7.0,1266828.0
2366,Roger Waters: The Wall,2014,0,UK,Documentary,R,132,1/1/2018,Sean Evans,"['Roger Waters', ' Dave Kilminster', ' Snowy White']",English,8.6,0.0
2367,Rogue,2007,10,Australia,Action,R,99,4/25/2008,Greg McLean,"['Radha Mitchell', ' Michael Vartan', ' Sam Worthington']",English,6.2,10452.0
2368,Rogue One: A Star Wars Story - World Premiere,2016,4157,USA,Reality-TV,,89,12/16/2016,nan,"['Anthony Carboni', ' Andi Gutierrez', ' David W. Collins']",English,7.4,532177324.0
2369,Role Models,2008,2798,Germany,Comedy,R,99,11/7/2008,David Wain,"['Seann William Scott', ' Paul Rudd', ' Christopher Mintz-Plasse']",English,6.9,67294270.0
2370,Roll Bounce,2005,1661,USA,Comedy,PG-13,112,9/23/2005,Malcolm D. Lee,"['Shad Moss', ' Chi McBride', ' Meagan Good']",English,6.0,17380866.0
2372,Rollerball,2002,2762,USA,Action,R,98,2/8/2002,John McTiernan,"['Chris Klein', ' Jean Reno', ' LL Cool J']",English,3.0,18990798.0
2373,Rolling,2007,4,USA,Drama,Unrated,90,4/3/2009,Billy Samoa Saleebey,"['Sanoe Lake', ' Garrett Brawith', ' Rachel Hardisty']",English,5.5,103318.0
2374,Rolling Family,2004,1,Argentina,Comedy,Unrated,103,9/8/2006,Pablo Trapero,"['Graciana Chironi', ' Nicolás López', ' Liliana Capurro']",Spanish,6.6,9291.0
2376,Roman de gare,2007,38,France,Drama,R,103,4/25/2008,Claude Lelouch,"['Dominique Pinon', ' Fanny Ardant', ' Audrey Dana']",French,7.1,1852764.0
2377,"Roman J Israel, Esq.",2017,0,USA,Crime,,129,11/17/2017,Dan Gilroy,"['Denzel Washington', ' Colin Farrell', ' Carmen Ejogo']",English,5.7,0.0
2378,Roman Polanski: Wanted and Desired,2008,9,USA,Documentary,Unrated,99,7/11/2008,Marina Zenovich,"['Andrew Braunsberg', ' Richard Brenneman', ' Douglas Dalton']",English,7.3,59192.0
2383,The Romans,2014,3,USA,Drama,,0,5/27/2016,Korey Green,"['Daniel Keith Barone', ' Jon Cesar', ' Stephen Henderson']",English,,19705.0
2386,The Romantics,2010,14,USA,Comedy,PG-13,95,9/10/2010,Galt Niederhoffer,"['Katie Holmes', ' Josh Duhamel', ' Anna Paquin']",English,5.1,106524.0
2387,Rome & Jewel,2008,1,USA,Drama,,91,11/28/2008,Charles T. Kanganis,"['Nate Parker', ' Lindsey Haun', ' Allen Maldonado']",English,4.4,470.0
2388,Romeo & Juliet: Sealed with a Kiss,2005,27,USA,Animation,G,76,10/27/2006,Phil Nibbelink,"['Daniel Trippett', ' Tricia Trippett', ' Chip Albers']",English,3.7,463002.0
2393,Romeo Must Die,2000,2641,USA,Action,R,115,3/22/2000,Andrzej Bartkowiak,"['Jet Li', ' Aaliyah', ' Isaiah Washington']",English,6.1,55973336.0
2394,Romeos,2011,1,Germany,Drama,Unrated,94,9/16/2011,Sabine Bernardi,"['Rick Okon', ' Max Befort', ' Liv Lisa Fries']",German,6.9,1081.0
2397,"Romulus, My Father",2007,3,Australia,Biography,R,104,2/29/2008,Richard Roxburgh,"['Eric Bana', ' Franka Potente', ' Marton Csokas']",English,6.7,4283.0
2399,The Rooftop,2013,17,Taiwan,Action,Unrated,120,7/19/2013,Jay Chou,"['Jay Chou', ' Xueqi Wang', ' Eric Tsang']",Mandarin,6.0,85755.0
2402,The Rookie,2002,2543,USA,Drama,G,127,3/29/2002,John Lee Hancock,"['Dennis Quaid', ' Rachel Griffiths', ' Jay Hernandez']",English,7.0,75600072.0
2404,Room,2015,862,Ireland,Drama,R,118,10/16/2015,Lenny Abrahamson,"['Brie Larson', ' Jacob Tremblay', ' Sean Bridgers']",English,8.2,14677654.0
2405,Room,2015,1,Ireland,Drama,R,118,4/6/2006,Lenny Abrahamson,"['Brie Larson', ' Jacob Tremblay', ' Sean Bridgers']",English,8.2,5228.0
2406,Room 237,2012,28,USA,Documentary,Unrated,102,3/29/2013,Rodney Ascher,"['Bill Blakemore', ' Geoffrey Cocks', ' Juli Kearns']",English,6.2,296359.0
2409,The Roommate,2011,2534,USA,Drama,PG-13,91,2/4/2011,Christian E. Christiansen,"['Leighton Meester', ' Minka Kelly', ' Cam Gigandet']",English,4.9,37300107.0
2411,The Roost,2005,4,USA,Horror,Unrated,80,10/21/2005,Ti West,"['Tom Noonan', ' Karl Jacob', ' Vanessa Horneff']",English,4.9,5642.0
2416,Rory O'Shea Was Here,2004,7,UK,Comedy,R,104,2/4/2005,Damien O'Donnell,"['Steven Robertson', ' Alan King', ' Brenda Fricker']",English,7.9,23844.0
2420,Roseanne for President!,2015,2,USA,Documentary,Unrated,96,7/1/2016,Eric Weinrib,"['Roseanne Barr', ' Michael Moore', "" Rosie O'Donnell""]",English,5.1,4734.0
2422,Rosenstrasse,2003,24,Germany,Drama,PG-13,136,7/30/2004,Margarethe von Trotta,"['Katja Riemann', ' Maria Schrader', ' Doris Schade']",German,6.8,734519.0
2423,Rosenwald,2015,21,USA,Documentary,,95,8/14/2015,Aviva Kempner,"['Peter Ascoli', ' Julian Bond', ' Stephanie Deutsch']",English,8.2,433924.0
2425,Rosewater,2014,371,USA,Biography,R,103,11/14/2014,Jon Stewart,"['Gael García Bernal', ' Kim Bodnia', ' Dimitri Leonidas']",English,6.6,3128941.0
2428,Rough Cut,2008,0,South Korea,Action,,113,6/20/1980,Hun Jang,"['Ji-seob So', ' Soo-hyun Hong', ' Hie-jin Jang']",Korean,7.2,16656125.0
2430,Rough Night,2017,3162,USA,Comedy,R,101,6/16/2017,Lucia Aniello,"['Scarlett Johansson', ' Jillian Bell', ' Zoë Kravitz']",English,5.2,22105643.0
2433,The Rover,2014,608,Australia,Action,R,103,6/13/2014,David Michôd,"['Guy Pearce', ' Chan Kien', ' Tek Kong Lim']",English,6.4,1114423.0
2434,Rowdy Rathore,2012,120,India,Action,Unrated,140,6/1/2012,Prabhudheva,"['Akshay Kumar', ' Sonakshi Sinha', ' Nassar']",Hindi,5.8,777373.0
2436,A Royal Affair,2012,56,Denmark,Biography,R,137,11/9/2012,Nikolaj Arcel,"['Alicia Vikander', ' Mads Mikkelsen', ' Mikkel Boe Følsgaard']",Danish,7.6,1546761.0
2438,Royal Kill,2009,5,USA,Action,PG-13,90,4/10/2009,Babar Ahmed,"['Pat Morita', ' Eric Roberts', ' Lalaine']",English,3.2,50090.0
2439,A Royal Night Out,2015,158,UK,Comedy,PG-13,97,12/4/2015,Julian Jarrold,"['Sarah Gadon', ' Bel Powley', ' Emily Watson']",English,6.5,228136.0
2440,The Royal Tenenbaums,2001,999,USA,Comedy,R,110,12/14/2001,Wes Anderson,"['Gene Hackman', ' Anjelica Huston', ' Ben Stiller']",English,7.6,52364010.0
2444,I'll Believe You,2006,29,USA,Comedy,PG,82,11/9/2007,Paul Francis Sullivan,"['David Alan Basche', ' Patrick Warburton', ' Siobhan Fallon Hogan']",English,5.8,24110.0
2446,I'll See You in My Dreams,2015,290,USA,Comedy,PG-13,92,5/15/2015,Brett Haley,"['Blythe Danner', ' June Squibb', ' Rhea Perlman']",English,6.7,7449681.0
2447,I'll See You in My Dreams,2015,0,USA,Comedy,PG-13,92,12/6/1951,Brett Haley,"['Blythe Danner', ' June Squibb', ' Rhea Perlman']",English,6.7,0.0
2448,I'll Sing for You,2001,1,France,Documentary,Unrated,76,3/26/2004,Jacques Sarasin,"['Haruna Barry', ' Dèmba-Kane Niang', ' Madieye Niang']",French,7.5,9425.0
2449,I'll Sleep When I'm Dead,2003,19,UK,Crime,R,103,6/16/2004,Mike Hodges,"['Clive Owen', ' Charlotte Rampling', ' Jonathan Rhys Meyers']",English,5.9,360759.0
2451,I'm Glad My Mother Is Alive,2009,1,France,Drama,Unrated,91,9/2/2011,Claude Miller,"['Vincent Rottiers', ' Sophie Cattani', ' Christine Citti']",French,6.7,8705.0
2452,I'm Going Home,2001,6,France,Comedy,,90,8/14/2002,Manoel de Oliveira,"['Michel Piccoli', ' Catherine Deneuve', ' John Malkovich']",French,7.1,140872.0
2454,I'm in Love with a Church Girl,2013,458,USA,Drama,PG,118,10/18/2013,Steve Race,"['Michael Madsen', ' Stephen Baldwin', ' Zahn McClarnon']",English,4.5,2387730.0
2456,I'm Not Ashamed,2016,516,USA,Biography,PG-13,112,10/21/2016,Brian Baugh,"['Masey McLain', ' Ben Davies', ' Cameron McKendry']",English,5.6,2082980.0
2457,I'm Not Jesus Mommy,2010,3,USA,Drama,R,89,5/6/2011,Vaughn Juares,"['Charles Hubbell', ' Bridget McGrath', ' Joseph Andrew Schneider']",English,2.6,15005.0
2459,I'm Not Scared,2003,63,Italy,Crime,R,108,4/9/2004,Gabriele Salvatores,"['Aitana Sánchez-Gijón', ' Dino Abbrescia', ' Giorgio Careccia']",Italian,7.5,1615328.0
2460,I'm Not There,2009,149,Portugal,Biography,,5,11/21/2007,Marta Alvim,['nan'],English,,4017609.0
2461,I'm Reed Fish,2006,1,USA,Comedy,PG,93,6/1/2007,Zackary Adler,"['Jay Baruchel', ' Alexis Bledel', ' Victor Rasuk']",English,5.8,3567.0
2463,I'm Still Here,2010,120,USA,Comedy,R,108,9/10/2010,Casey Affleck,"['Joaquin Phoenix', ' Antony Langdon', ' Carey Perloff']",English,6.2,408983.0
2464,Margaret Cho: I'm the One That I Want,2000,8,USA,Documentary,Unrated,96,8/4/2000,Lionel Coleman,['Margaret Cho'],English,7.5,1210967.0
2465,I've Loved You So Long,2008,69,France,Drama,PG-13,117,10/24/2008,Philippe Claudel,"['Kristin Scott Thomas', ' Elsa Zylberstein', ' Serge Hazanavicius']",French,7.6,3169305.0
2466,"I, Daniel Blake",2016,45,UK,Drama,R,100,6/2/2017,Ken Loach,"['Dave Johns', ' Hayley Squires', ' Briana Shann']",English,7.9,260354.0
2467,"I, Frankenstein",2014,2753,USA,Action,PG-13,92,1/24/2014,Stuart Beattie,"['Aaron Eckhart', ' Yvonne Strahovski', ' Miranda Otto']",English,5.1,19075290.0
2468,"I, Me aur Main",2013,43,India,Comedy,Unrated,108,3/1/2013,Kapil Sharma,"['John Abraham', ' Chitrangda Singh', ' Prachi Desai']",Hindi,4.6,0.0
2469,"I, Robot",2004,3494,USA,Action,PG-13,115,7/16/2004,Alex Proyas,"['Will Smith', ' Bridget Moynahan', ' Alan Tudyk']",English,7.1,144801023.0
2471,"I, Tonya",2017,0,USA,Biography,R,119,12/8/2017,Craig Gillespie,"['Margot Robbie', ' Sebastian Stan', ' Mckenna Grace']",English,7.5,0.0
2472,I.O.U.S.A.,2008,358,USA,Documentary,PG,85,8/22/2008,Patrick Creadon,"['Robert Bixby', ' Humphrey Bogart', ' Warren Buffett']",English,7.6,821046.0
2474,Icaros: A Vision,2016,1,Peru,Drama,,91,5/19/2017,Leonor Caraballo,"['Ana Cecilia Stieglitz', ' Filippo Timi', ' Arturo Izquierdo']",English,7.1,5510.0
2475,Ice Age,2002,3345,USA,Animation,PG,81,3/15/2002,Chris Wedge,"['Ray Romano', ' John Leguizamo', ' Denis Leary']",English,7.6,176387405.0
2476,Ice Age: Collision Course,2016,3997,USA,Animation,PG,94,7/22/2016,Mike Thurmeier,"['Stephanie Beatriz', ' Robert Cardone', ' Neil deGrasse Tyson']",English,5.7,64063008.0
2477,Ice Age: Continental Drift,2012,3886,USA,Animation,PG,88,7/13/2012,Steve Martino,"['Aziz Ansari', ' Joy Behar', ' Christopher Campbell']",English,6.6,161321843.0
2478,Ice Age: Dawn of the Dinosaurs,2009,4102,USA,Animation,PG,94,7/1/2009,Carlos Saldanha,"['Eunice Cho', ' Karen Disher', ' Harrison Fahn']",English,7.0,196573705.0
2479,Ice Age: The Meltdown,2006,3969,USA,Animation,PG,91,3/31/2006,Carlos Saldanha,"['Ray Romano', ' John Leguizamo', ' Denis Leary']",English,6.8,195330621.0
2481,The Ice Harvest,2005,1555,USA,Comedy,R,92,11/23/2005,Harold Ramis,"['John Cusack', ' Billy Bob Thornton', ' Lara Phillips']",English,6.3,9016782.0
2483,Ice Princess,2005,2501,USA,Comedy,G,98,3/18/2005,Tim Fywell,"['Michelle Trachtenberg', ' Joan Cusack', ' Amy Stewart']",English,6.0,24402491.0
2492,Shaadi Ke Side Effects,2014,108,India,Comedy,,145,2/28/2014,Saket Chaudhary,"['Farhan Akhtar', ' Vidya Balan', ' Vir Das']",Hindi,5.6,921277.0
2493,Shaadi No. 1,2005,45,India,Comedy,,0,11/3/2005,David Dhawan,"['Fardeen Khan', ' Zayed Khan', ' Sharman Joshi']",Hindi,3.5,336772.0
2494,Shaadi Se Pehle,2006,23,India,Comedy,Unrated,122,4/7/2006,Satish Kaushik,"['Akshaye Khanna', ' Ayesha Takia', ' Mallika Sherawat']",Hindi,4.0,111678.0
2495,Shaandaar,2015,136,India,Comedy,Unrated,144,10/22/2015,Vikas Bahl,"['Shahid Kapoor', ' Alia Bhatt', ' Pankaj Kapur']",Hindi,3.7,521794.0
2496,The Shack,2017,2888,USA,Drama,PG-13,132,3/3/2017,Stuart Hazeldine,"['Sam Worthington', ' Octavia Spencer', ' Tim McGraw']",English,6.3,57386418.0
2497,Shade,2003,6,USA,Crime,R,101,4/9/2004,Damian Nieman,"['Joe Nicolo', ' Carl Mazzocone Sr.', ' George Tovar']",English,6.4,25032.0
2501,Shadow Dancer,2012,14,UK,Drama,R,101,5/31/2013,James Marsh,"['Barry Barnes', ' Maria Laird', ' Ben Smyth']",English,6.2,100616.0
2502,Shadow Glories,2001,0,USA,nan,R,109,9/28/2001,Ziad H. Hamzeh,"['Marc Sandler', ' Sarah Rachel Isenberg', ' Michael Denney']",nan,5.4,24997.0
2503,Shadow Hours,2000,7,USA,Drama,R,95,7/14/2000,Isaac H. Eaton,"['Balthazar Getty', ' Peter Weller', ' Rebecca Gayheart']",English,5.9,38181.0
2507,Shadow of the Vampire,2000,513,UK,Drama,R,92,12/29/2000,E. Elias Merhige,"['John Malkovich', ' Willem Dafoe', ' Udo Kier']",English,6.9,8293784.0
2509,Shadow World,2016,0,Belgium,Documentary,,94,10/14/2016,Johan Grimonprez,['nan'],English,7.5,0.0
2510,Shadowboxer,2005,43,USA,Action,R,93,7/21/2006,Lee Daniels,"['Cuba Gooding Jr.', ' Helen Mirren', ' Vanessa Ferlito']",English,5.6,370627.0
2514,Shaft,2000,2433,Germany,Action,R,99,6/16/2000,John Singleton,"['Samuel L. Jackson', ' Vanessa Williams', ' Jeffrey Wright']",English,5.9,70334258.0
2515,The Shaggy Dog,2006,3501,USA,Comedy,PG,98,3/10/2006,Brian Robbins,"['Tim Allen', ' Kristin Davis', ' Zena Grey']",English,4.4,61123569.0
2516,Shahid,2012,16,India,Biography,Unrated,129,10/18/2013,Hansal Mehta,"['Rajkummar Rao', ' Prabhleen Sandhu', ' Mohammed Zeeshan Ayyub']",Hindi,8.3,12153.0
2517,Shake Hands with the Devil,2007,1,Canada,Drama,R,112,10/29/2010,Roger Spottiswoode,"['Roy Dupuis', ' Owen Sejake', ' James Gallanders']",English,7.7,594.0
2518,Shake Hands with the Devil: The Journey of Roméo Dallaire,2004,4,Canada,Documentary,,90,5/13/2005,Peter Raymont,"['Gerry Caplan', ' Bill Clinton', ' Hillary Clinton']",English,8.2,68249.0
2521,Shakespeare Behind Bars,2005,5,USA,Documentary,,93,3/10/2006,Hank Rogerson,['nan'],English,7.6,48594.0
2523,Shakespeare Live! From the RSC,2016,0,UK,Biography,Unrated,120,1/1/2018,Bridget Caldwell,"['Catherine Tate', ' David Tennant', ' Akala']",English,7.8,0.0
2525,Shall We Dance,2004,2542,USA,Comedy,PG-13,106,10/15/2004,Peter Chelsom,"['Richard Gere', ' Jennifer Lopez', ' Susan Sarandon']",English,6.1,57890460.0
2527,Shall We Kiss?,2007,33,France,Comedy,Unrated,96,3/27/2009,Emmanuel Mouret,"['Virginie Ledoyen', ' Emmanuel Mouret', ' Julie Gayet']",French,6.8,535499.0
2529,Shallow Hal,2001,2799,USA,Comedy,PG-13,114,11/9/2001,Bobby Farrelly,"['Gwyneth Paltrow', ' Jack Black', ' Jason Alexander']",English,5.9,70839203.0
2530,The Shallows,2016,2962,USA,Drama,PG-13,86,6/24/2016,Jaume Collet-Serra,"['Blake Lively', ' Óscar Jaenada', ' Angelo Josue Lozano Corzo']",English,6.3,55124043.0
2531,Shame,2011,95,UK,Drama,NC-17,101,12/2/2011,Steve McQueen,"['Michael Fassbender', ' Lucy Walters', ' Mari-Ange Ramirez']",English,7.2,3909002.0
2532,Shamitabh,2015,137,India,Comedy,,155,2/6/2015,R. Balki,"['Amitabh Bachchan', ' Dhanush', ' Akshara Haasan']",Hindi,6.8,324597.0
2534,Shanghai,2010,103,China,Drama,R,105,10/2/2015,Mikael Håfström,"['John Cusack', ' Li Gong', ' Yun-Fat Chow']",English,6.4,46425.0
2535,Shanghai Calling,2012,4,USA,Comedy,PG-13,100,2/15/2013,Daniel Hsia,"['Le Geng', ' Daniel Henney', ' Sean Gallagher']",English,6.3,10400.0
2536,Shanghai Ghetto,2002,13,USA,Documentary,,95,9/27/2002,Dana Janklowicz-Mann,"['Stephen Chang', ' Irene Eber', ' I. Betty Grebenschikoff']",English,7.1,712446.0
2537,Shanghai Knights,2003,2755,USA,Action,PG-13,114,2/7/2003,David Dobkin,"['Jackie Chan', ' Owen Wilson', ' Aaron Taylor-Johnson']",English,6.2,60476872.0
2538,Shanghai Noon,2000,2751,USA,Action,PG-13,110,5/26/2000,Tom Dey,"['Jackie Chan', ' Owen Wilson', ' Lucy Liu']",English,6.6,56937502.0
2539,Shanghai Red,2006,3,USA,Drama,,104,2/12/2010,Oscar L. Costo,"['Vivian Wu', ' Richard Burgi', ' Honglei Sun']",English,5.8,30353.0
2542,Shangri-La Suite,2016,25,USA,Crime,,90,10/28/2016,Eddie O'Keefe,"['Emily Browning', ' Avan Jogia', ' Ashley Greene']",English,4.8,14073.0
2543,Shaolin,2011,11,Hong Kong,Action,R,131,9/9/2011,Benny Chan,"['Shaoqun Yu', ' Chen Zhiui', ' Xing Yu']",Mandarin,6.9,66099.0
2544,Shaolin Soccer,2001,14,Hong Kong,Action,PG,87,4/2/2004,Stephen Chow,"['Stephen Chow', ' Man-Tat Ng', ' Wei Zhao']",Cantonese,7.3,489600.0
2545,The Shape of Things,2003,60,USA,Comedy,R,96,5/9/2003,Neil LaBute,"['Gretchen Mol', ' Paul Rudd', ' Rachel Weisz']",English,6.7,735992.0
2546,The Shape of Water,2017,0,USA,Adventure,R,119,12/1/2017,Guillermo del Toro,"['Sally Hawkins', ' Michael Shannon', ' Richard Jenkins']",English,7.5,0.0
2547,Shark Night 3D,2011,2848,USA,Horror,PG-13,90,9/2/2011,David R. Ellis,"['Sara Paxton', ' Dustin Milligan', ' Chris Carmack']",English,4.0,18877153.0
2548,Shark Tale,2004,4070,USA,Animation,PG,90,10/1/2004,Bibo Bergeron,"['Will Smith', ' Robert De Niro', ' Renée Zellweger']",English,6.0,160861908.0
2549,Sharkwater,2006,60,Canada,Documentary,PG,89,9/28/2007,Rob Stewart,"['Rob Stewart', ' Erich Ritter', ' Boris Worm']",English,8.0,850920.0
2551,Shattered,2007,1288,UK,Crime,R,95,10/11/1991,Mike Barker,"['Pierce Brosnan', ' Maria Bello', ' Gerard Butler']",English,6.7,11511031.0
2552,Shattered Glass,2003,215,USA,Drama,PG-13,94,10/31/2003,Billy Ray,"['Hayden Christensen', ' Peter Sarsgaard', ' Chloë Sevigny']",English,7.2,2220008.0
2554,Shaun of the Dead,2004,675,UK,Comedy,R,99,9/24/2004,Edgar Wright,"['Simon Pegg', ' Kate Ashfield', ' Nick Frost']",English,8.0,13542874.0
2555,Shaun the Sheep Movie,2015,2360,UK,Animation,PG,85,8/5/2015,Mark Burton,"['Justin Fletcher', ' John Sparkes', ' Omid Djalili']",None,7.4,19375982.0
2557,Shaye & Kiki,2004,0,USA,Animation,,96,3/2/2002,Eric Fournier,['nan'],English,7.6,12000.0
2559,She Hate Me,2004,28,USA,Comedy,R,138,7/28/2004,Spike Lee,"['Anthony Mackie', ' Kerry Washington', ' Ellen Barkin']",English,5.3,366037.0
2562,She's Beautiful When She's Angry,2014,19,USA,Documentary,Unrated,92,12/5/2014,Mary Dore,"['Chude Pamela Allen', ' Alta', ' Judith Arcana']",English,7.8,421573.0
2563,She's Funny That Way,2014,26,Germany,Comedy,R,93,8/21/2015,Peter Bogdanovich,"['Imogen Poots', ' Illeana Douglas', ' Graydon Carter']",English,6.1,111996.0
