,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
40,Khumba,2013,2,South Africa,Animation,Unrated,85,12/6/2013,Anthony Silverston,"['Jake T. Austin', ' Adrian Rhodes', ' Sam Riegel']",English,5.7,1029.0
41,Khushi,2001,30,India,Drama,,169,2/7/2003,Surya S.J.,"['Bhoomika Chawla', ' Sudhakar', ' Vijayakumar']",Telugu,7.9,305205.0
42,Khushiyaan,2011,26,India,Family,,135,10/14/2011,Tirlok Malik,"['Jasbir Jassi', ' Tisca Chopra', ' Kulbhushan Kharbanda']",Panjabi,6.9,0.0
43,Ki & Ka,2016,148,India,Comedy,,126,4/1/2016,R. Balki,"['Amitabh Bachchan', ' Kareena Kapoor Khan', ' Arjun Kapoor']",Hindi,5.8,857986.0
44,Kick,2014,180,India,Action,Unrated,146,7/25/2014,Sajid Nadiadwala,"['Salman Khan', ' Jacqueline Fernandez', ' Nawazuddin Siddiqui']",Hindi,5.5,2472695.0
45,Kick-Ass,2010,3065,UK,Action,R,117,4/16/2010,Matthew Vaughn,"['Aaron Taylor-Johnson', ' Garrett M. Brown', ' Evan Peters']",English,7.7,48071303.0
46,Kick-Ass 2,2013,2945,USA,Action,R,103,8/16/2013,Jeff Wadlow,"['Aaron Taylor-Johnson', ' Chloë Grace Moretz', ' Morris Chestnut']",English,6.6,28795985.0
49,Kickin' It Old Skool,2007,1816,USA,Comedy,PG-13,108,4/27/2007,Harvey Glazer,"['Jamie Kennedy', ' Maria Menounos', ' Miguel A. Núñez Jr.']",English,4.6,4502604.0
52,Kicking It,2008,2,USA,Documentary,Unrated,98,6/13/2008,Susan Koch,"['Colin Farrell', ' Brandon Francis']",English,7.4,13266.0
53,Kicks,2016,65,USA,Adventure,R,80,9/9/2016,Justin Tipping,"['Jahking Guillory', ' Christopher Jordan Wallace', ' Christopher Meyer']",English,6.2,150191.0
54,The Kid & I,2005,0,USA,Comedy,PG-13,93,12/2/2005,Penelope Spheeris,"['Tom Arnold', ' Eric Gores', ' Linda Hamilton']",English,5.7,0.0
55,Kid Cannabis,2014,1,USA,Biography,Unrated,110,4/18/2014,John Stockwell,"['Jonathan Daniel Brown', ' Kenny Wormald', ' Aaron Yoo']",English,6.4,5565.0
