,Unnamed: 0,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross
40,46,Kick-Ass 2,2013,2945,USA,Action,Rated,103,8/16/2013,Jeff Wadlow,"['Aaron Taylor-Johnson', ' Chloë Grace Moretz', ' Morris Chestnut']",English,6.6,28795985.0
41,49,Kickin' It Old Skool,2007,1816,USA,Comedy,Rated,108,4/27/2007,Harvey Glazer,"['Jamie Kennedy', ' Maria Menounos', ' Miguel A. Núñez Jr.']",English,4.6,4502604.0
42,52,Kicking It,2008,2,USA,Documentary,Unrated,98,6/13/2008,Susan Koch,"['Colin Farrell', ' Brandon Francis']",English,7.4,13266.0
43,53,Kicks,2016,65,USA,Adventure,Rated,80,9/9/2016,Justin Tipping,"['Jahking Guillory', ' Christopher Jordan Wallace', ' Christopher Meyer']",English,6.2,150191.0
45,55,Kid Cannabis,2014,1,USA,Biography,Unrated,110,4/18/2014,John Stockwell,"['Jonathan Daniel Brown', ' Kenny Wormald', ' Aaron Yoo']",English,6.4,5565.0
47,61,The Kid with a Bike,2011,86,Belgium,Drama,Rated,84,3/16/2012,Jean-Pierre Dardenne,"['Thomas Doret', ' Cécile De France', ' Jérémie Renier']",French,7.4,1470000.0
48,62,Kidnap,2017,0,USA,Action,Rated,95,10/2/2008,Luis Prieto,"['Halle Berry', ' Sage Correa', ' Chris McGinn']",English,5.9,0.0
49,63,The Kidnapping of Michel Houellebecq,2014,1,France,Comedy,Unrated,96,3/25/2015,Guillaume Nicloux,"['Michel Houellebecq', ' Mathieu Nicourt', ' Maxime Lefrançois']",French,6.8,11546.0
50,65,The Kids Are All Right,2010,994,USA,Comedy,Rated,106,7/9/2010,Lisa Cholodenko,"['Julianne Moore', ' Annette Bening', ' Mark Ruffalo']",English,7.1,20811365.0
51,66,Kids for Cash,2013,12,USA,Documentary,Rated,102,2/7/2014,Robert May,"['Charlie Balasavage', ' Joanne Balasavage', ' Justin Bodnar']",English,7.1,143178.0
