,Person,Total Gross(Million),Movie involved,Average Gross for each movie,Most profitbale movie,Gross of most profitable
612,David Koepp,114100.0,6.0,19000.0,Secret Window,48000.0
613,John Erick Dowdle,113900.0,4.0,28500.0,Devil,33600.0
614,Mark Neveldine,113800.0,4.0,28500.0,Ghost Rider 2,51800.0
615,Brian Taylor,113800.0,4.0,28500.0,Ghost Rider 2,51800.0
616,Scott Cooper,113800.0,4.0,28500.0,Black Mass,62600.0
617,Scott Waugh,113600.0,2.0,56800.0,Act of Valor,70000.0
618,William Brent Bell,112200.0,3.0,37400.0,The Devil Inside,53300.0
619,Miguel Arteta,111300.0,6.0,18500.0,Alexander,67000.0
620,Burr Steers,111000.0,4.0,27800.0,17 Again,64200.0
621,Andrew Niccol,110800.0,6.0,18500.0,In Time,37500.0
622,Will Finn,109400.0,3.0,36500.0,Road to El Dorado,50900.0
623,Denzel Washington,109000.0,3.0,36300.0,Fences,57700.0
624,Victor Salva,108400.0,4.0,27100.0,Jeepers Creepers,37900.0
625,Oren Peli,107900.0,2.0,54000.0,Paranormal Activity,107900.0
626,Dean Israelite,107700.0,2.0,53900.0,Power Rangers,85400.0
627,Frank Miller,107700.0,3.0,35900.0,Sin City,74100.0
628,Evan Goldberg,107600.0,2.0,53800.0,This is the End,101500.0
629,Seth Rogen,107600.0,2.0,53800.0,This is the End,101500.0
630,Duncan Jones,107100.0,3.0,35700.0,Source Code,54700.0
631,Andrew Fleming,106600.0,7.0,15200.0,Nancy Drew,25600.0
632,James Ivory,103800.0,14.0,7400.0,Howards End,26100.0
633,Peter Hedges,102000.0,3.0,34000.0,The Odd Life of Timothy Green,51900.0
634,Niki Caro,101000.0,4.0,25300.0,"McFarland, USA",44500.0
635,Michael Cimino,101000.0,7.0,14400.0,The Deer Hunter,49000.0
636,Alejandro Amenabar,99700.0,5.0,19900.0,The Others,96500.0
637,Steven Quale,99200.0,3.0,33100.0,Into The Storm,47600.0
638,David Lynch,98100.0,9.0,10900.0,Dune,30900.0
639,Beeban Kidron,96100.0,5.0,19200.0,Bridget Jones 2,40200.0
640,Sharon Maguire,95800.0,3.0,31900.0,Bridget Jones's Diary,71500.0
641,Patrick Lussier,95300.0,3.0,31800.0,My Bloody Valentine 3-D,51500.0
642,Jon Hurwitz,95100.0,2.0,47600.0,American Reunion,57000.0
643,Hayden Schlossberg,95100.0,2.0,47600.0,American Reunion,57000.0
644,David Leitch,94600.0,2.0,47300.0,Atomic Blonde,51600.0
645,Bille Woodruff,93700.0,4.0,23400.0,Beauty Shop,36400.0
646,Eli Roth,93300.0,5.0,18700.0,Hostel,47300.0
647,Brad Furman,92800.0,3.0,30900.0,The Lincoln Lawyer,58000.0
648,Tom Vaughan,92600.0,3.0,30900.0,What Happens in Vegas,80300.0
649,John Luessenhop,92500.0,3.0,30800.0,Takers,57700.0
850,Alex Kurtzman,92500.0,2.0,46300.0,The Mummy (2017),80100.0
851,Jean-Pierre Jeunet,92500.0,7.0,13200.0,Alien Resurrection,47800.0
852,Christopher B. Landon,91800.0,3.0,30600.0,Happy Death Day,55700.0
853,Nimród Antal,91000.0,5.0,18200.0,Predators,52000.0
854,Etan Cohen,90400.0,1.0,90400.0,Get Hard,90400.0
855,Klay Hall,90300.0,1.0,90300.0,Planes,90300.0
856,Callie Khouri,90300.0,2.0,45100.0,Ya-Ya Sisterhood,69600.0
857,Julie Anne Robinson,89400.0,2.0,44700.0,The Last Song,63000.0
858,Tod Williams,88700.0,3.0,29600.0,Paranormal Activity 2,84800.0
859,Ryan Murphy,87600.0,2.0,43800.0,Eat Pray Love,80600.0
860,Scott Charles Stewart,86700.0,3.0,28900.0,Legion,40200.0
861,David Wain,85800.0,4.0,21500.0,Role Models,67300.0
862,Pete Travis,85700.0,3.0,28600.0,Vantage Point,72300.0
863,Trey Parker,85400.0,3.0,28500.0,"South Park - Bigger, Longer and Uncut",52000.0
864,Cal Brunker,85400.0,2.0,42700.0,Escape From Planet Earth,57000.0
865,Mike Judge,85200.0,4.0,21300.0,Beavis and Butt-Head Do America,63100.0
866,Jodie Foster,84500.0,4.0,21100.0,Money Monster,41000.0
867,Thomas Bezucha,83800.0,3.0,27900.0,The Family Stone,60100.0
868,Sofia Coppola,83700.0,6.0,13900.0,Lost in Translation,44600.0
869,Mira Nair,83600.0,10.0,8400.0,Vanity Fair,16100.000000000002
870,Paul Haggis,83500.0,4.0,20900.0,Crash,54600.0
871,Ernest R. Dickerson,83500.0,6.0,13900.0,Bulletproof,21600.0
872,Craig Brewer,83400.0,3.0,27800.0,Footloose,51800.0
873,Mike Binder,83300.0,6.0,13900.0,Black or White,21600.0
874,John Stockwell,83200.0,5.0,16600.0,Blue Crush,40400.0
875,Kevin Macdonald,81800.0,9.0,9100.0,State of Play,37000.0
876,Charles Stone III,81300.0,4.0,20300.0,Drumline,56400.0
877,Mary Lambert,80600.0,5.0,16100.000000000002,Pet Sematary,57500.0
878,Gina Prince-Bythewood,79800.0,3.0,26600.0,The Secret Life of Bees,37800.0
879,Richard Loncraine,78400.0,6.0,13100.0,Firewall,48800.0
880,Jean-Marc Vallee,78200.0,4.0,19500.0,Wild (2014),37900.0
881,Paul King,76300.0,1.0,76300.0,Paddington,76300.0
882,Chris Rock,76000.0,3.0,25300.0,Head of State,38100.0
883,Zach Braff,75400.0,3.0,25100.0,Going in Style (2017),45000.0
884,Jonathan Dayton,75100.0,3.0,25000.0,Little Miss Sunshine,59900.0
885,Valerie Faris,75100.0,3.0,25000.0,Little Miss Sunshine,59900.0
886,Rick Famuyiwa,72700.0,3.0,24200.0,Brown Sugar,27400.0
887,Frederik Du Chou,72300.0,2.0,36100.0,Racing Stripes,49800.0
888,Steven Zaillian,71200.0,3.0,23700.0,A Civil Action,56700.0
889,Tom McCarthy,70400.0,4.0,17600.0,Spotlight,45100.0
890,Mike McCoy,70000.0,1.0,70000.0,Act of Valor,70000.0
891,George Nolfi,69400.0,2.0,34700.0,The Adjustment Bureau,62500.0
892,Nima Nourizadeh,69200.0,2.0,34600.0,Project X,54700.0
893,Michael Tiddes,69100.0,3.0,23000.0,A Haunted House,40000.0
894,John Dahl,68900.0,8.0,8600.0,Rounders,22900.0
895,Stephen Gaghan,68800.0,3.0,22900.0,Syriana,50800.0
896,Tom Tykwer,68200.0,8.0,8500.0,Cloud Atlas,27100.0
897,Terrence Malick,67500.0,8.0,8400.0,Thin Red Line,36400.0
898,Gregory Jacobs,66900.0,2.0,33500.0,Magic Mike XXL,66000.0
899,Pedro Almodovar,64700.0,15.0,4300.0,Volver,12900.0
900,Sean McNamara,64700.0,4.0,16200.0,Soul Surfer,43900.0
901,Jeremy Garelick,64500.0,1.0,64500.0,The Wedding Ringer,64500.0
902,Peter Lepeniotis,64300.0,1.0,64300.0,The Nut Job,64300.0
903,Mark Pellington,64200.0,6.0,10700.0,Mothman Prophecies,35700.0
904,Jeff Wadlow,63700.0,3.0,21200.0,Kick-Ass 2,28800.0
905,Greg Strause,63200.0,2.0,31600.0,Aliens Vs. Predator - Requiem,41800.0
906,Mike Flanagan,62800.0,2.0,31400.0,Ouija 2,35100.0
907,Roberto Benigni,62500.0,5.0,12500.0,Life Is Beautiful,57600.0
908,Mars Marlind,62300.0,1.0,62300.0,Underworld Awakening,62300.0
909,Bjorn Stein,62300.0,1.0,62300.0,Underworld Awakening,62300.0
910,Salim Akil,61700.0,2.0,30800.0,Jumping the Broom,37300.0
911,Tom Hanks,61500.0,2.0,30700.0,Larry Crowne,35600.0
912,Albert Brooks,61400.0,7.0,8800.0,Mother (1996),19100.0
913,Dinesh D'Souza,61000.0,3.0,20300.0,2016 Obama's America,33400.0
914,Steve McQueen (II),60700.0,3.0,20200.0,12 Years a Slave,56700.0
915,John Hillcoat,60100.0,4.0,15000.0,Lawless,37400.0
916,Gregory Nava,60000.0,4.0,15000.0,Selena,35300.0
917,David Mamet,60000.0,10.0,6000.0,Heist,23500.0
918,Paul Schrader,59900.0,14.0,4300.0,American Gigolo,22700.0
919,Christopher Spencer,59700.0,1.0,59700.0,Son of God,59700.0
920,Brad Anderson,59600.0,7.0,8500.0,The Call,51900.0
921,John Herzfeld,59200.0,3.0,19700.0,15 Minutes,24400.0
922,Jose Padilha,59000.0,5.0,11800.0,RoboCop,58600.0
923,Akiva Schaffer,58900.0,3.0,19600.0,The Watch,35400.0
924,Jonathan M. Goldstein,58900.0,1.0,58900.0,Vacation,58900.0
925,Christophe Gans,58200.0,2.0,29100.0,Silent Hill,47000.0
926,Gillian Armstrong,57900.0,6.0,9700.0,Little Women (1994),50100.0
927,Geoffrey Sax,57800.0,3.0,19300.0,White Noise,56400.0
928,Kimberly Peirce,57700.0,3.0,19200.0,Carrie,35300.0
929,Kenneth Lonergan,56900.0,3.0,19000.0,Manchester by the Sea,47700.0
930,Jane Campion,56800.0,7.0,8100.0,The Piano,40200.0
931,Gary Shore,56300.0,1.0,56300.0,Dracula Untold,56300.0
932,John Wells,55800.0,3.0,18600.0,August: Osage County,37700.0
933,Tommy Wirkola,55800.0,2.0,27900.0,Hansel and Gretel,55700.0
934,Billy Ray,55600.0,3.0,18500.0,Breach,33200.0
935,Kevin Munroe,55300.0,2.0,27700.0,TMNT,54100.0
936,Greg Berlanti,55100.0,2.0,27600.0,Life as We Know It,53400.0
937,Fred Wolf,54800.0,2.0,27400.0,The House Bunny,48200.0
938,James Watkins,54400.0,3.0,18100.0,The Woman in Black,54300.0
939,R.J. Cutler,54300.0,2.0,27100.0,If I Stay,50500.0
940,Anton Corbijn,53700.0,3.0,17900.0,The American,35600.0
941,Sam Miller,52500.0,1.0,52500.0,No Good Deed,52500.0
942,Julie Taymor,52500.0,4.0,13100.0,Frida,25900.0
943,Ava DuVernay,52400.0,3.0,17500.0,Selma,52100.0
944,Leigh Whannell,52200.0,1.0,52200.0,Insidious Chapter 3,52200.0
945,Tom Brady,51000.0,3.0,17000.0,The Hot Chick,35100.0
946,David Seltzer,50900.0,3.0,17000.0,Shining Through,21600.0
947,Stiles White,50900.0,1.0,50900.0,Ouija,50900.0
948,Graham Annable,50800.0,1.0,50800.0,The Boxtrolls,50800.0
949,Anthony Stacchi,50800.0,1.0,50800.0,The Boxtrolls,50800.0
1200,Ole Bornedal,50600.0,4.0,12600.0,The Possession,49100.0
1201,Jorge R. Gutierrez,50200.0,1.0,50200.0,The Book of Life,50200.0
1202,Rod Lurie,49800.0,5.0,10000.0,Last Castle,18200.0
1203,Bruce A. Evans,49700.0,2.0,24800.0,Mr. Brooks,28500.0
1204,Travis Knight,48000.0,1.0,48000.0,Kubo and the Two Strings,48000.0
1205,John Sullivan,47900.0,2.0,23900.0,2016 Obama's America,33400.0
1206,John Crowley,47100.0,5.0,9400.0,Brooklyn,38300.0
1207,Tim Robbins,46700.0,3.0,15600.0,Dead Man Walking,39400.0
1208,Sarah Smith,46500.0,1.0,46500.0,Arthur Christmas,46500.0
1209,Christopher Guest,45700.0,5.0,9100.0,Best in Show,18700.0
1210,Michel Hazanavicius,45100.0,3.0,15000.0,The Artist,44700.0
1211,Dan Bradley,44800.0,1.0,44800.0,Red Dawn (2012),44800.0
1212,Elizabeth Allen (II),44800.0,2.0,22400.0,Ramona and Beezus,26200.0
1213,James Gray,44300.0,6.0,7400.0,We Own the Night,28600.0
1214,Dan Gilroy,44200.0,2.0,22100.0,Nightcrawler,32400.0
1215,Don Roos,44000.0,4.0,11000.0,Bounce,36800.0
1216,Chris Stokes,44000.0,3.0,14700.0,You Got Served,40400.0
1217,Diane Keaton,44000.0,2.0,22000.0,Hanging Up,36100.0
1218,Karyn Kusama,43900.0,4.0,11000.0,Aeon Flux,25900.0
1219,Shana Feste,43800.0,3.0,14600.0,Endless Love,23400.0
1220,Derek Cianfrance,43700.0,3.0,14600.0,The Place Beyond the Pines,21400.0
1221,Chris Kentis,43400.0,2.0,21700.0,Open Water,30600.0
1222,Ric Roman Waugh,42900.0,1.0,42900.0,Snitch,42900.0
1223,Davis Guggenheim,42900.0,6.0,7200.0,An Inconvenient Truth,24100.0
1224,Michael Dougherty,42700.0,1.0,42700.0,Krampus,42700.0
1225,Drew Goddard,42100.0,1.0,42100.0,The Cabin in the Woods,42100.0
1226,Courtney Solomon,42000.0,3.0,14000.0,An American Haunting,16300.0
1227,Morgan Spurlock,41500.0,6.0,6900.0,One Direction: This is Us,28900.0
1228,Todd Field,41400.0,2.0,20700.0,In the Bedroom,35900.0
1229,Ken Scott,41200.0,3.0,13700.0,Delivery Man,30700.0
1230,Mike Leigh,41200.0,11.0,3700.0,Secrets & Lies,13400.0
1231,Daniel Stamm,41000.0,1.0,41000.0,The Last Exorcism,41000.0
1232,George Gallo,41000.0,6.0,6800.0,Double Take,29800.0
1233,Nicole Holofcener,40500.0,5.0,8100.0,Enough Said,17600.0
1234,Michael Cuesta,39900.0,5.0,8000.0,American Assassin,36200.0
1235,Adam Wingard,39600.0,3.0,13200.0,Blair Witch,20800.0
1236,Steven Antin,39400.0,1.0,39400.0,Burlesque,39400.0
1237,Oliver Parker,38800.0,5.0,7800.0,Ideal Husband,18500.0
1238,Hayao Miyazaki,38600.0,5.0,7700.0,Ponyo,15100.0
1239,Michael Radford,38500.0,7.0,5500.0,Il Postino,21800.0
1240,Carl Rinsch,38400.0,1.0,38400.0,47 Ronin,38400.0
1241,Justin Chadwick,37900.0,4.0,9500.0,The Other Boleyn Girl,26800.0
1242,Todd Graff,37800.0,3.0,12600.0,Joyful Noise,30900.0
1243,Nicolas Winding Refn,37300.0,5.0,7500.0,Drive (2011),35100.0
1244,Christian E. Christiansen,37300.0,1.0,37300.0,The Roommate,37300.0
1245,Steven Lisberger,37200.0,3.0,12400.0,Tron,33000.0
1246,Camille Delamarre,36400.0,2.0,18200.0,Brick Mansions,20400.0
1247,Neil Nightingale,36100.0,1.0,36100.0,Walking with Dinosaurs,36100.0
1248,Peter Landesman,36000.0,3.0,12000.0,Concussion (2015),34500.0
1249,Robert Lorenz,35800.0,1.0,35800.0,Trouble with the Curve,35800.0
1250,Jake Schreier,35300.0,2.0,17700.0,Paper Towns,32000.0
1251,Daniel Barnz,35100.0,3.0,11700.0,Beastly,27900.0
1252,Scott Speer,35100.0,1.0,35100.0,Step Up Revolution,35100.0
1253,Todd Strauss-Schulson,35100.0,1.0,35100.0,Harold & Kumar 3D,35100.0
1254,Jeff Nichols,34800.0,5.0,7000.0,Mud,21600.0
1255,Douglas McGrath,34800.0,5.0,7000.0,Emma,22200.0
1256,Greta Gerwig,34100.0,2.0,17100.0,Lady Bird,34100.0
1257,Mark Romanek,34000.0,2.0,17000.0,One Hour Photo,31600.0
1258,Ari Sandel,34000.0,1.0,34000.0,The DUFF,34000.0
1259,Dean Devlin,33600.0,1.0,33600.0,Geostorm,33600.0
1260,Drew Dowdle,33600.0,1.0,33600.0,Devil,33600.0
1261,Allen Coulter,33500.0,2.0,16700.0,Remember Me,19100.0
1262,Gene Wilder,33300.0,2.0,16700.0,The Woman in Red,25300.0
1263,Jason Winer,33000.0,1.0,33000.0,Arthur (2011),33000.0
1264,Tomas Alfredson,32900.0,3.0,11000.0,"Tinker, Tailor, Soldier, Spy",24100.0
1265,Jim Jarmusch,32600.0,12.0,2700.0,Broken Flowers,13700.0
1266,Joshua Michael Stern,32400.0,2.0,16200.0,Swing Vote,16300.0
1267,Adam Brooks,32400.0,3.0,10800.0,"Definitely, Maybe",32200.000000000004
1268,Susanna White,32200.000000000004,2.0,16100.000000000002,Nanny McPhee Returns,29000.0
1269,Jim Field Smith,32000.0,1.0,32000.0,She's Out of My League,32000.0
1270,Mark Tonderai,31600.0,1.0,31600.0,House at the End of The Street,31600.0
1271,Joe Nussbaum,31500.0,3.0,10500.0,Sydney White,11900.0
1272,Philip Kaufman,31200.0,2.0,15600.0,The Right Stuff,21200.0
1273,Scott Frank,30900.0,2.0,15500.0,A Walk Among the Tombstones,26300.0
1274,James Ponsoldt,30800.0,5.0,6200.0,The Circle,20500.0
1275,Stephan Elliot,30400.0,4.0,7600.0,Eye of the Beholder,16500.0
1276,Lone Scherfig,30300.0,5.0,6100.0,One Day,13800.0
1277,Andrew Erwin,30200.0,3.0,10100.0,Woodlawn,14400.0
1278,Jon Erwin,30200.0,3.0,10100.0,Woodlawn,14400.0
1279,J.A. Bayona,29900.0,3.0,10000.0,The Impossible,19000.0
1280,Juan Carlos Fresnadillo,29000.0,3.0,9700.0,28 Weeks Later,28600.0
1281,Noah Baumbach,28900.0,9.0,3200.0,While We're Young,7600.0
1282,Ed Harris,28800.0,2.0,14400.0,Appaloosa,20200.0
1283,Greg Coolidge,28400.0,1.0,28400.0,Employee of the Month,28400.0
1284,David Gelb,28400.0,2.0,14200.0,The Lazarus Effect,25800.0
1285,Whit Stillman,28300.0,6.0,4700.0,Love & Friendship,14000.0
1286,Jesse Peretz,28200.0,4.0,7000.0,Our Idiot Brother,24800.0
1287,Peter Medak,27200.0,6.0,4500.0,Species II,19200.0
1288,Jessica Bendinger,26900.0,1.0,26900.0,Stick It,26900.0
1289,Leon Ichaso,26500.0,4.0,6600.0,Sugar Hill,18200.0
1290,Lisa Cholodenko,26400.0,3.0,8800.0,The Kids Are All Right,20800.0
1291,Tom Gormican,26100.0,1.0,26100.0,That Awkward Moment,26100.0
1292,Craig Mazin,25900.0,2.0,12900.0,Superhero Movie,25900.0
1293,Andrew J. Cohen,25600.0,1.0,25600.0,The House,25600.0
1294,Alex Garland,25400.0,1.0,25400.0,Ex Machina,25400.0
1295,Gary McKendry,25100.0,1.0,25100.0,Killer Elite,25100.0
1296,Erik White,24700.0,1.0,24700.0,Lottery Ticket,24700.0
1297,Joseph Gordon-Levitt,24500.0,1.0,24500.0,Don Jon,24500.0
1298,John Gray,24100.0,3.0,8000.0,Glimmer Man,20400.0
1299,Troy Nixey,24000.0,1.0,24000.0,Don't Be Afraid of the Dark,24000.0
1600,Christian Alvart,23600.0,2.0,11800.0,Case 39,13300.0
1601,Alister Grierson,23200.0,1.0,23200.0,Sanctum,23200.0
1602,Ice Cube,23000.0,1.0,23000.0,Players Club,23000.0
1603,Wally Pfister,23000.0,1.0,23000.0,Transcendence,23000.0
1604,Uwe Boll,22600.0,4.0,5700.0,House of the Dead,10200.0
1605,Don Scardino,22500.0,1.0,22500.0,Burt Wonderstone,22500.0
1606,Mark Brown,22400.0,2.0,11200.0,Two Can Play That Game,22200.0
1607,Justin Zackham,21800.0,1.0,21800.0,The Big Wedding,21800.0
1608,Chris Gorak,21500.0,2.0,10800.0,The Darkest Hour,21400.0
1609,Richard Glatzer,21300.0,4.0,5300.0,Still Alice,18800.0
1610,Wash Westmoreland,21300.0,4.0,5300.0,Still Alice,18800.0
1611,Robert Duvall,20900.0,2.0,10400.0,The Apostle,19900.0
1612,Michael Winterbottom,20900.0,20.0,1000.0,A Mighty Heart,9200.0
1613,Nick Hurran,20800.0,3.0,6900.0,Little Black Book,20700.0
1614,James D. Stern,20400.0,4.0,5100.0,Michael Jordan (IMAX),18700.0
1615,Nanette Burstein,20200.0,4.0,5100.0,Going the Distance,17800.0
1616,Tom Ford,19800.0,2.0,9900.0,Nocturnal Animals,10700.0
1617,Kurt Wimmer,19700.0,2.0,9900.0,Ultraviolet,18500.0
1618,James Franco,19500.0,5.0,3900.0,The Disaster Artist,19400.0
1619,Sean Penn,19200.0,2.0,9600.0,Into the Wild,18400.0
1620,Andrew Dominik,19200.0,3.0,6400.0,Killing Them Softly,15000.0
1621,Stuart Beattie,19100.0,2.0,9500.0,"I, Frankenstein",19100.0
1622,Michael Goldenberg,19000.0,1.0,19000.0,Bed of Roses,19000.0
1623,Ross Katz,18700.0,1.0,18700.0,The Choice,18700.0
1624,Asger Leth,18700.0,2.0,9300.0,Man on a Ledge,18600.0
1625,Ricky Gervais,18500.0,1.0,18500.0,The Invention of Lying,18500.0
1626,Dustin Hoffman,18400.0,1.0,18400.0,Quartet,18400.0
1627,Jorma Taccone,18200.0,2.0,9100.0,Popstar,9600.0
1628,Werner Herzog,17900.0,10.0,1800.0,Rescue Dawn,5500.0
1629,Rob Hardy,17800.0,3.0,5900.0,The Gospel,15800.0
1630,Jeff Schaffer,17800.0,1.0,17800.0,Eurotrip,17800.0
1631,Michael J. Bassett,17500.0,1.0,17500.0,Silent Hill 2,17500.0
1632,Vincenzo Natali,17500.0,2.0,8800.0,Splice,17000.0
1633,J.C. Chandor,17400.0,3.0,5800.0,All Is Lost,6300.0
1634,Pablo Larrain,17300.0,4.0,4300.0,Jackie,14000.0
1635,Larry Sher,16800.0,1.0,16800.0,Father Figures,16800.0
1636,Wayne Kramer,15600.0,4.0,3900.0,The Cooler,8300.0
1637,Susannah Grant,15500.0,1.0,15500.0,Catch and Release,15500.0
1638,Ed Gass-Donnelly,15200.0,2.0,7600.0,The Last Exorcism Part II,15200.0
1639,Michael Haneke,15200.0,8.0,1900.0,Amour,6700.0
1640,Trish Sie,14900.0,1.0,14900.0,Step Up All In,14900.0
1641,Stanley Tucci,14700.0,4.0,3700.0,Big Night,12000.0
1642,Alejandro Monteverde,14600.0,2.0,7300.0,Bella,8100.0
1643,Marcus Dunstan,14600.0,2.0,7300.0,The Collector,7700.0
1644,Aaron Sorkin,14200.0,1.0,14200.0,Molly's Game,14200.0
1645,Vic Armstrong,14000.0,1.0,14000.0,Left Behind,14000.0
1646,Mark Mylod,14000.0,1.0,14000.0,What's Your Number?,14000.0
1647,Cary Fukunaga,13900.0,3.0,4600.0,Jane Eyre,11200.0
1648,David Palmer,13700.0,1.0,13700.0,Hit and Run,13700.0
1649,Julian Schnabel,13700.0,5.0,2700.0,The Diving Bell and the Butterfly,6000.0
1650,Wong Kar Wai,13100.0,10.0,1300.0,The Grandmaster,6600.0
1651,Drew Barrymore,13000.0,1.0,13000.0,Whip It,13000.0
1652,Jee-woon Kim,12900.0,5.0,2600.0,The Last Stand,12100.0
1653,Benh Zeitlin,12800.0,1.0,12800.0,Beasts of the Southern Wild,12800.0
1654,Mike Mills,12800.0,3.0,4300.0,Beginners,5800.0
1655,Laura Lau,12800.0,1.0,12800.0,Silent House,12800.0
1656,Akiva Goldsman,12600.0,1.0,12600.0,Winter's Tale,12600.0
1657,John Curran,12500.0,5.0,2500.0,The Painted Veil,8100.0
1658,Adam Rifkin,12200.0,5.0,2400.0,The Chase,7900.0
1659,Jay Duplass,12100.0,5.0,2400.0,Cyrus,7500.0
1660,Mark Duplass,11900.0,4.0,3000.0,Cyrus,7500.0
1661,Brian Koppelman,11700.0,1.0,11700.0,Knockaround Guys,11700.0
1662,David Levien,11700.0,1.0,11700.0,Knockaround Guys,11700.0
1663,Heitor Dhalia,11700.0,1.0,11700.0,Gone,11700.0
1664,Brian Klugman,11500.0,1.0,11500.0,The Words,11500.0
1665,Lee Sternthal,11500.0,1.0,11500.0,The Words,11500.0
1666,Denise Di Novi,11400.0,1.0,11400.0,Unforgettable,11400.0
1667,Lorene Scafaria,11300.0,2.0,5700.0,Seeking a Friend for the End of the World,7100.0
1668,Michael Roskam,10900.0,2.0,5400.0,The Drop,10700.0
1669,Michael Dowse,10500.0,3.0,3500.0,Take Me Home Tonight,6900.0
1670,Ryan Fleck,10300.0,4.0,2600.0,It's Kind of a Funny Story,6400.0
1671,Errol Morris,10100.0,8.0,1300.0,The Fog of War,4200.0
1672,Todd Solondz,9800.0,8.0,1200.0,Welcome to the Dollhouse,4600.0
1673,Jason Dean Hall,9500.0,1.0,9500.0,Thank You for Your Service (2017),9500.0
1674,Josh Schwartz,9400.0,1.0,9400.0,Fun Size,9400.0
1675,Sylvain Chomet,9200.0,2.0,4600.0,The Triplets of Belleville,7000.0
1676,Benson Lee,9200.0,2.0,4600.0,Battle of the Year,8900.0
1677,John Michael McDonagh,9000.0,2.0,4500.0,The Guard,5400.0
1678,John Pogue,8500.0,1.0,8500.0,The Quiet Ones,8500.0
1679,Dan St. Pierre,8500.0,1.0,8500.0,Legends of Oz: Dorothy's Return,8500.0
1680,Jason Bateman,8000.0,2.0,4000.0,Bad Words,7800.0
1681,Nicholas Jarecki,7900.0,1.0,7900.0,Arbitrage,7900.0
1682,Anna Boden,7600.0,3.0,2500.0,It's Kind of a Funny Story,6400.0
1683,Tommy Lee Jones,7500.0,2.0,3700.0,The Three Burials of Melquiades Estrada,5000.0
1684,Sarah Polley,7400.0,3.0,2500.0,Away from Her,4600.0
1685,John Cameron Mitchell,7300.0,3.0,2400.0,Hedwig and the Angry Inch,3100.0
1686,Charlie Kaufman,6800.0,2.0,3400.0,Anomalisa,3800.0
1687,Atom Egoyan,6800.0,5.0,1400.0,Chloe,3100.0
1688,Gareth Evans,6700.0,2.0,3400.0,The Raid: Redemption,4100.0
1689,Sacha Gervasi,6700.0,2.0,3300.0,Hitchcock,6000.0
1690,Debra Granik,6600.0,2.0,3300.0,Winter's Bone,6500.0
1691,David Schwimmer,6100.0,2.0,3100.0,Run Fat Boy Run,6000.0
1692,Marc Abraham,6100.0,2.0,3000.0,Flash of Genius,4400.0
1693,Craig Johnson,5900.0,2.0,3000.0,The Skeleton Twins,5300.0
1694,Gilbert Adler,5800.0,1.0,5800.0,Bordello of Blood,5800.0
1695,Charles Ferguson,5800.0,3.0,1900.0,Inside Job,4300.0
1696,Pieter Jan Brugge,5800.0,1.0,5800.0,The Clearing,5800.0
1697,George Hickenlooper,5700.0,5.0,1100.0,Factory Girl,1700.0
1698,Dean Wright,5700.0,1.0,5700.0,For Greater Glory,5700.0
1699,Sngmoo Lee,5700.0,1.0,5700.0,The Warrior's Way,5700.0
2050,Dan Fogelman,5600.0,1.0,5600.0,Danny Collins,5600.0
2051,Diego Luna,5600.0,1.0,5600.0,Cesar Chavez,5600.0
2052,Jacques Audiard,5400.0,4.0,1400.0,A Prophet (Un prophète),2100.0
2053,Richard Wenk,5400.0,2.0,2700.0,Vamp,4900.0
2054,Jez Butterworth,5100.0,1.0,5100.0,Birthday Girl,5100.0
2055,Julie Delpy,5100.0,3.0,1700.0,2 Days in Paris,4400.0
2056,Todd Lincoln,4900.0,1.0,4900.0,The Apparition,4900.0
2057,Philippe Falardeau,4700.0,2.0,2400.0,The Good Lie,2700.0
2058,Miranda July,4500.0,2.0,2200.0,Me and You and Everyone We Know,3900.0
2059,Russell Crowe,4200.0,1.0,4200.0,The Water Diviner,4200.0
2060,Gillian Robespierre,4100.0,2.0,2000.0,Obvious Child,3100.0
2061,Helen Hunt,3700.0,1.0,3700.0,Then She Found Me,3700.0
2062,Andrew Jarecki,3700.0,2.0,1900.0,Capturing the Friedmans,3100.0
2063,Mike White,3700.0,2.0,1800.0,Brad's Status,2100.0
2064,Xavier Dolan,3600.0,2.0,1800.0,Mommy,3500.0
2065,Jeremy Saulnier,3500.0,2.0,1700.0,Green Room,3200.0
2066,Rowan Joffe,3500.0,2.0,1700.0,Before I Go To Sleep,3200.0
2067,Kelly Reichardt,3500.0,6.0,578,Certain Women,1100.0
2068,Christopher Hampton,3400.0,3.0,1100.0,Carrington,3200.0
2069,Lake Bell,3200.0,2.0,1600.0,In a World,3000.0
2070,Lynn Shelton,3200.0,5.0,631,Your Sister's Sister,1600.0
2071,Damian Szifron,3100.0,1.0,3100.0,Wild Tales,3100.0
2072,Clark Gregg,2900.0,1.0,2900.0,Choke,2900.0
2073,Keith Gordon,2800.0,5.0,568,A Midnight Clear,1500.0
2074,Dustin Marcellino,2800.0,1.0,2800.0,The Identical,2800.0
2075,Robert B. Weide,2800.0,1.0,2800.0,How to Lose Friends and Alienate People,2800.0
2076,Gregory Levasseur,2800.0,1.0,2800.0,The Pyramid,2800.0
2077,Vincent Gallo,2700.0,2.0,1400.0,Buffalo '66,2400.0
2078,Zal Batmanglij,2700.0,2.0,1400.0,The East,2300.0
2079,Dan Ireland,2600.0,4.0,660,Mrs. Palfrey at the Claremont,1700.0
