,Title,Theaters_x,Country_x,Genre_x,Rated_x,Runtime_x,Open_x,Language_x,imdbRating_x,Actorinfluenceaverage,if_actorinfluence,Average Gross for each movie,if_average_gross,googletrends,last year_totalgross,genre_gross,count_num,Total Gross_x
102,The Woman in Black 2: Angel of Death,2602,2,1,1,98,02/01/2015,1,4.9,0.0,0,,0,603.0,10354970864.0,1679582816.0,33.0,26501323
103,Woman in Gold,2011,2,6,1,109,01/04/2015,1,7.3,43350.0,1,,0,946.0,10354970864.0,,45.0,33307793
104,The Woman in the Fifth,14,3,1,1,84,15/06/2012,1,5.3,17700.0,1,,0,613.0,10187347362.0,1490190858.0,29.0,113800
105,Woman Thou Art Loosed: On the 7th Day,106,1,1,1,101,13/04/2012,1,4.9,42500.0,1,,0,300.0,10187347362.0,1490190858.0,36.0,1213128
106,The Woman Who Left,1,6,1,1,226,19/05/2017,1,7.9,0.0,0,,0,168.0,11216236720.0,1339173437.0,33.0,3974
107,A Woman's Life,4,3,1,1,119,05/05/2017,2,6.8,0.0,0,,0,0.0,11216236720.0,1339173437.0,33.0,37626
108,"A Woman, a Gun and a Noodle Shop",23,6,2,1,95,03/09/2010,5,5.7,0.0,0,,0,260.0,10639535233.0,1435263724.0,36.0,190946
109,"A Woman, a Part",3,1,1,0,97,22/03/2017,1,5.7,0.0,0,,0,0.0,11216236720.0,1339173437.0,36.0,23562
110,Women in Trouble,3,1,2,1,92,13/11/2009,1,5.8,53600.0,1,,0,1115.0,9750709587.0,2099450726.0,29.0,18097
111,The Women on the 6th Floor,17,3,2,0,102,07/10/2011,2,7.1,0.0,0,,0,282.0,10589599184.0,1376087969.0,38.0,719823
112,The Women's Balcony,34,6,2,1,96,03/03/2017,9,7.1,0.0,0,,0,0.0,11216236720.0,1302997778.0,36.0,1194092
113,!Women Art Revolution,4,1,3,1,83,01/06/2011,1,6.8,0.0,0,,0,0.0,10589599184.0,93825307.0,30.0,52681
114,Won't Back Down,2517,1,1,1,121,28/09/2012,1,6.4,56466.666670000006,1,11700.0,1,1084.0,10187347362.0,1490190858.0,43.0,5310554
115,The Wonder of It All,39,1,3,1,82,17/07/2009,1,7.2,0.0,0,,0,0.0,9750709587.0,87432868.0,26.0,781016
116,Wonder Woman,4165,6,4,1,141,02/06/2017,1,7.6,121950.0,1,223500.0,1,594.0,11216236720.0,2297451379.0,21.0,412563408
117,Wonder Woman,4165,6,4,1,141,02/06/2017,1,7.6,121950.0,1,223500.0,1,594.0,11216236720.0,2297451379.0,46.0,412563408
118,Wonderful Town,1,6,1,0,92,18/07/2008,25,6.6,0.0,0,,0,100.0,9767268194.0,1293680617.0,24.0,4487
119,Wonderful World,4,1,1,1,89,08/01/2010,1,6.2,36200.0,1,,0,777.0,10639535233.0,1834327761.0,16.0,9309
120,The Wonders,15,6,1,0,110,30/10/2015,15,6.6,0.0,0,,0,1010.0,10354970864.0,1679582816.0,53.0,73378
121,Wonderstruck,261,1,1,1,117,20/10/2017,1,6.9,35800.0,1,,0,1348.0,11216236720.0,1339173437.0,47.0,580042
122,Woodlawn,1553,1,1,1,123,16/10/2015,1,6.5,0.0,0,10100.0,1,413.0,10354970864.0,1679582816.0,53.0,14394097
123,The Woodmans,3,1,3,0,82,19/01/2011,1,7.0,0.0,0,,0,100.0,10589599184.0,93825307.0,23.0,46623
124,The Word,1,6,1,1,97,14/03/2014,21,5.1,0.0,0,,0,1499.0,10893180888.0,1338281892.0,47.0,3648
125,The Words,2801,1,1,1,102,07/09/2012,1,7.1,39500.0,1,11500.0,1,613.0,10187347362.0,1490190858.0,43.0,11494838
126,Words and Pictures,216,1,2,1,111,23/05/2014,1,6.6,21000.0,1,,0,607.0,10893180888.0,1619719448.0,41.0,2171257
127,The Work,2,1,3,1,89,27/10/2017,1,8.2,0.0,0,,0,939.0,11216236720.0,50850748.0,47.0,5853
128,The World of Kanako,12,6,1,0,118,04/12/2015,6,6.6,0.0,0,,0,579.0,10354970864.0,1679582816.0,34.0,16627
129,The World Unseen,3,6,1,1,93,07/11/2008,1,6.8,0.0,0,,0,467.0,9767268194.0,1293680617.0,22.0,17808
130,World War Z,3607,1,4,1,116,21/06/2013,1,7.0,76300.0,1,57200.0,1,947.0,11041914748.0,2219810902.0,41.0,202359711
131,The World's End,1553,2,4,1,109,23/08/2013,1,7.0,0.0,0,40500.0,1,1304.0,11041914748.0,2219810902.0,44.0,26004851
132,World's Greatest Dad,30,1,2,1,99,21/08/2009,1,6.9,66900.0,1,119.0,1,1186.0,9750709587.0,2099450726.0,24.0,221805
133,Worlds Apart,2,6,1,1,113,13/01/2017,22,7.6,0.0,0,,0,432.0,11216236720.0,1339173437.0,33.0,60298
134,The Worst Movie Ever!,2,1,4,1,76,19/08/2011,1,4.3,0.0,0,,0,0.0,10589599184.0,1491832495.0,38.0,25206
135,The Wound,2,6,1,1,88,15/03/2017,60,7.1,0.0,0,,0,808.0,11216236720.0,1339173437.0,36.0,30678
136,Mi America,1,1,5,1,90,16/10/2015,1,7.0,0.0,0,,0,543.0,10354970864.0,,53.0,3330
137,Mia and the Migoo,1,3,7,1,92,25/03/2011,2,6.7,0.0,0,,0,0.0,10589599184.0,,30.0,16975
138,Mia Madre,35,6,1,1,106,26/08/2016,15,6.8,0.0,0,,0,523.0,11149116327.0,2060252692.0,44.0,303002
139,Partners in Time: The Making of 'MIB 3',4248,1,11,1,0,25/05/2012,1,6.1,0.0,0,,0,0.0,10187347362.0,,34.0,179020854
140,Michael Clayton,2585,1,5,1,119,05/10/2007,1,7.3,40350.0,1,67600.0,1,915.0,9190502983.0,,31.0,49033882
141,All Access: Making Michael Jackson's This Is It,3481,1,3,1,0,28/10/2009,1,8.2,0.0,0,,0,0.0,9750709587.0,87432868.0,37.0,72091016
142,Michael Moore in TrumpLand,51,1,3,0,73,19/10/2016,1,5.9,149.0,1,21200.0,1,126.0,11149116327.0,65052467.0,46.0,149090
143,Micmacs,52,3,4,1,105,28/05/2010,2,7.2,0.0,0,13200.0,1,1543.0,10639535233.0,2041030428.0,29.0,1262079
144,Microbe & Gasoline,9,3,9,1,105,01/07/2016,2,6.7,0.0,0,13500.0,1,0.0,11149116327.0,3051739355.0,42.0,63802
145,Mid-August Lunch,23,6,2,0,75,17/03/2010,15,7.0,0.0,0,,0,0.0,10639535233.0,1435263724.0,26.0,675299
146,Middle Men,252,1,2,1,105,06/08/2010,1,6.6,40400.0,1,6800.0,1,1397.0,10639535233.0,1435263724.0,26.0,754301
147,Middle School: The Worst Years of My Life,2822,1,7,1,92,07/10/2016,1,6.1,0.0,0,72500.0,1,668.0,11149116327.0,,46.0,20007149
148,Midget Zombie Takeover,3,1,2,0,73,08/02/2013,1,6.2,0.0,0,,0,0.0,11041914748.0,1050654625.0,24.0,10604
149,Midnight Eagle,3,6,4,1,132,23/11/2007,6,4.8,0.0,0,,0,0.0,9190502983.0,1007869230.0,27.0,7116
150,Midnight in Paris,1038,6,2,1,94,20/05/2011,1,7.7,67650.0,1,13400.0,1,682.0,10589599184.0,1376087969.0,28.0,56817045
151,The Midnight Meat Train,102,1,8,1,100,01/08/2008,1,6.1,113400.0,1,,0,558.0,9767268194.0,693523435.0,34.0,83361
152,Midnight Special,521,1,1,1,112,18/03/2016,1,6.7,57100.0,1,7000.0,1,574.0,11149116327.0,2060252692.0,42.0,3712282
153,Midnight's Children,17,5,1,1,146,26/04/2013,1,6.2,0.0,0,,0,528.0,11041914748.0,1670662348.0,37.0,190022
154,The Midwife,44,3,1,0,117,21/07/2017,2,6.9,0.0,0,,0,1201.0,11216236720.0,1339173437.0,28.0,603582
155,Mifune: The Last Samurai,9,6,3,0,80,25/11/2016,1,7.3,0.0,0,,0,346.0,11149116327.0,65052467.0,35.0,62279
156,A Mighty Heart,1355,1,6,1,108,22/06/2007,1,6.7,68100.0,1,1000.0,1,619.0,9190502983.0,,15.0,9176787
157,The Mighty Macs,975,1,1,1,99,21/10/2011,1,6.5,54600.0,1,,0,778.0,10589599184.0,1687447132.0,38.0,1891936
158,Mike and Dave Need Wedding Dates,3008,1,9,1,98,08/07/2016,19,6.0,48600.0,1,,0,579.0,11149116327.0,3051739355.0,42.0,46009673
159,Miles,2,1,2,0,90,09/06/2017,1,5.4,0.0,0,,0,1399.0,11216236720.0,1302997778.0,46.0,2537
160,Miles Ahead,527,1,6,1,100,01/04/2016,1,6.4,69450.0,1,2600.0,1,775.0,11149116327.0,,51.0,2610896
161,Milk,882,1,6,1,128,26/11/2008,1,7.6,33450.0,1,18000.0,1,873.0,9767268194.0,,22.0,31841299
162,The Milk of Sorrow,2,6,1,1,94,27/08/2010,4,6.7,0.0,0,,0,276.0,10639535233.0,1834327761.0,26.0,10462
163,The Mill and the Cross,17,6,1,1,92,14/09/2011,1,6.9,10600.0,1,,0,286.0,10589599184.0,1687447132.0,43.0,312187
164,Million Dollar Arm,3019,1,6,1,124,16/05/2014,1,7.0,70550.0,1,19900.0,1,767.0,10893180888.0,,41.0,36457627
165,A Million Ways to Die in the West,3160,1,2,1,116,30/05/2014,1,6.1,65666.66667,1,114500.0,1,1235.0,10893180888.0,1619719448.0,41.0,43139300
166,The Miners' Hymns,1,2,1,0,52,08/02/2012,1,7.2,0.0,0,,0,0.0,10187347362.0,1490190858.0,29.0,6051
167,Minimalism: A Documentary About the Important Things,80,1,3,1,79,24/05/2016,1,6.7,0.0,0,,0,100.0,11149116327.0,65052467.0,32.0,261865
168,Minions,4311,1,7,1,91,10/07/2015,1,6.4,65600.0,1,,0,1465.0,10354970864.0,,35.0,336045770
169,The Ministers,2,1,5,1,89,16/10/2009,1,4.5,37400.0,1,,0,539.0,9750709587.0,,37.0,4447
170,Miracle at St. Anna,1185,1,4,1,160,26/09/2008,1,6.0,42000.0,1,18100.0,1,828.0,9767268194.0,1481747614.0,30.0,7919117
171,Miracles from Heaven,3155,1,6,1,109,16/03/2016,1,7.0,45500.0,1,,0,783.0,11149116327.0,,42.0,61705123
172,Miral,29,3,1,1,112,25/03/2011,1,6.3,0.0,0,2700.0,1,788.0,10589599184.0,1687447132.0,30.0,373420
173,Mirror Mirror,3618,1,9,1,106,30/03/2012,1,5.6,54066.666670000006,1,,0,832.0,10187347362.0,2824412451.0,49.0,64935167
174,Mirrors,2664,1,8,1,110,15/08/2008,1,6.2,39500.0,1,,0,1035.0,9767268194.0,693523435.0,34.0,30691439
175,Misconceptions,2,1,2,1,95,22/01/2010,1,4.8,0.0,0,,0,0.0,10639535233.0,1435263724.0,16.0,6892
176,Misery Loves Comedy,8,1,3,1,94,24/04/2015,1,6.2,0.0,0,,0,696.0,10354970864.0,88392417.0,45.0,19634
177,Miss Conception,3,2,2,1,104,06/06/2008,1,4.6,0.0,0,,0,380.0,9767268194.0,1427703732.0,29.0,2134
178,Miss Hill: Making Dance Matter,1,1,3,1,84,23/01/2015,1,7.6,0.0,0,,0,0.0,10354970864.0,88392417.0,33.0,4706
179,Miss Hokusai,84,6,7,1,93,14/10/2016,6,6.7,0.0,0,,0,987.0,11149116327.0,,46.0,222670
180,Miss India America,3,1,2,1,95,24/03/2016,1,5.5,0.0,0,,0,385.0,11149116327.0,1321791183.0,42.0,1598
181,Miss March,1742,1,2,1,90,13/03/2009,1,5.0,0.0,0,,0,590.0,9750709587.0,2099450726.0,27.0,4543320
182,Miss Peregrine's Home for Peculiar Children,3835,2,9,1,127,30/09/2016,1,6.7,59200.0,1,102200.0,1,1232.0,11149116327.0,3051739355.0,54.0,87242834
183,Miss Pettigrew Lives for a Day,539,2,2,1,92,07/03/2008,1,7.1,75900.0,1,,0,507.0,9767268194.0,1427703732.0,32.0,12313694
184,Miss Sharon Jones!,12,1,3,0,93,29/07/2016,1,7.3,0.0,0,,0,0.0,11149116327.0,65052467.0,42.0,120880
185,Miss Sloane,1648,3,1,1,132,25/11/2016,1,7.4,47650.0,1,23400.0,1,725.0,11149116327.0,2060252692.0,35.0,3500605
186,Miss Stevens,2,1,2,0,86,16/09/2016,1,6.3,0.0,0,,0,1411.0,11149116327.0,1321791183.0,54.0,4611
187,Miss You Already,384,2,2,1,112,06/11/2015,1,6.8,35550.0,1,40700.0,1,1048.0,10354970864.0,1272411206.0,38.0,1162653
188,The Missing Person,3,1,1,0,95,20/11/2009,1,6.2,24400.0,1,,0,420.0,9750709587.0,1089198448.0,29.0,17896
189,The Missing Picture,9,6,3,0,92,19/03/2014,2,7.4,0.0,0,,0,762.0,10893180888.0,49307450.0,47.0,52164
190,Mission Control: The Unsung Heroes of Apollo,15,1,3,1,101,14/04/2017,1,7.6,0.0,0,,0,0.0,11216236720.0,50850748.0,38.0,16405
191,Mission Park,15,1,4,1,92,06/09/2013,1,5.1,0.0,0,,0,1122.0,11041914748.0,2219810902.0,51.0,54204
192,Mission: Impossible - Ghost Protocol,3555,1,4,1,132,16/12/2011,1,7.4,91900.0,1,158800.0,1,0.0,10589599184.0,1491832495.0,25.0,209397903
