,,Unnamed: 0,Unnamed: 0.1,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross,last year_totalgross,genre_gross,count_num
27,27,45,55,Kid Cannabis,2014,1,USA,Biography,Unrated,110,2014-04-18,John Stockwell,"['Jonathan Daniel Brown', ' Kenny Wormald', ' Aaron Yoo']",English,6.4,5565.0,10893180888.0,,33
28,28,47,61,The Kid with a Bike,2011,86,Belgium,Drama,Rated,84,2012-03-16,Jean-Pierre Dardenne,"['Thomas Doret', ' Cécile De France', ' Jérémie Renier']",French,7.4,1470000.0,10187347362.0,1490190858.0,49
29,29,48,62,Kidnap,2017,0,USA,Action,Rated,95,2008-10-02,Luis Prieto,"['Halle Berry', ' Sage Correa', ' Chris McGinn']",English,5.9,0.0,9767268194.0,1481747614.0,37
30,30,49,63,The Kidnapping of Michel Houellebecq,2014,1,France,Comedy,Unrated,96,2015-03-25,Guillaume Nicloux,"['Michel Houellebecq', ' Mathieu Nicourt', ' Maxime Lefrançois']",French,6.8,11546.0,10354970864.0,1272411206.0,33
31,31,50,65,The Kids Are All Right,2010,994,USA,Comedy,Rated,106,2010-07-09,Lisa Cholodenko,"['Julianne Moore', ' Annette Bening', ' Mark Ruffalo']",English,7.1,20811365.0,10639535233.0,1435263724.0,31
32,32,51,66,Kids for Cash,2013,12,USA,Documentary,Rated,102,2014-02-07,Robert May,"['Charlie Balasavage', ' Joanne Balasavage', ' Justin Bodnar']",English,7.1,143178.0,10893180888.0,49307450.0,29
33,33,52,67,The Kids Grow Up,2009,1,USA,Documentary,Unrated,90,2010-10-29,Doug Block,['nan'],English,6.8,12095.0,10639535233.0,187290939.0,34
34,34,54,71,"Kiki, Love to Love",2016,3,Spain,Comedy,Unrated,102,2016-11-11,Paco León,"['Natalia de Molina', ' Álex García', ' Jacobo Sánchez']",Spanish,6.5,12450.0,11149116327.0,1321791183.0,35
35,35,57,75,Kill Command,2016,0,UK,Action,Unrated,99,2016-11-25,Steven Gomez,"['Vanessa Kirby', ' David Ajala', ' Mike Noble']",English,5.7,0.0,11149116327.0,2953177273.0,35
36,36,58,76,Kill List,2011,10,UK,Crime,Unrated,95,2012-02-03,Ben Wheatley,"['Neil Maskell', ' MyAnna Buring', ' Harry Simpson']",English,6.4,29063.0,10187347362.0,,29
37,37,59,78,Kill Me Three Times,2014,16,USA,Action,Rated,90,2015-04-10,Kriv Stenders,"['Simon Pegg', ' Steve Le Marquand', ' Alice Braga']",English,5.9,24296.0,10354970864.0,2268082751.0,45
38,38,60,79,"Kill Me, Deadly",2015,3,USA,Comedy,Rated,100,2016-04-01,Darrett Sanders,"['Kirsten Vangsness', ' Dean Lemont', ' Lesley-Anne Down']",English,7.4,36027.0,11149116327.0,1321791183.0,51
39,39,61,80,The Kill Team,2013,2,USA,Documentary,Rated,79,2014-07-25,Dan Krauss,"['Adam Winfield', ' Christopher Winfield', ' Emma Winfield']",English,7.1,18983.0,10893180888.0,49307450.0,28
40,40,62,81,Kill the Irishman,2011,56,USA,Biography,Rated,106,2011-03-11,Jonathan Hensleigh,"['Ray Stevenson', "" Vincent D'Onofrio"", ' Val Kilmer']",English,7.1,1188194.0,10589599184.0,,30
41,41,63,82,Kill the Messenger,2014,427,USA,Biography,Rated,112,2014-10-10,Michael Cuesta,"['Jeremy Renner', ' Robert Patrick', ' Jena Sims']",English,7.0,2450846.0,10893180888.0,,56
42,42,65,85,Kill Your Darlings,2013,78,USA,Biography,Rated,104,2013-10-16,John Krokidas,"['Daniel Radcliffe', ' Dane DeHaan', ' Michael C. Hall']",English,6.5,1030064.0,11041914748.0,,34
