Date	Price	Open	High	Low	Vol.	Change %
"Oct 20, 2017"	"7,523.23"	"7,523.04"	"7,560.04"	"7,517.07"	752.95M	0
"Oct 19, 2017"	"7,523.04"	"7,542.87"	"7,542.87"	"7,485.42"	828.89M	-0.26
"Oct 18, 2017"	"7,542.87"	"7,516.17"	"7,555.24"	"7,516.17"	645.75M	0.36
"Oct 17, 2017"	"7,516.17"	"7,526.97"	"7,550.44"	"7,506.31"	1.03B	-0.14
"Oct 16, 2017"	"7,526.97"	"7,535.44"	"7,557.00"	"7,526.73"	738.06M	-0.11
"Oct 13, 2017"	"7,535.44"	"7,556.24"	"7,556.24"	"7,521.09"	686.92M	-0.28
"Oct 12, 2017"	"7,556.24"	"7,533.81"	"7,565.11"	"7,526.33"	722.80M	0.3
"Oct 11, 2017"	"7,533.81"	"7,538.27"	"7,550.17"	"7,519.60"	1.25B	-0.06
"Oct 10, 2017"	"7,538.27"	"7,507.89"	"7,543.88"	"7,504.56"	821.71M	0.4
"Oct 09, 2017"	"7,507.89"	"7,522.87"	"7,523.65"	"7,493.68"	695.85M	-0.2
"Oct 06, 2017"	"7,522.87"	"7,507.99"	"7,527.72"	"7,507.99"	694.72M	0.2
"Oct 05, 2017"	"7,507.99"	"7,467.58"	"7,507.99"	"7,464.40"	775.86M	0.54
"Oct 04, 2017"	"7,467.58"	"7,468.11"	"7,476.33"	"7,456.61"	945.11M	-0.01
"Oct 03, 2017"	"7,468.11"	"7,438.84"	"7,469.82"	"7,426.67"	718.75M	0.39
"Oct 02, 2017"	"7,438.84"	"7,372.76"	"7,438.84"	"7,372.73"	891.03M	0.9
"Sep 29, 2017"	"7,372.76"	"7,322.82"	"7,382.67"	"7,321.64"	750.78M	0.68
"Sep 28, 2017"	"7,322.82"	"7,313.51"	"7,323.33"	"7,289.75"	748.36M	0.13
"Sep 27, 2017"	"7,313.51"	"7,285.74"	"7,327.50"	"7,285.74"	857.13M	0.38
"Sep 26, 2017"	"7,285.74"	"7,301.29"	"7,311.82"	"7,273.32"	707.67M	-0.21
"Sep 25, 2017"	"7,301.29"	"7,310.64"	"7,312.45"	"7,272.49"	601.76M	-0.13
"Sep 22, 2017"	"7,310.64"	"7,263.90"	"7,320.28"	"7,242.23"	644.90M	0.64
"Sep 21, 2017"	"7,263.90"	"7,271.95"	"7,289.16"	"7,260.05"	807.48M	-0.11
"Sep 20, 2017"	"7,271.95"	"7,275.25"	"7,289.93"	"7,249.58"	794.23M	-0.05
"Sep 19, 2017"	"7,275.25"	"7,253.28"	"7,285.67"	"7,243.59"	797.45M	0.3
"Sep 18, 2017"	"7,253.28"	"7,215.47"	"7,257.45"	"7,215.47"	734.33M	0.52
"Sep 15, 2017"	"7,215.47"	"7,295.39"	"7,295.39"	"7,196.58"	1.46B	-1.1
"Sep 14, 2017"	"7,295.39"	"7,379.70"	"7,390.70"	"7,287.73"	1.26B	-1.14
"Sep 13, 2017"	"7,379.70"	"7,400.69"	"7,401.30"	"7,336.23"	870.09M	-0.28
"Sep 12, 2017"	"7,400.69"	"7,413.59"	"7,435.84"	"7,386.98"	768.76M	-0.17
"Sep 11, 2017"	"7,413.59"	"7,377.60"	"7,434.07"	"7,377.60"	633.81M	0.49
"Sep 08, 2017"	"7,377.60"	"7,396.98"	"7,396.98"	"7,358.42"	619.11M	-0.26
"Sep 07, 2017"	"7,396.98"	"7,354.13"	"7,412.68"	"7,348.38"	663.67M	0.58
"Sep 06, 2017"	"7,354.13"	"7,372.92"	"7,372.92"	"7,322.42"	697.15M	-0.25
"Sep 05, 2017"	"7,372.92"	"7,411.47"	"7,437.51"	"7,369.58"	558.08M	-0.52
"Sep 04, 2017"	"7,411.47"	"7,438.50"	"7,438.50"	"7,404.05"	398.67M	-0.36
"Sep 01, 2017"	"7,438.50"	"7,430.62"	"7,460.52"	"7,430.06"	552.91M	0.11
"Aug 31, 2017"	"7,430.62"	"7,365.26"	"7,443.68"	"7,365.01"	784.89M	0.89
"Aug 30, 2017"	"7,365.26"	"7,337.43"	"7,381.33"	"7,337.43"	686.61M	0.38
"Aug 29, 2017"	"7,337.43"	"7,401.46"	"7,401.62"	"7,289.20"	757.21M	-0.87
"Aug 25, 2017"	"7,401.46"	"7,407.06"	"7,439.53"	"7,401.46"	513.07M	-0.08
"Aug 24, 2017"	"7,407.06"	"7,382.65"	"7,437.87"	"7,382.16"	756.85M	0.33
"Aug 23, 2017"	"7,382.65"	"7,381.74"	"7,394.52"	"7,360.33"	611.96M	0.01
"Aug 22, 2017"	"7,381.74"	"7,318.88"	"7,387.55"	"7,318.88"	676.38M	0.86
"Aug 21, 2017"	"7,318.88"	"7,323.98"	"7,331.95"	"7,296.80"	552.91M	-0.07
"Aug 18, 2017"	"7,323.98"	"7,387.87"	"7,387.87"	"7,302.47"	741.56M	-0.86
"Aug 17, 2017"	"7,387.87"	"7,433.03"	"7,433.74"	"7,382.16"	593.94M	-0.61
"Aug 16, 2017"	"7,433.03"	"7,383.85"	"7,444.98"	"7,383.85"	586.26M	0.67
"Aug 15, 2017"	"7,383.85"	"7,353.89"	"7,399.35"	"7,353.89"	510.54M	0.41
"Aug 14, 2017"	"7,353.89"	"7,309.96"	"7,377.66"	"7,309.96"	553.29M	0.6
"Aug 11, 2017"	"7,309.96"	"7,389.94"	"7,389.96"	"7,296.49"	767.62M	-1.08
"Aug 10, 2017"	"7,389.94"	"7,498.06"	"7,498.06"	"7,376.66"	735.23M	-1.44
"Aug 09, 2017"	"7,498.06"	"7,542.73"	"7,542.73"	"7,475.83"	803.93M	-0.59
"Aug 08, 2017"	"7,542.73"	"7,531.94"	"7,551.85"	"7,518.45"	615.74M	0.14
"Aug 07, 2017"	"7,531.94"	"7,511.71"	"7,533.74"	"7,511.71"	632.19M	0.27
"Aug 04, 2017"	"7,511.71"	"7,474.77"	"7,519.06"	"7,465.12"	776.41M	0.49
"Aug 03, 2017"	"7,474.77"	"7,411.43"	"7,484.53"	"7,384.22"	819.30M	0.85
"Aug 02, 2017"	"7,411.43"	"7,423.66"	"7,434.71"	"7,388.91"	731.35M	-0.16
"Aug 01, 2017"	"7,423.66"	"7,372.00"	"7,440.14"	"7,372.00"	740.61M	0.7
"Jul 31, 2017"	"7,372.00"	"7,368.37"	"7,425.52"	"7,367.86"	927.04M	0.05
"Jul 28, 2017"	"7,368.37"	"7,443.01"	"7,443.01"	"7,339.44"	822.65M	-1
"Jul 27, 2017"	"7,443.01"	"7,452.32"	"7,461.85"	"7,410.85"	1.01B	-0.12
"Jul 26, 2017"	"7,452.32"	"7,434.82"	"7,487.05"	"7,434.68"	774.93M	0.24
"Jul 25, 2017"	"7,434.82"	"7,377.73"	"7,453.74"	"7,377.73"	798.83M	0.77
"Jul 24, 2017"	"7,377.73"	"7,452.91"	"7,453.22"	"7,357.50"	1.11B	-1.01
"Jul 21, 2017"	"7,452.91"	"7,487.87"	"7,515.12"	"7,433.89"	722.77M	-0.47
"Jul 20, 2017"	"7,487.87"	"7,430.91"	"7,502.73"	"7,430.91"	728.09M	0.77
"Jul 19, 2017"	"7,430.91"	"7,390.22"	"7,442.84"	"7,379.33"	660.42M	0.55
"Jul 18, 2017"	"7,390.22"	"7,404.13"	"7,418.53"	"7,357.77"	634.51M	-0.19
"Jul 17, 2017"	"7,404.13"	"7,378.39"	"7,426.37"	"7,378.30"	613.97M	0.35
"Jul 14, 2017"	"7,378.39"	"7,413.44"	"7,419.81"	"7,363.77"	852.44M	-0.47
"Jul 13, 2017"	"7,413.44"	"7,416.93"	"7,428.24"	"7,403.75"	970.71M	-0.05
"Jul 12, 2017"	"7,416.93"	"7,329.76"	"7,439.08"	"7,329.76"	821.52M	1.19
"Jul 11, 2017"	"7,329.76"	"7,370.03"	"7,386.88"	"7,304.77"	683.49M	-0.55
"Jul 10, 2017"	"7,370.03"	"7,350.92"	"7,388.02"	"7,344.31"	615.60M	0.26
"Jul 07, 2017"	"7,350.92"	"7,337.28"	"7,359.48"	"7,314.69"	690.33M	0.19
"Jul 06, 2017"	"7,337.28"	"7,367.60"	"7,373.85"	"7,303.46"	791.24M	-0.41
"Jul 05, 2017"	"7,367.60"	"7,357.23"	"7,386.92"	"7,347.52"	952.88M	0.14
"Jul 04, 2017"	"7,357.23"	"7,377.09"	"7,383.45"	"7,336.75"	600.30M	-0.27
"Jul 03, 2017"	"7,377.09"	"7,312.72"	"7,386.11"	"7,312.26"	726.60M	0.88
"Jun 30, 2017"	"7,312.72"	"7,350.32"	"7,377.38"	"7,302.71"	1.01B	-0.51
"Jun 29, 2017"	"7,350.32"	"7,387.80"	"7,451.95"	"7,341.75"	959.17M	-0.51
"Jun 28, 2017"	"7,387.80"	"7,434.36"	"7,445.31"	"7,381.36"	859.43M	-0.63
"Jun 27, 2017"	"7,434.36"	"7,446.80"	"7,451.68"	"7,411.36"	725.03M	-0.17
"Jun 26, 2017"	"7,446.80"	"7,424.13"	"7,480.95"	"7,424.13"	714.44M	0.31
"Jun 23, 2017"	"7,424.13"	"7,439.29"	"7,441.79"	"7,396.75"	627.79M	-0.2
"Jun 22, 2017"	"7,439.29"	"7,447.79"	"7,448.48"	"7,398.83"	813.13M	-0.11
"Jun 21, 2017"	"7,447.79"	"7,472.71"	"7,477.17"	"7,417.45"	869.74M	-0.33
"Jun 20, 2017"	"7,472.71"	"7,523.81"	"7,561.07"	"7,472.71"	1.04B	-0.68
"Jun 19, 2017"	"7,523.81"	"7,463.54"	"7,537.84"	"7,463.54"	568.21M	0.81
"Jun 16, 2017"	"7,463.54"	"7,419.36"	"7,478.99"	"7,419.36"	1.95B	0.6
"Jun 15, 2017"	"7,419.36"	"7,474.40"	"7,474.51"	"7,377.86"	1.01B	-0.74
"Jun 14, 2017"	"7,474.40"	"7,500.44"	"7,545.07"	"7,474.40"	972.22M	-0.35
"Jun 13, 2017"	"7,500.44"	"7,511.87"	"7,540.05"	"7,491.86"	782.43M	-0.15
"Jun 12, 2017"	"7,511.87"	"7,527.33"	"7,540.53"	"7,483.61"	712.64M	-0.21
"Jun 09, 2017"	"7,527.33"	"7,449.98"	"7,545.12"	"7,449.73"	1.11B	1.04
"Jun 08, 2017"	"7,449.98"	"7,478.62"	"7,489.66"	"7,449.98"	893.77M	-0.38
"Jun 07, 2017"	"7,478.62"	"7,524.95"	"7,555.62"	"7,476.33"	901.56M	-0.62
"Jun 06, 2017"	"7,524.95"	"7,525.76"	"7,527.64"	"7,502.83"	867.65M	-0.01
"Jun 05, 2017"	"7,525.76"	"7,547.63"	"7,562.00"	"7,519.06"	624.06M	-0.29
"Jun 02, 2017"	"7,547.63"	"7,543.77"	"7,598.99"	"7,539.96"	823.79M	0.05
"Jun 01, 2017"	"7,543.77"	"7,519.95"	"7,558.63"	"7,518.32"	884.73M	0.32
"May 31, 2017"	"7,519.95"	"7,526.51"	"7,586.45"	"7,519.68"	1.89B	-0.09
"May 30, 2017"	"7,526.51"	"7,547.63"	"7,547.65"	"7,497.07"	760.55M	-0.28
"May 26, 2017"	"7,547.63"	"7,517.71"	"7,554.21"	"7,514.39"	797.46M	0.4
"May 25, 2017"	"7,517.71"	"7,514.90"	"7,529.74"	"7,497.07"	638.44M	0.04
"May 24, 2017"	"7,514.90"	"7,485.29"	"7,519.58"	"7,475.11"	848.44M	0.4
"May 23, 2017"	"7,485.29"	"7,496.34"	"7,521.94"	"7,485.29"	699.94M	-0.15
"May 22, 2017"	"7,496.34"	"7,470.71"	"7,518.12"	"7,470.71"	691.51M	0.34
"May 19, 2017"	"7,470.71"	"7,436.42"	"7,480.28"	"7,436.42"	845.28M	0.46
"May 18, 2017"	"7,436.42"	"7,503.47"	"7,503.68"	"7,389.26"	1.01B	-0.89
"May 17, 2017"	"7,503.47"	"7,522.03"	"7,532.95"	"7,478.88"	1.02B	-0.25
"May 16, 2017"	"7,522.03"	"7,454.37"	"7,533.70"	"7,452.44"	1.04B	0.91
"May 15, 2017"	"7,454.37"	"7,435.39"	"7,460.20"	"7,434.24"	857.70M	0.26
"May 12, 2017"	"7,435.39"	"7,386.63"	"7,435.39"	"7,381.74"	879.09M	0.66
"May 11, 2017"	"7,386.63"	"7,385.24"	"7,396.19"	"7,369.23"	985.41M	0.02
"May 10, 2017"	"7,385.24"	"7,342.21"	"7,398.58"	"7,331.30"	848.26M	0.59
"May 09, 2017"	"7,342.21"	"7,300.86"	"7,359.61"	"7,300.86"	729.08M	0.57
"May 08, 2017"	"7,300.86"	"7,297.43"	"7,322.32"	"7,285.76"	738.84M	0.05
"May 05, 2017"	"7,297.43"	"7,248.10"	"7,297.43"	"7,222.81"	908.53M	0.68
"May 04, 2017"	"7,248.10"	"7,234.53"	"7,280.70"	"7,226.07"	947.13M	0.19
"May 03, 2017"	"7,234.53"	"7,250.05"	"7,250.05"	"7,218.56"	790.04M	-0.21
"May 02, 2017"	"7,250.05"	"7,203.94"	"7,254.32"	"7,203.94"	939.01M	0.64
"Apr 28, 2017"	"7,203.94"	"7,237.17"	"7,243.31"	"7,197.28"	1.18B	-0.46
"Apr 27, 2017"	"7,237.17"	"7,288.72"	"7,289.38"	"7,224.35"	1.13B	-0.71
"Apr 26, 2017"	"7,288.72"	"7,275.64"	"7,302.57"	"7,262.32"	887.07M	0.18
"Apr 25, 2017"	"7,275.64"	"7,264.68"	"7,290.82"	"7,258.74"	861.21M	0.15
"Apr 24, 2017"	"7,264.68"	"7,114.55"	"7,273.90"	"7,114.55"	1.06B	2.11
"Apr 21, 2017"	"7,114.55"	"7,118.54"	"7,134.53"	"7,104.22"	924.44M	-0.06
"Apr 20, 2017"	"7,118.54"	"7,114.36"	"7,127.58"	"7,096.83"	856.40M	0.06
"Apr 19, 2017"	"7,114.36"	"7,147.50"	"7,151.18"	"7,114.36"	1.05B	-0.46
"Apr 18, 2017"	"7,147.50"	"7,327.59"	"7,327.59"	"7,147.50"	1.07B	-2.46
"Apr 13, 2017"	"7,327.59"	"7,348.99"	"7,348.99"	"7,298.85"	738.07M	-0.29
"Apr 12, 2017"	"7,348.99"	"7,365.50"	"7,402.42"	"7,348.84"	915.89M	-0.22
"Apr 11, 2017"	"7,365.50"	"7,348.94"	"7,406.35"	"7,332.59"	820.61M	0.23
"Apr 10, 2017"	"7,348.94"	"7,349.37"	"7,359.25"	"7,337.01"	689.47M	-0.01
"Apr 07, 2017"	"7,349.37"	"7,303.20"	"7,349.37"	"7,284.73"	804.73M	0.63
"Apr 06, 2017"	"7,303.20"	"7,331.68"	"7,331.68"	"7,258.11"	912.35M	-0.39
"Apr 05, 2017"	"7,331.68"	"7,321.82"	"7,362.59"	"7,321.82"	772.84M	0.13
"Apr 04, 2017"	"7,321.82"	"7,282.69"	"7,324.60"	"7,282.69"	810.27M	0.54
"Apr 03, 2017"	"7,282.69"	"7,322.92"	"7,350.30"	"7,280.76"	769.00M	-0.55
"Mar 31, 2017"	"7,322.92"	"7,369.52"	"7,369.55"	"7,322.92"	986.61M	-0.63
"Mar 30, 2017"	"7,369.52"	"7,373.72"	"7,384.80"	"7,340.25"	784.50M	-0.06
"Mar 29, 2017"	"7,373.72"	"7,343.42"	"7,373.72"	"7,313.90"	803.45M	0.41
"Mar 28, 2017"	"7,343.42"	"7,293.50"	"7,349.59"	"7,285.80"	815.61M	0.68
"Mar 27, 2017"	"7,293.50"	"7,336.82"	"7,336.82"	"7,255.78"	802.85M	-0.59
"Mar 24, 2017"	"7,336.82"	"7,340.71"	"7,351.60"	"7,322.86"	652.71M	-0.05
"Mar 23, 2017"	"7,340.71"	"7,324.72"	"7,346.40"	"7,307.65"	807.60M	0.22
"Mar 22, 2017"	"7,324.72"	"7,378.34"	"7,378.40"	"7,301.83"	932.57M	-0.73
"Mar 21, 2017"	"7,378.34"	"7,429.81"	"7,440.85"	"7,360.67"	873.16M	-0.69
"Mar 20, 2017"	"7,429.81"	"7,424.96"	"7,433.68"	"7,399.97"	629.94M	0.07
"Mar 17, 2017"	"7,424.96"	"7,415.95"	"7,447.00"	"7,402.64"	1.56B	0.12
"Mar 16, 2017"	"7,415.95"	"7,368.64"	"7,444.62"	"7,368.64"	1.12B	0.64
"Mar 15, 2017"	"7,368.64"	"7,357.85"	"7,383.33"	"7,357.58"	845.71M	0.15
"Mar 14, 2017"	"7,357.85"	"7,367.08"	"7,386.17"	"7,339.27"	868.57M	-0.13
"Mar 13, 2017"	"7,367.08"	"7,343.08"	"7,377.41"	"7,342.02"	708.55M	0.33
"Mar 10, 2017"	"7,343.08"	"7,314.96"	"7,373.00"	"7,314.96"	948.17M	0.38
"Mar 09, 2017"	"7,314.96"	"7,334.61"	"7,336.26"	"7,263.62"	1.08B	-0.27
"Mar 08, 2017"	"7,334.61"	"7,338.99"	"7,354.47"	"7,315.86"	893.03M	-0.06
"Mar 07, 2017"	"7,338.99"	"7,350.12"	"7,363.74"	"7,335.27"	870.64M	-0.15
"Mar 06, 2017"	"7,350.12"	"7,374.26"	"7,374.26"	"7,338.94"	758.39M	-0.33
"Mar 03, 2017"	"7,374.26"	"7,382.35"	"7,382.36"	"7,353.64"	876.91M	-0.11
"Mar 02, 2017"	"7,382.35"	"7,382.90"	"7,394.61"	"7,372.68"	955.78M	-0.01
"Mar 01, 2017"	"7,382.90"	"7,263.44"	"7,383.05"	"7,263.44"	1.07B	1.64
"Feb 28, 2017"	"7,263.44"	"7,253.00"	"7,284.20"	"7,246.60"	1.01B	0.14
"Feb 27, 2017"	"7,253.00"	"7,243.70"	"7,285.19"	"7,239.66"	856.82M	0.13
"Feb 24, 2017"	"7,243.70"	"7,271.37"	"7,271.86"	"7,192.45"	881.80M	-0.38
"Feb 23, 2017"	"7,271.37"	"7,302.25"	"7,310.05"	"7,262.94"	1.10B	-0.42
"Feb 22, 2017"	"7,302.25"	"7,274.83"	"7,314.26"	"7,274.71"	1.18B	0.38
"Feb 21, 2017"	"7,274.83"	"7,299.86"	"7,318.98"	"7,267.49"	924.70M	-0.34
"Feb 20, 2017"	"7,299.86"	"7,299.96"	"7,329.56"	"7,283.29"	655.61M	0
"Feb 17, 2017"	"7,299.96"	"7,277.92"	"7,307.14"	"7,253.16"	826.58M	0.3
"Feb 16, 2017"	"7,277.92"	"7,302.41"	"7,302.41"	"7,260.74"	705.21M	-0.34
"Feb 15, 2017"	"7,302.41"	"7,268.56"	"7,313.44"	"7,268.56"	738.32M	0.47
"Feb 14, 2017"	"7,268.56"	"7,278.92"	"7,292.65"	"7,251.81"	779.70M	-0.14
"Feb 13, 2017"	"7,278.92"	"7,258.75"	"7,298.47"	"7,257.67"	665.38M	0.28
"Feb 10, 2017"	"7,258.75"	"7,229.50"	"7,274.80"	"7,229.45"	902.73M	0.4
"Feb 09, 2017"	"7,229.50"	"7,188.82"	"7,238.74"	"7,183.14"	805.92M	0.57
"Feb 08, 2017"	"7,188.82"	"7,186.22"	"7,195.94"	"7,147.18"	963.91M	0.04
"Feb 07, 2017"	"7,186.22"	"7,172.15"	"7,227.22"	"7,159.57"	793.59M	0.2
"Feb 06, 2017"	"7,172.15"	"7,188.30"	"7,208.73"	"7,165.17"	633.43M	-0.22
"Feb 03, 2017"	"7,188.30"	"7,140.75"	"7,202.37"	"7,133.63"	810.15M	0.67
"Feb 02, 2017"	"7,140.75"	"7,107.65"	"7,163.94"	"7,093.57"	907.25M	0.47
"Feb 01, 2017"	"7,107.65"	"7,099.15"	"7,170.24"	"7,099.15"	809.59M	0.12
"Jan 31, 2017"	"7,099.15"	"7,118.48"	"7,162.53"	"7,099.15"	983.51M	-0.27
"Jan 30, 2017"	"7,118.48"	"7,184.49"	"7,184.70"	"7,105.67"	915.51M	-0.92
"Jan 27, 2017"	"7,184.49"	"7,161.49"	"7,184.73"	"7,150.76"	903.60M	0.32
"Jan 26, 2017"	"7,161.49"	"7,164.43"	"7,184.75"	"7,151.34"	933.67M	-0.04
"Jan 25, 2017"	"7,164.43"	"7,150.34"	"7,205.68"	"7,150.34"	1.02B	0.2
"Jan 24, 2017"	"7,150.34"	"7,151.18"	"7,190.15"	"7,144.44"	1.10B	-0.01
"Jan 23, 2017"	"7,151.18"	"7,198.44"	"7,198.44"	"7,131.46"	736.25M	-0.66
"Jan 20, 2017"	"7,198.44"	"7,208.44"	"7,221.01"	"7,193.73"	819.06M	-0.14
"Jan 19, 2017"	"7,208.44"	"7,247.61"	"7,249.63"	"7,191.67"	771.56M	-0.54
"Jan 18, 2017"	"7,247.61"	"7,220.38"	"7,260.47"	"7,218.41"	820.14M	0.38
"Jan 17, 2017"	"7,220.38"	"7,327.13"	"7,329.27"	"7,220.38"	879.28M	-1.46
"Jan 16, 2017"	"7,327.13"	"7,337.81"	"7,354.14"	"7,320.47"	633.74M	-0.15
"Jan 13, 2017"	"7,337.81"	"7,292.37"	"7,338.49"	"7,292.37"	836.37M	0.62
"Jan 12, 2017"	"7,292.37"	"7,290.49"	"7,302.34"	"7,263.42"	857.07M	0.03
"Jan 11, 2017"	"7,290.49"	"7,275.47"	"7,328.51"	"7,257.15"	905.71M	0.21
"Jan 10, 2017"	"7,275.47"	"7,237.77"	"7,284.81"	"7,237.29"	961.63M	0.52
"Jan 09, 2017"	"7,237.77"	"7,210.05"	"7,243.76"	"7,207.40"	725.81M	0.38
"Jan 06, 2017"	"7,210.05"	"7,195.31"	"7,210.05"	"7,180.64"	715.80M	0.2
"Jan 05, 2017"	"7,195.31"	"7,189.74"	"7,211.96"	"7,172.77"	792.50M	0.08
"Jan 04, 2017"	"7,189.74"	"7,177.89"	"7,189.74"	"7,168.77"	765.00M	0.17
"Jan 03, 2017"	"7,177.89"	"7,142.83"	"7,205.45"	"7,142.83"	820.16M	0.49
"Dec 30, 2016"	"7,142.83"	"7,120.26"	"7,142.83"	"7,087.54"	326.49M	0.32
"Dec 29, 2016"	"7,120.26"	"7,106.08"	"7,120.26"	"7,074.47"	395.48M	0.2
"Dec 28, 2016"	"7,106.08"	"7,068.17"	"7,109.37"	"7,060.85"	470.76M	0.54
"Dec 23, 2016"	"7,068.17"	"7,063.68"	"7,071.11"	"7,054.64"	191.92M	0.06
"Dec 22, 2016"	"7,063.68"	"7,041.42"	"7,063.68"	"7,020.13"	483.16M	0.32
"Dec 21, 2016"	"7,041.42"	"7,043.96"	"7,056.98"	"7,025.68"	618.99M	-0.04
"Dec 20, 2016"	"7,043.96"	"7,017.16"	"7,045.22"	"6,992.62"	744.31M	0.38
"Dec 19, 2016"	"7,017.16"	"7,011.64"	"7,025.74"	"6,986.44"	645.42M	0.08
"Dec 16, 2016"	"7,011.64"	"6,999.01"	"7,038.43"	"6,990.35"	1.15B	0.18
"Dec 15, 2016"	"6,999.01"	"6,949.19"	"7,010.48"	"6,925.88"	1.10B	0.72
"Dec 14, 2016"	"6,949.19"	"6,968.57"	"6,970.52"	"6,941.95"	1.00B	-0.28
"Dec 13, 2016"	"6,968.57"	"6,890.42"	"6,977.99"	"6,877.52"	930.15M	1.13
"Dec 12, 2016"	"6,890.42"	"6,954.21"	"6,976.78"	"6,875.43"	946.23M	-0.92
"Dec 09, 2016"	"6,954.21"	"6,931.55"	"6,962.25"	"6,929.46"	827.89M	0.33
"Dec 08, 2016"	"6,931.55"	"6,902.23"	"6,937.51"	"6,892.17"	1.05B	0.42
"Dec 07, 2016"	"6,902.23"	"6,779.84"	"6,902.23"	"6,779.84"	1.16B	1.81
"Dec 06, 2016"	"6,779.84"	"6,746.83"	"6,785.32"	"6,723.05"	871.54M	0.49
"Dec 05, 2016"	"6,746.83"	"6,730.72"	"6,799.50"	"6,697.65"	814.97M	0.24
"Dec 02, 2016"	"6,730.72"	"6,752.93"	"6,752.93"	"6,678.74"	708.45M	-0.33
"Dec 01, 2016"	"6,752.93"	"6,783.79"	"6,789.30"	"6,688.41"	966.72M	-0.45
"Nov 30, 2016"	"6,783.79"	"6,772.00"	"6,845.74"	"6,765.23"	1.33B	0.17
"Nov 29, 2016"	"6,772.00"	"6,799.47"	"6,800.91"	"6,729.36"	772.23M	-0.4
"Nov 28, 2016"	"6,799.47"	"6,840.75"	"6,840.96"	"6,769.77"	709.67M	-0.6
"Nov 25, 2016"	"6,840.75"	"6,829.20"	"6,852.14"	"6,818.12"	477.58M	0.17
"Nov 24, 2016"	"6,829.20"	"6,817.71"	"6,831.23"	"6,790.69"	491.42M	0.17
"Nov 23, 2016"	"6,817.71"	"6,819.72"	"6,880.74"	"6,779.45"	796.85M	-0.03
"Nov 22, 2016"	"6,819.72"	"6,777.96"	"6,851.37"	"6,777.96"	896.75M	0.62
"Nov 21, 2016"	"6,777.96"	"6,775.77"	"6,820.90"	"6,754.16"	781.74M	0.03
"Nov 18, 2016"	"6,775.77"	"6,794.71"	"6,811.62"	"6,740.34"	866.73M	-0.28
"Nov 17, 2016"	"6,794.71"	"6,749.72"	"6,798.75"	"6,745.08"	826.25M	0.67
"Nov 16, 2016"	"6,749.72"	"6,792.74"	"6,810.53"	"6,735.69"	877.28M	-0.63
"Nov 15, 2016"	"6,792.74"	"6,753.18"	"6,820.52"	"6,753.18"	1.16B	0.59
"Nov 14, 2016"	"6,753.18"	"6,730.43"	"6,814.19"	"6,730.43"	1.05B	0.34
"Nov 11, 2016"	"6,730.43"	"6,827.98"	"6,849.04"	"6,709.72"	1.11B	-1.43
