,Price,Vol.
0,7419.02,859390000.0
1,7411.34,753290000.0
2,7389.46,738280000.0
3,7380.68,731960000.0
4,7386.94,926680000.0
5,7372.61,919470000.0
6,7414.42,1180000000.0
7,7415.18,759790000.0
8,7432.99,694700000.0
9,7484.1,860710000.0
10,7529.72,807970000.0
11,7513.11,747480000.0
12,7562.28,632910000.0
13,7560.35,672310000.0
14,7555.32,1030000000.0
15,7487.96,1210000000.0
16,7493.08,730560000.0
17,7487.81,749410000.0
18,7505.03,870030000.0
19,7486.5,1020000000.0
20,7447.21,922390000.0
21,7526.54,676610000.0
22,7524.45,565830000.0
23,7523.23,752950000.0
24,7523.04,828890000.0
25,7542.87,645750000.0
26,7516.17,1030000000.0
27,7526.97,738060000.0
28,7535.44,686920000.0
29,7556.24,722800000.0
30,7533.81,1250000000.0
31,7538.27,821710000.0
32,7507.89,695850000.0
33,7522.87,694720000.0
34,7507.99,775860000.0
35,7467.58,945110000.0
36,7468.11,718750000.0
37,7438.84,891030000.0
38,7372.76,750780000.0
39,7322.82,748360000.0
40,7313.51,857130000.0
41,7285.74,707670000.0
42,7301.29,601760000.0
43,7310.64,644900000.0
44,7263.9,807480000.0
45,7271.95,794230000.0
46,7275.25,797450000.0
47,7253.28,734330000.0
48,7215.47,1460000000.0
49,7295.39,1260000000.0
50,7379.7,870090000.0
51,7400.69,768760000.0
52,7413.59,633810000.0
53,7377.6,619110000.0
54,7396.98,663670000.0
55,7354.13,697150000.0
56,7372.92,558080000.0
57,7411.47,398670000.0
58,7438.5,552910000.0
59,7430.62,784890000.0
60,7365.26,686610000.0
61,7337.43,757210000.0
62,7401.46,513070000.00000006
63,7407.06,756850000.0
64,7382.65,611960000.0
65,7381.74,676380000.0
66,7318.88,552910000.0
67,7323.98,741560000.0
68,7387.87,593940000.0
69,7433.03,586260000.0
70,7383.85,510540000.0
71,7353.89,553290000.0
72,7309.96,767620000.0
73,7389.94,735230000.0
74,7498.06,803930000.0
75,7542.73,615740000.0
76,7531.94,632190000.0
77,7511.71,776410000.0
78,7474.77,819300000.0
